loop_number	run_duration_seconds	total_images	total_size_mb	images_per_second	mb_per_second	timestamp	status
1	10	720	47.4	72	4.74	5/26/2026 13:32	success
2	10	710	46.7	71	4.67	5/26/2026 13:32	success
3	10	750	49.4	75	4.94	5/26/2026 13:33	success
4	10	721	47.2	72.1	4.72	5/26/2026 13:33	success
5	10	735	48.2	73.5	4.82	5/26/2026 13:33	success
6	10	745	48.8	74.5	4.88	5/26/2026 13:33	success
7	10	710	46.6	71	4.66	5/26/2026 13:33	success
8	10	734	48.1	73.4	4.81	5/26/2026 13:34	success
9	10	726	47.8	72.6	4.78	5/26/2026 13:34	success
10	10	731	48.1	73.1	4.81	5/26/2026 13:34	success
11	10	723	47.5	72.3	4.75	5/26/2026 13:34	success
12	10	724	47.7	72.4	4.77	5/26/2026 13:34	success
13	10	722	47.2	72.2	4.72	5/26/2026 13:34	success
14	10	735	48.1	73.5	4.81	5/26/2026 13:35	success
15	10	727	47.5	72.7	4.75	5/26/2026 13:35	success
16	10	743	48.4	74.3	4.84	5/26/2026 13:35	success
17	10	732	47.8	73.2	4.78	5/26/2026 13:35	success
18	10	724	47.4	72.4	4.74	5/26/2026 13:35	success
19	10	731	48	73.1	4.8	5/26/2026 13:36	success
20	10	726	47.5	72.6	4.75	5/26/2026 13:36	success
21	10	711	46.5	71.1	4.65	5/26/2026 13:36	success
22	10	734	48	73.4	4.8	5/26/2026 13:36	success
23	10	726	47.4	72.6	4.74	5/26/2026 13:36	success
24	10	727	47.5	72.7	4.75	5/26/2026 13:36	success
25	10	738	48.2	73.8	4.82	5/26/2026 13:37	success
26	10	716	46.7	71.6	4.67	5/26/2026 13:37	success
27	10	729	47.6	72.9	4.76	5/26/2026 13:37	success
28	10	721	47.1	72.1	4.71	5/26/2026 13:37	success
29	10	725	47	72.5	4.7	5/26/2026 13:37	success
30	10	753	49	75.3	4.9	5/26/2026 13:38	success
31	10	733	47.9	73.3	4.79	5/26/2026 13:38	success
32	10	732	47.6	73.2	4.76	5/26/2026 13:38	success
33	10	732	47.5	73.2	4.75	5/26/2026 13:38	success
34	10	721	46.8	72.1	4.68	5/26/2026 13:38	success
35	10	720	46.9	72	4.69	5/26/2026 13:39	success
36	10	714	46.6	71.4	4.66	5/26/2026 13:39	success
37	10	742	49	74.2	4.9	5/26/2026 13:39	success
38	10	723	47.9	72.3	4.79	5/26/2026 13:39	success
39	10	726	47.1	72.6	4.71	5/26/2026 13:39	success
40	10	735	47.7	73.5	4.77	5/26/2026 13:40	success
41	10	746	48.4	74.6	4.84	5/26/2026 13:40	success
42	10	708	45.9	70.8	4.59	5/26/2026 13:40	success
43	10	733	47.5	73.3	4.75	5/26/2026 13:40	success
44	10	725	47	72.5	4.7	5/26/2026 13:40	success
45	10	733	47.6	73.3	4.76	5/26/2026 13:41	success
46	10	727	47.1	72.7	4.71	5/26/2026 13:41	success
47	10	734	47.7	73.4	4.77	5/26/2026 13:41	success
48	10	734	47.6	73.4	4.76	5/26/2026 13:41	success
49	10	729	47.2	72.9	4.72	5/26/2026 13:41	success
50	10	743	48.1	74.3	4.81	5/26/2026 13:41	success
							
AVERAGE							
average_images_per_loop	average_mb_per_loop	average_images_per_second	average_mb_per_second				
728.78	47.6	72.88	4.76				
