loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp,status
1,10,398,26.4,39.80,2.64,2026-05-26 13:58:15,success
2,10,400,26.8,40.00,2.68,2026-05-26 13:58:26,success
3,10,394,26.3,39.40,2.63,2026-05-26 13:58:37,success
4,10,407,27.0,40.70,2.70,2026-05-26 13:58:49,success
5,10,398,26.5,39.80,2.65,2026-05-26 13:59:00,success
6,10,401,26.7,40.10,2.67,2026-05-26 13:59:11,success
7,10,403,26.6,40.30,2.66,2026-05-26 13:59:22,success
8,10,398,26.5,39.80,2.65,2026-05-26 13:59:33,success
9,10,401,26.7,40.10,2.67,2026-05-26 13:59:44,success
10,10,400,26.6,40.00,2.66,2026-05-26 13:59:55,success
11,10,392,25.8,39.20,2.58,2026-05-26 14:00:06,success
12,10,401,26.5,40.10,2.65,2026-05-26 14:00:17,success
13,10,409,26.9,40.90,2.69,2026-05-26 14:00:29,success
14,10,400,26.2,40.00,2.62,2026-05-26 14:00:40,success
15,10,400,26.3,40.00,2.63,2026-05-26 14:00:51,success
16,10,393,25.8,39.30,2.58,2026-05-26 14:01:02,success
17,10,406,26.9,40.60,2.69,2026-05-26 14:01:13,success
18,10,409,26.8,40.90,2.68,2026-05-26 14:01:24,success
19,10,402,26.4,40.20,2.64,2026-05-26 14:01:35,success
20,10,403,26.5,40.30,2.65,2026-05-26 14:01:46,success
21,10,395,26.3,39.50,2.63,2026-05-26 14:01:57,success
22,10,400,26.3,40.00,2.63,2026-05-26 14:02:09,success
23,10,382,25.1,38.20,2.51,2026-05-26 14:02:20,success
24,10,399,26.2,39.90,2.62,2026-05-26 14:02:31,success
25,10,397,26.4,39.70,2.64,2026-05-26 14:02:42,success
26,10,397,26.0,39.70,2.60,2026-05-26 14:02:53,success
27,10,397,26.1,39.70,2.61,2026-05-26 14:03:04,success
28,10,403,26.4,40.30,2.64,2026-05-26 14:03:15,success
29,10,398,26.2,39.80,2.62,2026-05-26 14:03:26,success
30,10,410,27.0,41.00,2.70,2026-05-26 14:03:37,success
31,10,408,26.7,40.80,2.67,2026-05-26 14:03:48,success
32,10,403,26.0,40.30,2.60,2026-05-26 14:03:59,success
33,10,394,26.0,39.40,2.60,2026-05-26 14:04:10,success
34,10,400,26.5,40.00,2.65,2026-05-26 14:04:21,success
35,10,400,26.5,40.00,2.65,2026-05-26 14:04:33,success
36,10,400,26.4,40.00,2.64,2026-05-26 14:04:44,success
37,10,409,26.8,40.90,2.68,2026-05-26 14:04:55,success
38,10,410,27.0,41.00,2.70,2026-05-26 14:05:06,success
39,10,401,26.4,40.10,2.64,2026-05-26 14:05:17,success
40,10,400,26.3,40.00,2.63,2026-05-26 14:05:28,success
41,10,400,26.2,40.00,2.62,2026-05-26 14:05:39,success
42,10,397,25.9,39.70,2.59,2026-05-26 14:05:57,success
43,10,399,26.2,39.90,2.62,2026-05-26 14:06:08,success
44,10,402,26.5,40.20,2.65,2026-05-26 14:06:19,success
45,10,400,26.4,40.00,2.64,2026-05-26 14:06:30,success
46,10,394,26.0,39.40,2.60,2026-05-26 14:06:41,success
47,10,395,25.9,39.50,2.59,2026-05-26 14:06:53,success
48,10,400,26.3,40.00,2.63,2026-05-26 14:07:04,success
49,10,401,26.4,40.10,2.64,2026-05-26 14:07:15,success
50,10,473,31.3,47.30,3.13,2026-05-26 14:07:26,success

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
401.58,26.5,40.16,2.65
