loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp,status
1,10,276,18.2,27.60,1.82,2026-05-26 13:43:58,success
2,10,276,18.1,27.60,1.81,2026-05-26 13:44:09,success
3,10,277,18.2,27.70,1.82,2026-05-26 13:44:20,success
4,10,279,18.3,27.90,1.83,2026-05-26 13:44:31,success
5,10,273,17.6,27.30,1.76,2026-05-26 13:44:43,success
6,10,280,18.3,28.00,1.83,2026-05-26 13:44:54,success
7,10,280,18.3,28.00,1.83,2026-05-26 13:45:05,success
8,10,276,18.1,27.60,1.81,2026-05-26 13:45:16,success
9,10,280,18.3,28.00,1.83,2026-05-26 13:45:27,success
10,10,278,18.0,27.80,1.80,2026-05-26 13:45:38,success
11,10,272,17.9,27.20,1.79,2026-05-26 13:45:49,success
12,10,276,18.1,27.60,1.81,2026-05-26 13:46:01,success
13,10,280,18.3,28.00,1.83,2026-05-26 13:46:12,success
14,10,273,17.7,27.30,1.77,2026-05-26 13:46:23,success
15,10,280,18.3,28.00,1.83,2026-05-26 13:46:34,success
16,10,280,18.4,28.00,1.84,2026-05-26 13:46:45,success
17,10,280,18.4,28.00,1.84,2026-05-26 13:46:56,success
18,10,280,18.4,28.00,1.84,2026-05-26 13:47:08,success
19,10,280,18.4,28.00,1.84,2026-05-26 13:47:19,success
20,10,280,18.5,28.00,1.85,2026-05-26 13:47:30,success
21,10,272,18.1,27.20,1.81,2026-05-26 13:47:41,success
22,10,270,18.0,27.00,1.80,2026-05-26 13:47:52,success
23,10,280,18.7,28.00,1.87,2026-05-26 13:48:03,success
24,10,280,18.6,28.00,1.86,2026-05-26 13:48:15,success
25,10,280,18.3,28.00,1.83,2026-05-26 13:48:26,success
26,10,280,18.4,28.00,1.84,2026-05-26 13:48:37,success
27,10,274,18.0,27.40,1.80,2026-05-26 13:48:48,success
28,10,280,18.3,28.00,1.83,2026-05-26 13:48:59,success
29,10,280,18.3,28.00,1.83,2026-05-26 13:49:11,success
30,10,280,18.4,28.00,1.84,2026-05-26 13:49:22,success
31,10,277,18.2,27.70,1.82,2026-05-26 13:49:33,success
32,10,278,18.3,27.80,1.83,2026-05-26 13:49:44,success
33,10,280,18.4,28.00,1.84,2026-05-26 13:49:55,success
34,10,280,18.5,28.00,1.85,2026-05-26 13:50:06,success
35,10,280,18.5,28.00,1.85,2026-05-26 13:50:18,success
36,10,280,18.5,28.00,1.85,2026-05-26 13:50:29,success
37,10,274,18.1,27.40,1.81,2026-05-26 13:50:40,success
38,10,268,17.6,26.80,1.76,2026-05-26 13:50:51,success
39,10,276,18.1,27.60,1.81,2026-05-26 13:51:02,success
40,10,280,18.4,28.00,1.84,2026-05-26 13:51:13,success
41,10,262,17.5,26.20,1.75,2026-05-26 13:51:24,success
42,10,280,18.6,28.00,1.86,2026-05-26 13:51:35,success
43,10,280,18.3,28.00,1.83,2026-05-26 13:51:46,success
44,10,280,18.4,28.00,1.84,2026-05-26 13:51:58,success
45,10,275,18.2,27.50,1.82,2026-05-26 13:52:09,success
46,10,280,18.7,28.00,1.87,2026-05-26 13:52:20,success
47,10,272,18.0,27.20,1.80,2026-05-26 13:52:31,success
48,10,280,18.5,28.00,1.85,2026-05-26 13:52:42,success
49,10,275,18.2,27.50,1.82,2026-05-26 13:52:53,success
50,10,281,18.4,28.10,1.84,2026-05-26 13:53:04,success

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
277.40,18.3,27.74,1.83
