loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp,status
1,10,1168,63.4,116.80,6.34,2026-05-26 14:11:29,success
2,10,1221,65.6,122.10,6.56,2026-05-26 14:11:40,success
3,10,1206,65.0,120.60,6.50,2026-05-26 14:11:51,success
4,10,1222,65.6,122.20,6.56,2026-05-26 14:12:02,success
5,10,1197,64.5,119.70,6.45,2026-05-26 14:12:14,success
6,10,1186,64.0,118.60,6.40,2026-05-26 14:12:25,success
7,10,1205,64.9,120.50,6.49,2026-05-26 14:12:36,success
8,10,1184,64.0,118.40,6.40,2026-05-26 14:12:47,success
9,10,1210,64.6,121.00,6.46,2026-05-26 14:12:58,success
10,10,1228,65.6,122.80,6.56,2026-05-26 14:13:09,success
11,10,1232,66.0,123.20,6.60,2026-05-26 14:13:20,success
12,10,1232,66.0,123.20,6.60,2026-05-26 14:13:31,success
13,10,1217,64.9,121.70,6.49,2026-05-26 14:13:42,success
14,10,1225,65.7,122.50,6.57,2026-05-26 14:13:53,success
15,10,1199,64.4,119.90,6.44,2026-05-26 14:14:05,success
16,10,1237,66.1,123.70,6.61,2026-05-26 14:14:16,success
17,10,1231,65.8,123.10,6.58,2026-05-26 14:14:27,success
18,10,1230,65.8,123.00,6.58,2026-05-26 14:14:38,success
19,10,1194,64.1,119.40,6.41,2026-05-26 14:14:49,success
20,10,1209,64.9,120.90,6.49,2026-05-26 14:15:00,success
21,10,1224,65.2,122.40,6.52,2026-05-26 14:15:11,success
22,10,1208,64.6,120.80,6.46,2026-05-26 14:15:22,success
23,10,1196,64.2,119.60,6.42,2026-05-26 14:15:33,success
24,10,1200,64.8,120.00,6.48,2026-05-26 14:15:45,success
25,10,1230,65.6,123.00,6.56,2026-05-26 14:15:56,success
26,10,1231,65.5,123.10,6.55,2026-05-26 14:16:07,success
27,10,1239,66.0,123.90,6.60,2026-05-26 14:16:18,success
28,10,1209,64.6,120.90,6.46,2026-05-26 14:16:29,success
29,10,1192,63.8,119.20,6.38,2026-05-26 14:16:40,success
30,10,1195,63.8,119.50,6.38,2026-05-26 14:16:51,success
31,10,1189,63.5,118.90,6.35,2026-05-26 14:17:02,success
32,10,1203,64.4,120.30,6.44,2026-05-26 14:17:13,success
33,10,1202,64.3,120.20,6.43,2026-05-26 14:17:25,success
34,10,1205,64.7,120.50,6.47,2026-05-26 14:17:36,success
35,10,1213,65.3,121.30,6.53,2026-05-26 14:17:47,success
36,10,1214,65.4,121.40,6.54,2026-05-26 14:17:58,success
37,10,1221,65.3,122.10,6.53,2026-05-26 14:18:09,success
38,10,1223,65.2,122.30,6.52,2026-05-26 14:18:20,success
39,10,1216,64.5,121.60,6.45,2026-05-26 14:18:31,success
40,10,1219,65.0,121.90,6.50,2026-05-26 14:18:42,success
41,10,1217,65.1,121.70,6.51,2026-05-26 14:18:53,success
42,10,1227,65.3,122.70,6.53,2026-05-26 14:19:05,success
43,10,1226,65.4,122.60,6.54,2026-05-26 14:19:16,success
44,10,1240,66.0,124.00,6.60,2026-05-26 14:19:27,success
45,10,1224,65.2,122.40,6.52,2026-05-26 14:19:38,success
46,10,1197,63.9,119.70,6.39,2026-05-26 14:19:49,success
47,10,1213,64.6,121.30,6.46,2026-05-26 14:20:00,success
48,10,1215,64.6,121.50,6.46,2026-05-26 14:20:11,success
49,10,1219,65.0,121.90,6.50,2026-05-26 14:20:22,success
50,10,1237,65.9,123.70,6.59,2026-05-26 14:20:33,success

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
1213.54,65.0,121.35,6.50
