loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp,status
1,10,716,49.2,71.60,4.92,2026-05-26 14:21:49,success
2,10,738,48.1,73.80,4.81,2026-05-26 14:22:00,success
3,10,741,48.2,74.10,4.82,2026-05-26 14:22:12,success
4,10,737,48.0,73.70,4.80,2026-05-26 14:22:23,success
5,10,759,49.6,75.90,4.96,2026-05-26 14:22:34,success
6,10,740,48.7,74.00,4.87,2026-05-26 14:22:45,success
7,10,731,48.0,73.10,4.80,2026-05-26 14:22:56,success
8,10,729,48.1,72.90,4.81,2026-05-26 14:23:07,success
9,10,721,47.4,72.10,4.74,2026-05-26 14:23:18,success
10,10,729,47.8,72.90,4.78,2026-05-26 14:23:29,success
11,10,730,47.8,73.00,4.78,2026-05-26 14:23:40,success
12,10,711,46.5,71.10,4.65,2026-05-26 14:23:51,success
13,10,736,48.1,73.60,4.81,2026-05-26 14:24:02,success
14,10,732,47.8,73.20,4.78,2026-05-26 14:24:14,success
15,10,740,48.2,74.00,4.82,2026-05-26 14:24:25,success
16,10,747,48.7,74.70,4.87,2026-05-26 14:24:36,success
17,10,746,48.7,74.60,4.87,2026-05-26 14:24:47,success
18,10,741,48.4,74.10,4.84,2026-05-26 14:24:58,success
19,10,731,48.1,73.10,4.81,2026-05-26 14:25:09,success
20,10,716,46.9,71.60,4.69,2026-05-26 14:25:20,success
21,10,733,48.1,73.30,4.81,2026-05-26 14:25:31,success
22,10,718,47.1,71.80,4.71,2026-05-26 14:25:42,success
23,10,730,47.9,73.00,4.79,2026-05-26 14:25:53,success
24,10,726,47.5,72.60,4.75,2026-05-26 14:26:04,success
25,10,731,47.7,73.10,4.77,2026-05-26 14:26:15,success
26,10,728,47.7,72.80,4.77,2026-05-26 14:26:27,success
27,10,736,47.9,73.60,4.79,2026-05-26 14:26:38,success
28,10,753,49.0,75.30,4.90,2026-05-26 14:26:49,success
29,10,732,47.6,73.20,4.76,2026-05-26 14:27:00,success
30,10,736,48.0,73.60,4.80,2026-05-26 14:27:11,success
31,10,740,47.7,74.00,4.77,2026-05-26 14:27:22,success
32,10,730,47.5,73.00,4.75,2026-05-26 14:27:33,success
33,10,734,48.1,73.40,4.81,2026-05-26 14:27:44,success
34,10,721,47.2,72.10,4.72,2026-05-26 14:27:55,success
35,10,752,49.2,75.20,4.92,2026-05-26 14:28:06,success
36,10,716,46.8,71.60,4.68,2026-05-26 14:28:18,success
37,10,737,48.1,73.70,4.81,2026-05-26 14:28:29,success
38,10,708,46.4,70.80,4.64,2026-05-26 14:28:40,success
39,10,733,48.1,73.30,4.81,2026-05-26 14:28:51,success
40,10,744,48.4,74.40,4.84,2026-05-26 14:29:02,success
41,10,751,48.1,75.10,4.81,2026-05-26 14:29:13,success
42,10,747,47.8,74.70,4.78,2026-05-26 14:29:24,success
43,10,745,48.3,74.50,4.83,2026-05-26 14:29:35,success
44,10,752,48.2,75.20,4.82,2026-05-26 14:29:46,success
45,10,738,47.4,73.80,4.74,2026-05-26 14:29:57,success
46,10,760,48.8,76.00,4.88,2026-05-26 14:30:08,success
47,10,737,47.3,73.70,4.73,2026-05-26 14:30:20,success
48,10,744,47.7,74.40,4.77,2026-05-26 14:30:31,success
49,10,728,46.7,72.80,4.67,2026-05-26 14:30:42,success
50,10,729,46.8,72.90,4.68,2026-05-26 14:30:53,success

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
734.80,47.9,73.48,4.79
