loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp,status
1,10,1391,79.4,139.10,7.94,2026-05-26 14:40:08,success
2,10,1414,80.4,141.40,8.04,2026-05-26 14:40:19,success
3,10,1411,80.5,141.10,8.05,2026-05-26 14:40:30,success
4,10,1419,80.7,141.90,8.07,2026-05-26 14:40:41,success
5,10,1419,80.5,141.90,8.05,2026-05-26 14:40:52,success
6,10,1424,80.7,142.40,8.07,2026-05-26 14:41:03,success
7,10,1403,80.5,140.30,8.05,2026-05-26 14:41:14,success
8,10,1400,80.7,140.00,8.07,2026-05-26 14:41:25,success
9,10,1414,81.2,141.40,8.12,2026-05-26 14:41:37,success
10,10,1414,81.1,141.40,8.11,2026-05-26 14:41:48,success
11,10,1429,81.0,142.90,8.10,2026-05-26 14:41:59,success
12,10,1405,80.0,140.50,8.00,2026-05-26 14:42:10,success
13,10,1418,80.3,141.80,8.03,2026-05-26 14:42:21,success
14,10,1419,80.4,141.90,8.04,2026-05-26 14:42:32,success
15,10,1424,80.9,142.40,8.09,2026-05-26 14:42:43,success
16,10,1409,80.9,140.90,8.09,2026-05-26 14:42:54,success
17,10,1405,80.4,140.50,8.04,2026-05-26 14:43:06,success
18,10,1405,80.5,140.50,8.05,2026-05-26 14:43:17,success
19,10,1408,80.7,140.80,8.07,2026-05-26 14:43:28,success
20,10,1403,80.3,140.30,8.03,2026-05-26 14:43:39,success
21,10,1406,80.4,140.60,8.04,2026-05-26 14:43:50,success
22,10,1405,80.5,140.50,8.05,2026-05-26 14:44:01,success
23,10,1404,80.2,140.40,8.02,2026-05-26 14:44:12,success
24,10,1410,80.3,141.00,8.03,2026-05-26 14:44:23,success
25,10,1424,81.0,142.40,8.10,2026-05-26 14:44:34,success
26,10,1414,80.7,141.40,8.07,2026-05-26 14:44:46,success
27,10,1406,80.3,140.60,8.03,2026-05-26 14:44:57,success
28,10,1412,80.4,141.20,8.04,2026-05-26 14:45:08,success
29,10,1420,80.8,142.00,8.08,2026-05-26 14:45:19,success
30,10,1418,80.9,141.80,8.09,2026-05-26 14:45:30,success
31,10,1416,80.7,141.60,8.07,2026-05-26 14:45:41,success
32,10,1415,80.6,141.50,8.06,2026-05-26 14:45:52,success
33,10,1402,80.1,140.20,8.01,2026-05-26 14:46:03,success
34,10,1407,80.4,140.70,8.04,2026-05-26 14:46:14,success
35,10,1419,80.8,141.90,8.08,2026-05-26 14:46:26,success
36,10,1413,80.4,141.30,8.04,2026-05-26 14:46:37,success
37,10,1420,80.9,142.00,8.09,2026-05-26 14:46:48,success
38,10,1403,79.9,140.30,7.99,2026-05-26 14:46:59,success
39,10,1412,80.4,141.20,8.04,2026-05-26 14:47:10,success
40,10,1420,80.8,142.00,8.08,2026-05-26 14:47:21,success
41,10,1409,80.3,140.90,8.03,2026-05-26 14:47:32,success
42,10,1402,80.0,140.20,8.00,2026-05-26 14:47:43,success
43,10,1409,80.5,140.90,8.05,2026-05-26 14:47:55,success
44,10,1403,80.1,140.30,8.01,2026-05-26 14:48:06,success
45,10,1402,80.1,140.20,8.01,2026-05-26 14:48:17,success
46,10,1410,80.5,141.00,8.05,2026-05-26 14:48:28,success
47,10,1406,80.3,140.60,8.03,2026-05-26 14:48:39,success
48,10,1419,81.0,141.90,8.10,2026-05-26 14:48:50,success
49,10,706,40.3,70.60,4.03,2026-05-26 14:49:01,success
50,10,1415,80.7,141.50,8.07,2026-05-26 14:49:13,success

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
1397.22,79.7,139.72,7.97
