loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp,status
1,10,710,46.0,71.00,4.60,2026-05-26 14:52:47,success
2,10,716,46.1,71.60,4.61,2026-05-26 14:52:59,success
3,10,729,47.0,72.90,4.70,2026-05-26 14:53:10,success
4,10,742,47.9,74.20,4.79,2026-05-26 14:53:21,success
5,10,728,46.9,72.80,4.69,2026-05-26 14:53:32,success
6,10,730,47.1,73.00,4.71,2026-05-26 14:53:43,success
7,10,754,48.5,75.40,4.85,2026-05-26 14:53:54,success
8,10,729,46.9,72.90,4.69,2026-05-26 14:54:05,success
9,10,727,46.7,72.70,4.67,2026-05-26 14:54:16,success
10,10,743,47.8,74.30,4.78,2026-05-26 14:54:27,success
11,10,733,47.0,73.30,4.70,2026-05-26 14:54:38,success
12,10,719,46.0,71.90,4.60,2026-05-26 14:54:49,success
13,10,730,46.6,73.00,4.66,2026-05-26 14:55:01,success
14,10,734,47.0,73.40,4.70,2026-05-26 14:55:12,success
15,10,735,47.0,73.50,4.70,2026-05-26 14:55:23,success
16,10,735,47.1,73.50,4.71,2026-05-26 14:55:34,success
17,10,750,48.0,75.00,4.80,2026-05-26 14:55:45,success
18,10,731,47.5,73.10,4.75,2026-05-26 14:55:56,success
19,10,727,47.4,72.70,4.74,2026-05-26 14:56:07,success
20,10,726,47.1,72.60,4.71,2026-05-26 14:56:25,success
21,10,740,47.3,74.00,4.73,2026-05-26 14:56:36,success
22,10,761,48.6,76.10,4.86,2026-05-26 14:56:47,success
23,10,740,47.3,74.00,4.73,2026-05-26 14:56:58,success
24,10,729,46.6,72.90,4.66,2026-05-26 14:57:10,success
25,10,732,46.8,73.20,4.68,2026-05-26 14:57:21,success
26,10,731,46.7,73.10,4.67,2026-05-26 14:57:32,success
27,10,737,47.1,73.70,4.71,2026-05-26 14:57:43,success
28,10,708,47.1,70.80,4.71,2026-05-26 14:57:54,success
29,10,699,47.1,69.90,4.71,2026-05-26 14:58:05,success
30,10,727,47.3,72.70,4.73,2026-05-26 14:58:16,success
31,10,736,46.9,73.60,4.69,2026-05-26 14:58:27,success
32,10,719,46.6,71.90,4.66,2026-05-26 14:58:39,success
33,10,718,45.9,71.80,4.59,2026-05-26 14:58:50,success
34,10,739,47.1,73.90,4.71,2026-05-26 14:59:01,success
35,10,739,47.1,73.90,4.71,2026-05-26 14:59:12,success
36,10,726,46.5,72.60,4.65,2026-05-26 14:59:23,success
37,10,744,47.7,74.40,4.77,2026-05-26 14:59:34,success
38,10,738,47.0,73.80,4.70,2026-05-26 14:59:45,success
39,10,749,47.6,74.90,4.76,2026-05-26 14:59:56,success
40,10,552,35.2,55.20,3.52,2026-05-26 15:00:07,success
41,10,736,47.1,73.60,4.71,2026-05-26 15:00:18,success
42,10,746,47.6,74.60,4.76,2026-05-26 15:00:30,success
43,10,760,48.5,76.00,4.85,2026-05-26 15:00:41,success
44,10,743,47.4,74.30,4.74,2026-05-26 15:00:52,success
45,10,740,47.3,74.00,4.73,2026-05-26 15:01:03,success
46,10,736,47.0,73.60,4.70,2026-05-26 15:01:14,success
47,10,742,47.3,74.20,4.73,2026-05-26 15:01:25,success
48,10,716,45.6,71.60,4.56,2026-05-26 15:01:36,success
49,10,723,46.0,72.30,4.60,2026-05-26 15:01:47,success
50,10,741,47.2,74.10,4.72,2026-05-26 15:02:05,success

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
729.50,46.8,72.95,4.68
