loop_number	run_duration_seconds	total_images	total_size_mb	images_per_second	mb_per_second	timestamp	status
1	10	400	26.5	40	2.65	5/26/2026 13:58	success
2	10	400	26.8	40	2.68	5/26/2026 13:58	success
3	10	394	26.3	39.4	2.63	5/26/2026 13:58	success
4	10	402	26.7	40.2	2.67	5/26/2026 13:58	success
5	10	400	26.7	40	2.67	5/26/2026 13:59	success
6	10	401	26.7	40.1	2.67	5/26/2026 13:59	success
7	10	402	26.6	40.2	2.66	5/26/2026 13:59	success
8	10	395	26.3	39.5	2.63	5/26/2026 13:59	success
9	10	403	26.8	40.3	2.68	5/26/2026 13:59	success
10	10	400	26.7	40	2.67	5/26/2026 13:59	success
11	10	391	25.7	39.1	2.57	5/26/2026 14:00	success
12	10	402	26.5	40.2	2.65	5/26/2026 14:00	success
13	10	406	26.7	40.6	2.67	5/26/2026 14:00	success
14	10	400	26.2	40	2.62	5/26/2026 14:00	success
15	10	400	26.3	40	2.63	5/26/2026 14:00	success
16	10	394	25.9	39.4	2.59	5/26/2026 14:01	success
17	10	407	27	40.7	2.7	5/26/2026 14:01	success
18	10	410	26.9	41	2.69	5/26/2026 14:01	success
19	10	405	26.6	40.5	2.66	5/26/2026 14:01	success
20	10	403	26.5	40.3	2.65	5/26/2026 14:01	success
21	10	395	26.3	39.5	2.63	5/26/2026 14:01	success
22	10	401	26.4	40.1	2.64	5/26/2026 14:02	success
23	10	399	26.2	39.9	2.62	5/26/2026 14:02	success
24	10	400	26.3	40	2.63	5/26/2026 14:02	success
25	10	400	26.6	40	2.66	5/26/2026 14:02	success
26	10	400	26.3	40	2.63	5/26/2026 14:02	success
27	10	400	26.3	40	2.63	5/26/2026 14:03	success
28	10	410	26.8	41	2.68	5/26/2026 14:03	success
29	10	400	26.3	40	2.63	5/26/2026 14:03	success
30	10	410	27	41	2.7	5/26/2026 14:03	success
31	10	410	26.9	41	2.69	5/26/2026 14:03	success
32	10	406	26.2	40.6	2.62	5/26/2026 14:03	success
33	10	396	26.1	39.6	2.61	5/26/2026 14:04	success
34	10	400	26.5	40	2.65	5/26/2026 14:04	success
35	10	400	26.5	40	2.65	5/26/2026 14:04	success
36	10	400	26.5	40	2.65	5/26/2026 14:04	success
37	10	407	26.7	40.7	2.67	5/26/2026 14:04	success
38	10	410	27	41	2.7	5/26/2026 14:05	success
39	10	402	26.5	40.2	2.65	5/26/2026 14:05	success
40	10	395	26.1	39.5	2.61	5/26/2026 14:05	success
41	10	400	26.2	40	2.62	5/26/2026 14:05	success
42	10	403	26.3	40.3	2.63	5/26/2026 14:05	success
43	10	398	26.1	39.8	2.61	5/26/2026 14:06	success
44	10	399	26.2	39.9	2.62	5/26/2026 14:06	success
45	10	401	26.5	40.1	2.65	5/26/2026 14:06	success
46	10	402	26.6	40.2	2.66	5/26/2026 14:06	success
47	10	407	26.8	40.7	2.68	5/26/2026 14:06	success
48	10	400	26.3	40	2.63	5/26/2026 14:06	success
49	10	400	26.3	40	2.63	5/26/2026 14:07	success
50	10	404	26.6	40.4	2.66	5/26/2026 14:07	success
							
AVERAGE							
average_images_per_loop	average_mb_per_loop	average_images_per_second	average_mb_per_second				
401.4	26.5	40.14	2.65				
