loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp,status
1,10,278,18.3,27.80,1.83,2026-05-26 13:43:58,success
2,10,279,18.3,27.90,1.83,2026-05-26 13:44:09,success
3,10,277,18.2,27.70,1.82,2026-05-26 13:44:21,success
4,10,280,18.4,28.00,1.84,2026-05-26 13:44:32,success
5,10,276,17.8,27.60,1.78,2026-05-26 13:44:43,success
6,10,272,17.8,27.20,1.78,2026-05-26 13:44:54,success
7,10,280,18.3,28.00,1.83,2026-05-26 13:45:05,success
8,10,277,18.1,27.70,1.81,2026-05-26 13:45:16,success
9,10,273,17.9,27.30,1.79,2026-05-26 13:45:27,success
10,10,280,18.1,28.00,1.81,2026-05-26 13:45:38,success
11,10,272,17.9,27.20,1.79,2026-05-26 13:45:49,success
12,10,280,18.3,28.00,1.83,2026-05-26 13:46:00,success
13,10,275,18.0,27.50,1.80,2026-05-26 13:46:11,success
14,10,280,18.2,28.00,1.82,2026-05-26 13:46:22,success
15,10,280,18.3,28.00,1.83,2026-05-26 13:46:34,success
16,10,280,18.4,28.00,1.84,2026-05-26 13:46:45,success
17,10,280,18.4,28.00,1.84,2026-05-26 13:46:56,success
18,10,272,17.8,27.20,1.78,2026-05-26 13:47:07,success
19,10,280,18.4,28.00,1.84,2026-05-26 13:47:18,success
20,10,280,18.5,28.00,1.85,2026-05-26 13:47:29,success
21,10,273,18.2,27.30,1.82,2026-05-26 13:47:40,success
22,10,270,18.0,27.00,1.80,2026-05-26 13:47:52,success
23,10,280,18.7,28.00,1.87,2026-05-26 13:48:03,success
24,10,280,18.7,28.00,1.87,2026-05-26 13:48:14,success
25,10,280,18.3,28.00,1.83,2026-05-26 13:48:25,success
26,10,280,18.4,28.00,1.84,2026-05-26 13:48:36,success
27,10,272,17.9,27.20,1.79,2026-05-26 13:48:47,success
28,10,272,17.8,27.20,1.78,2026-05-26 13:48:58,success
29,10,280,18.3,28.00,1.83,2026-05-26 13:49:10,success
30,10,280,18.4,28.00,1.84,2026-05-26 13:49:21,success
31,10,271,17.8,27.10,1.78,2026-05-26 13:49:32,success
32,10,280,18.4,28.00,1.84,2026-05-26 13:49:43,success
33,10,280,18.4,28.00,1.84,2026-05-26 13:49:54,success
34,10,280,18.5,28.00,1.85,2026-05-26 13:50:05,success
35,10,274,18.1,27.40,1.81,2026-05-26 13:50:16,success
36,10,274,18.1,27.40,1.81,2026-05-26 13:50:27,success
37,10,280,18.5,28.00,1.85,2026-05-26 13:50:38,success
38,10,268,17.7,26.80,1.77,2026-05-26 13:50:49,success
39,10,280,18.4,28.00,1.84,2026-05-26 13:51:01,success
40,10,272,17.9,27.20,1.79,2026-05-26 13:51:12,success
41,10,273,18.2,27.30,1.82,2026-05-26 13:51:23,success
42,10,280,18.7,28.00,1.87,2026-05-26 13:51:34,success
43,10,285,18.6,28.50,1.86,2026-05-26 13:51:45,success
44,10,280,18.4,28.00,1.84,2026-05-26 13:51:56,success
45,10,276,18.3,27.60,1.83,2026-05-26 13:52:07,success
46,10,278,18.6,27.80,1.86,2026-05-26 13:52:18,success
47,10,276,18.2,27.60,1.82,2026-05-26 13:52:29,success
48,10,274,18.2,27.40,1.82,2026-05-26 13:52:41,success
49,10,280,18.5,28.00,1.85,2026-05-26 13:52:52,success
50,10,273,17.9,27.30,1.79,2026-05-26 13:53:03,success

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
277.04,18.2,27.70,1.82
