loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp,status
1,10,1042,45.0,104.20,4.50,2026-05-26 14:21:50,success
2,10,1023,44.2,102.30,4.42,2026-05-26 14:22:01,success
3,10,800,34.5,80.00,3.45,2026-05-26 14:22:12,success
4,10,1053,45.4,105.30,4.54,2026-05-26 14:22:23,success
5,10,1059,45.7,105.90,4.57,2026-05-26 14:22:34,success
6,10,1023,44.0,102.30,4.40,2026-05-26 14:22:45,success
7,10,1055,45.4,105.50,4.54,2026-05-26 14:22:56,success
8,10,1059,45.5,105.90,4.55,2026-05-26 14:23:07,success
9,10,1063,45.7,106.30,4.57,2026-05-26 14:23:18,success
10,10,1049,45.1,104.90,4.51,2026-05-26 14:23:29,success
11,10,1057,45.5,105.70,4.55,2026-05-26 14:23:40,success
12,10,1059,45.5,105.90,4.55,2026-05-26 14:23:51,success
13,10,1059,45.5,105.90,4.55,2026-05-26 14:24:02,success
14,10,1075,46.2,107.50,4.62,2026-05-26 14:24:13,success
15,10,1041,44.8,104.10,4.48,2026-05-26 14:24:24,success
16,10,1049,45.1,104.90,4.51,2026-05-26 14:24:35,success
17,10,1090,46.8,109.00,4.68,2026-05-26 14:24:46,success
18,10,1061,45.6,106.10,4.56,2026-05-26 14:24:57,success
19,10,1049,45.0,104.90,4.50,2026-05-26 14:25:08,success
20,10,1053,45.2,105.30,4.52,2026-05-26 14:25:19,success
21,10,1067,45.8,106.70,4.58,2026-05-26 14:25:30,success
22,10,1075,46.1,107.50,4.61,2026-05-26 14:25:41,success
23,10,1069,45.8,106.90,4.58,2026-05-26 14:25:52,success
24,10,1057,45.3,105.70,4.53,2026-05-26 14:26:03,success
25,10,1047,44.9,104.70,4.49,2026-05-26 14:26:14,success
26,10,1074,46.0,107.40,4.60,2026-05-26 14:26:25,success
27,10,1055,45.2,105.50,4.52,2026-05-26 14:26:36,success
28,10,1040,44.5,104.00,4.45,2026-05-26 14:26:47,success
29,10,1046,44.8,104.60,4.48,2026-05-26 14:26:58,success
30,10,1085,46.5,108.50,4.65,2026-05-26 14:27:09,success
31,10,1066,45.6,106.60,4.56,2026-05-26 14:27:21,success
32,10,1073,45.9,107.30,4.59,2026-05-26 14:27:32,success
33,10,1052,45.1,105.20,4.51,2026-05-26 14:27:43,success
34,10,1060,45.4,106.00,4.54,2026-05-26 14:27:54,success
35,10,1077,46.1,107.70,4.61,2026-05-26 14:28:05,success
36,10,1050,45.0,105.00,4.50,2026-05-26 14:28:16,success
37,10,1058,45.4,105.80,4.54,2026-05-26 14:28:27,success
38,10,1061,45.5,106.10,4.55,2026-05-26 14:28:38,success
39,10,1039,44.6,103.90,4.46,2026-05-26 14:28:49,success
40,10,1046,44.9,104.60,4.49,2026-05-26 14:29:00,success
41,10,1043,44.7,104.30,4.47,2026-05-26 14:29:11,success
42,10,1051,45.0,105.10,4.50,2026-05-26 14:29:22,success
43,10,1064,45.6,106.40,4.56,2026-05-26 14:29:33,success
44,10,1071,45.9,107.10,4.59,2026-05-26 14:29:44,success
45,10,1052,45.1,105.20,4.51,2026-05-26 14:29:55,success
46,10,1054,45.1,105.40,4.51,2026-05-26 14:30:06,success
47,10,1058,45.3,105.80,4.53,2026-05-26 14:30:17,success
48,10,1051,45.0,105.10,4.50,2026-05-26 14:30:28,success
49,10,1047,44.9,104.70,4.49,2026-05-26 14:30:39,success
50,10,1049,44.9,104.90,4.49,2026-05-26 14:30:50,success

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
1051.12,45.1,105.11,4.51
