loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp,status
1,10,1066,46.3,106.60,4.63,2026-05-26 14:52:48,success
2,10,1057,46.0,105.70,4.60,2026-05-26 14:52:59,success
3,10,1057,46.0,105.70,4.60,2026-05-26 14:53:10,success
4,10,1052,45.8,105.20,4.58,2026-05-26 14:53:21,success
5,10,1057,46.0,105.70,4.60,2026-05-26 14:53:32,success
6,10,1052,45.8,105.20,4.58,2026-05-26 14:53:43,success
7,10,1057,46.0,105.70,4.60,2026-05-26 14:53:54,success
8,10,1041,45.3,104.10,4.53,2026-05-26 14:54:05,success
9,10,1042,45.3,104.20,4.53,2026-05-26 14:54:16,success
10,10,1057,46.0,105.70,4.60,2026-05-26 14:54:27,success
11,10,1044,45.4,104.40,4.54,2026-05-26 14:54:38,success
12,10,1041,45.3,104.10,4.53,2026-05-26 14:54:49,success
13,10,1051,45.7,105.10,4.57,2026-05-26 14:55:00,success
14,10,1058,46.0,105.80,4.60,2026-05-26 14:55:11,success
15,10,1080,47.0,108.00,4.70,2026-05-26 14:55:22,success
16,10,1065,46.3,106.50,4.63,2026-05-26 14:55:33,success
17,10,1051,45.7,105.10,4.57,2026-05-26 14:55:44,success
18,10,1058,46.0,105.80,4.60,2026-05-26 14:55:55,success
19,10,1090,47.3,109.00,4.73,2026-05-26 14:56:06,success
20,10,1052,45.7,105.20,4.57,2026-05-26 14:56:17,success
21,10,1036,45.0,103.60,4.50,2026-05-26 14:56:28,success
22,10,1044,45.4,104.40,4.54,2026-05-26 14:56:39,success
23,10,1075,46.7,107.50,4.67,2026-05-26 14:56:50,success
24,10,1060,46.1,106.00,4.61,2026-05-26 14:57:01,success
25,10,1055,45.9,105.50,4.59,2026-05-26 14:57:12,success
26,10,1053,45.8,105.30,4.58,2026-05-26 14:57:24,success
27,10,1074,46.7,107.40,4.67,2026-05-26 14:57:35,success
28,10,1081,47.0,108.10,4.70,2026-05-26 14:57:46,success
29,10,1060,46.1,106.00,4.61,2026-05-26 14:57:57,success
30,10,1051,45.7,105.10,4.57,2026-05-26 14:58:08,success
31,10,1043,45.4,104.30,4.54,2026-05-26 14:58:19,success
32,10,1052,45.8,105.20,4.58,2026-05-26 14:58:30,success
33,10,1048,45.6,104.80,4.56,2026-05-26 14:58:41,success
34,10,1043,45.4,104.30,4.54,2026-05-26 14:58:52,success
35,10,1056,46.0,105.60,4.60,2026-05-26 14:59:03,success
36,10,1057,46.0,105.70,4.60,2026-05-26 14:59:14,success
37,10,1052,45.8,105.20,4.58,2026-05-26 14:59:25,success
38,10,1056,45.9,105.60,4.59,2026-05-26 14:59:36,success
39,10,1055,45.9,105.50,4.59,2026-05-26 14:59:47,success
40,10,1059,46.1,105.90,4.61,2026-05-26 14:59:58,success
41,10,1050,45.7,105.00,4.57,2026-05-26 15:00:09,success
42,10,1058,46.0,105.80,4.60,2026-05-26 15:00:20,success
43,10,1052,45.7,105.20,4.57,2026-05-26 15:00:31,success
44,10,1077,46.8,107.70,4.68,2026-05-26 15:00:42,success
45,10,1063,46.2,106.30,4.62,2026-05-26 15:00:53,success
46,10,1030,44.8,103.00,4.48,2026-05-26 15:01:04,success
47,10,1043,45.4,104.30,4.54,2026-05-26 15:01:15,success
48,10,1076,46.8,107.60,4.68,2026-05-26 15:01:26,success
49,10,1057,46.0,105.70,4.60,2026-05-26 15:01:37,success
50,10,1046,45.5,104.60,4.55,2026-05-26 15:01:48,success

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
1055.80,45.9,105.58,4.59
