loop_number	run_duration_seconds	total_images	total_size_mb	images_per_second	mb_per_second	timestamp	status
1	10	275	18.1	27.5	1.81	5/26/2026 13:43	success
2	10	274	18	27.4	1.8	5/26/2026 13:44	success
3	10	277	18.2	27.7	1.82	5/26/2026 13:44	success
4	10	277	18.2	27.7	1.82	5/26/2026 13:44	success
5	10	280	18.1	28	1.81	5/26/2026 13:44	success
6	10	280	18.3	28	1.83	5/26/2026 13:44	success
7	10	279	18.3	27.9	1.83	5/26/2026 13:45	success
8	10	275	18	27.5	1.8	5/26/2026 13:45	success
9	10	280	18.3	28	1.83	5/26/2026 13:45	success
10	10	280	18.1	28	1.81	5/26/2026 13:45	success
11	10	271	17.8	27.1	1.78	5/26/2026 13:45	success
12	10	274	17.9	27.4	1.79	5/26/2026 13:46	success
13	10	279	18.3	27.9	1.83	5/26/2026 13:46	success
14	10	280	18.1	28	1.81	5/26/2026 13:46	success
15	10	280	18.3	28	1.83	5/26/2026 13:46	success
16	10	280	18.4	28	1.84	5/26/2026 13:46	success
17	10	280	18.4	28	1.84	5/26/2026 13:46	success
18	10	280	18.4	28	1.84	5/26/2026 13:47	success
19	10	280	18.4	28	1.84	5/26/2026 13:47	success
20	10	280	18.5	28	1.85	5/26/2026 13:47	success
21	10	273	18.2	27.3	1.82	5/26/2026 13:47	success
22	10	273	18.2	27.3	1.82	5/26/2026 13:47	success
23	10	280	18.7	28	1.87	5/26/2026 13:48	success
24	10	280	18.6	28	1.86	5/26/2026 13:48	success
25	10	280	18.3	28	1.83	5/26/2026 13:48	success
26	10	278	18.3	27.8	1.83	5/26/2026 13:48	success
27	10	271	17.8	27.1	1.78	5/26/2026 13:48	success
28	10	278	18.2	27.8	1.82	5/26/2026 13:49	success
29	10	280	18.3	28	1.83	5/26/2026 13:49	success
30	10	278	18.3	27.8	1.83	5/26/2026 13:49	success
31	10	279	18.4	27.9	1.84	5/26/2026 13:49	success
32	10	269	17.7	26.9	1.77	5/26/2026 13:49	success
33	10	280	18.4	28	1.84	5/26/2026 13:49	success
34	10	280	18.5	28	1.85	5/26/2026 13:50	success
35	10	280	18.5	28	1.85	5/26/2026 13:50	success
36	10	279	18.5	27.9	1.85	5/26/2026 13:50	success
37	10	276	18.3	27.6	1.83	5/26/2026 13:50	success
38	10	271	17.8	27.1	1.78	5/26/2026 13:50	success
39	10	276	18.1	27.6	1.81	5/26/2026 13:51	success
40	10	279	18.4	27.9	1.84	5/26/2026 13:51	success
41	10	263	17.6	26.3	1.76	5/26/2026 13:51	success
42	10	279	18.5	27.9	1.85	5/26/2026 13:51	success
43	10	280	18.3	28	1.83	5/26/2026 13:51	success
44	10	271	17.9	27.1	1.79	5/26/2026 13:52	success
45	10	279	18.6	27.9	1.86	5/26/2026 13:52	success
46	10	273	18.2	27.3	1.82	5/26/2026 13:52	success
47	10	270	18	27	1.8	5/26/2026 13:52	success
48	10	280	18.4	28	1.84	5/26/2026 13:52	success
49	10	275	18.2	27.5	1.82	5/26/2026 13:52	success
50	10	338	22.2	33.8	2.22	5/26/2026 13:53	success
							
AVERAGE							
average_images_per_loop	average_mb_per_loop	average_images_per_second	average_mb_per_second				
278.18	18.3	27.82	1.83				
