loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp,status
1,10,706,46.0,70.60,4.60,2026-05-26 14:52:48,success
2,10,705,46.1,70.50,4.61,2026-05-26 14:53:00,success
3,10,661,43.2,66.10,4.32,2026-05-26 14:53:12,success
4,10,636,41.6,63.60,4.16,2026-05-26 14:53:23,success
5,10,724,47.3,72.40,4.73,2026-05-26 14:53:34,success
6,10,727,47.5,72.70,4.75,2026-05-26 14:53:46,success
7,10,722,47.2,72.20,4.72,2026-05-26 14:53:58,success
8,10,728,47.6,72.80,4.76,2026-05-26 14:54:09,success
9,10,647,42.3,64.70,4.23,2026-05-26 14:54:20,success
10,10,696,45.5,69.60,4.55,2026-05-26 14:54:32,success
11,10,712,46.7,71.20,4.67,2026-05-26 14:54:44,success
12,10,712,46.7,71.20,4.67,2026-05-26 14:54:55,success
13,10,711,46.6,71.10,4.66,2026-05-26 14:55:07,success
14,10,719,47.1,71.90,4.71,2026-05-26 14:55:19,success
15,10,691,45.3,69.10,4.53,2026-05-26 14:55:30,success
16,10,666,43.7,66.60,4.37,2026-05-26 14:55:42,success
17,10,666,43.6,66.60,4.36,2026-05-26 14:55:53,success
18,10,718,47.0,71.80,4.70,2026-05-26 14:56:05,success
19,10,703,46.0,70.30,4.60,2026-05-26 14:56:16,success
20,10,656,43.0,65.60,4.30,2026-05-26 14:56:28,success
21,10,704,46.2,70.40,4.62,2026-05-26 14:56:41,success
22,10,715,46.9,71.50,4.69,2026-05-26 14:56:52,success
23,10,707,46.4,70.70,4.64,2026-05-26 14:57:03,success
24,10,669,43.9,66.90,4.39,2026-05-26 14:57:15,success
25,10,708,46.5,70.80,4.65,2026-05-26 14:57:26,success
26,10,696,45.7,69.60,4.57,2026-05-26 14:57:37,success
27,10,650,42.7,65.00,4.27,2026-05-26 14:57:49,success
28,10,720,47.1,72.00,4.71,2026-05-26 14:58:00,success
29,10,724,47.4,72.40,4.74,2026-05-26 14:58:12,success
30,10,716,46.9,71.60,4.69,2026-05-26 14:58:23,success
31,10,714,46.8,71.40,4.68,2026-05-26 14:58:34,success
32,10,712,46.7,71.20,4.67,2026-05-26 14:58:47,success
33,10,724,47.5,72.40,4.75,2026-05-26 14:58:59,success
34,10,699,45.8,69.90,4.58,2026-05-26 14:59:10,success
35,10,665,43.6,66.50,4.36,2026-05-26 14:59:22,success
36,10,715,46.9,71.50,4.69,2026-05-26 14:59:34,success
37,10,705,46.3,70.50,4.63,2026-05-26 14:59:46,success
38,10,713,46.8,71.30,4.68,2026-05-26 14:59:57,success
39,10,714,46.9,71.40,4.69,2026-05-26 15:00:09,success
40,10,711,46.7,71.10,4.67,2026-05-26 15:00:21,success
41,10,706,46.3,70.60,4.63,2026-05-26 15:00:33,success
42,10,710,46.6,71.00,4.66,2026-05-26 15:00:44,success
43,10,701,46.1,70.10,4.61,2026-05-26 15:00:55,success
44,10,715,47.0,71.50,4.70,2026-05-26 15:01:06,success
45,10,668,43.9,66.80,4.39,2026-05-26 15:01:18,success
46,10,716,47.0,71.60,4.70,2026-05-26 15:01:30,success
47,10,705,46.3,70.50,4.63,2026-05-26 15:01:42,success
48,10,721,47.3,72.10,4.73,2026-05-26 15:01:54,success
49,10,657,43.1,65.70,4.31,2026-05-26 15:02:05,success
50,10,705,46.3,70.50,4.63,2026-05-26 15:02:17,success

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
699.82,45.9,69.98,4.59
