loop_number	run_duration_seconds	total_images	total_size_mb	images_per_second	mb_per_second	timestamp	status
1	10	418	26.2	41.8	2.62	5/25/2026 11:09	success
2	10	454	28.3	45.4	2.83	5/25/2026 11:09	success
3	10	447	27.9	44.7	2.79	5/25/2026 11:09	success
4	10	439	27.3	43.9	2.73	5/25/2026 11:10	success
5	10	440	27.4	44	2.74	5/25/2026 11:10	success
6	10	399	24.8	39.9	2.48	5/25/2026 11:10	success
7	10	446	27.8	44.6	2.78	5/25/2026 11:10	success
8	10	446	27.8	44.6	2.78	5/25/2026 11:10	success
9	10	449	27.9	44.9	2.79	5/25/2026 11:11	success
10	10	434	27	43.4	2.7	5/25/2026 11:11	success
11	10	436	27.1	43.6	2.71	5/25/2026 11:11	success
12	10	446	27.8	44.6	2.78	5/25/2026 11:11	success
13	10	441	27.4	44.1	2.74	5/25/2026 11:11	success
14	10	447	27.8	44.7	2.78	5/25/2026 11:11	success
15	10	448	27.9	44.8	2.79	5/25/2026 11:12	success
16	10	442	27.5	44.2	2.75	5/25/2026 11:12	success
17	10	455	28.3	45.5	2.83	5/25/2026 11:12	success
18	10	450	28	45	2.8	5/25/2026 11:12	success
19	10	449	28	44.9	2.8	5/25/2026 11:12	success
20	10	453	28.2	45.3	2.82	5/25/2026 11:13	success
21	10	348	21.6	34.8	2.16	5/25/2026 11:13	success
22	10	447	27.8	44.7	2.78	5/25/2026 11:13	success
23	10	449	27.9	44.9	2.79	5/25/2026 11:13	success
24	10	438	27.2	43.8	2.72	5/25/2026 11:13	success
25	10	454	28.2	45.4	2.82	5/25/2026 11:13	success
26	10	455	28.3	45.5	2.83	5/25/2026 11:14	success
27	10	442	27.4	44.2	2.74	5/25/2026 11:14	success
28	10	444	27.6	44.4	2.76	5/25/2026 11:14	success
29	10	444	27.6	44.4	2.76	5/25/2026 11:14	success
30	10	440	27.3	44	2.73	5/25/2026 11:14	success
31	10	445	27.6	44.5	2.76	5/25/2026 11:15	success
32	10	444	27.5	44.4	2.75	5/25/2026 11:15	success
33	10	440	27.3	44	2.73	5/25/2026 11:15	success
34	10	443	28.3	44.3	2.83	5/25/2026 11:15	success
35	10	434	27.8	43.4	2.78	5/25/2026 11:15	success
36	10	433	27.7	43.3	2.77	5/25/2026 11:16	success
37	10	443	27.5	44.3	2.75	5/25/2026 11:16	success
38	10	446	27.6	44.6	2.76	5/25/2026 11:16	success
39	10	441	27.4	44.1	2.74	5/25/2026 11:16	success
40	10	447	27.7	44.7	2.77	5/25/2026 11:16	success
41	10	448	27.8	44.8	2.78	5/25/2026 11:16	success
42	10	445	27.6	44.5	2.76	5/25/2026 11:17	success
43	10	446	27.7	44.6	2.77	5/25/2026 11:17	success
44	10	349	21.7	34.9	2.17	5/25/2026 11:17	success
45	10	416	25.8	41.6	2.58	5/25/2026 11:17	success
46	10	451	28	45.1	2.8	5/25/2026 11:17	success
47	10	450	27.9	45	2.79	5/25/2026 11:18	success
48	10	441	27.4	44.1	2.74	5/25/2026 11:18	success
49	10	449	27.9	44.9	2.79	5/25/2026 11:18	success
50	10	448	27.8	44.8	2.78	5/25/2026 11:18	success
							
AVERAGE							
average_images_per_loop	average_mb_per_loop	average_images_per_second	average_mb_per_second				
439.18	27.3	43.92	2.73				
