loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp,status
1,10,200,12.7,20.00,1.27,2026-05-25 11:37:18,success
2,10,201,12.7,20.10,1.27,2026-05-25 11:37:29,success
3,10,176,11.1,17.60,1.11,2026-05-25 11:37:40,success
4,10,196,12.4,19.60,1.24,2026-05-25 11:37:51,success
5,10,196,12.4,19.60,1.24,2026-05-25 11:38:02,success
6,10,200,12.6,20.00,1.26,2026-05-25 11:38:13,success
7,10,201,12.7,20.10,1.27,2026-05-25 11:38:24,success
8,10,201,12.7,20.10,1.27,2026-05-25 11:38:35,success
9,10,200,12.6,20.00,1.26,2026-05-25 11:38:46,success
10,10,202,12.8,20.20,1.28,2026-05-25 11:38:57,success
11,10,201,12.7,20.10,1.27,2026-05-25 11:39:09,success
12,10,198,12.5,19.80,1.25,2026-05-25 11:39:20,success
13,10,201,12.7,20.10,1.27,2026-05-25 11:39:31,success
14,10,201,12.7,20.10,1.27,2026-05-25 11:39:42,success
15,10,202,12.8,20.20,1.28,2026-05-25 11:39:53,success
16,10,199,12.6,19.90,1.26,2026-05-25 11:40:04,success
17,10,200,12.7,20.00,1.27,2026-05-25 11:40:15,success
18,10,196,12.4,19.60,1.24,2026-05-25 11:40:26,success
19,10,198,12.5,19.80,1.25,2026-05-25 11:40:37,success
20,10,202,12.8,20.20,1.28,2026-05-25 11:40:48,success
21,10,203,12.8,20.30,1.28,2026-05-25 11:41:00,success
22,10,199,12.6,19.90,1.26,2026-05-25 11:41:11,success
23,10,135,8.5,13.50,0.85,2026-05-25 11:41:22,success
24,10,201,12.7,20.10,1.27,2026-05-25 11:41:42,success
25,10,201,12.7,20.10,1.27,2026-05-25 11:41:53,success
26,10,199,12.6,19.90,1.26,2026-05-25 11:42:04,success
27,10,197,12.4,19.70,1.24,2026-05-25 11:42:15,success
28,10,200,12.6,20.00,1.26,2026-05-25 11:42:26,success
29,10,200,12.6,20.00,1.26,2026-05-25 11:42:38,success
30,10,198,12.5,19.80,1.25,2026-05-25 11:42:49,success
31,10,202,12.8,20.20,1.28,2026-05-25 11:43:00,success
32,10,199,12.6,19.90,1.26,2026-05-25 11:43:11,success
33,10,202,12.8,20.20,1.28,2026-05-25 11:43:22,success
34,10,200,12.6,20.00,1.26,2026-05-25 11:43:33,success
35,10,203,12.8,20.30,1.28,2026-05-25 11:43:44,success
36,10,201,12.7,20.10,1.27,2026-05-25 11:43:55,success
37,10,202,12.8,20.20,1.28,2026-05-25 11:44:06,success
38,10,200,12.6,20.00,1.26,2026-05-25 11:44:17,success
39,10,190,12.0,19.00,1.20,2026-05-25 11:44:29,success
40,10,201,12.7,20.10,1.27,2026-05-25 11:44:40,success
41,10,199,12.6,19.90,1.26,2026-05-25 11:44:51,success
42,10,201,12.7,20.10,1.27,2026-05-25 11:45:02,success
43,10,201,12.7,20.10,1.27,2026-05-25 11:45:14,success
44,10,202,12.8,20.20,1.28,2026-05-25 11:45:25,success
45,10,201,12.7,20.10,1.27,2026-05-25 11:45:36,success
46,10,203,12.8,20.30,1.28,2026-05-25 11:45:47,success
47,10,201,12.7,20.10,1.27,2026-05-25 11:45:58,success
48,10,202,12.8,20.20,1.28,2026-05-25 11:46:09,success
49,10,200,12.6,20.00,1.26,2026-05-25 11:46:20,success
50,10,351,22.2,35.10,2.22,2026-05-25 11:46:31,success

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
201.30,12.7,20.13,1.27
