loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp,status
1,10,368,22.9,36.80,2.29,2026-05-25 13:33:56,success
2,10,341,18.0,34.10,1.80,2026-05-25 13:34:25,success
3,10,466,24.2,46.60,2.42,2026-05-25 13:34:36,success
4,10,707,36.6,70.70,3.66,2026-05-25 13:34:48,success
5,10,356,18.5,35.60,1.85,2026-05-25 13:34:59,success
6,10,355,18.5,35.50,1.85,2026-05-25 13:35:10,success
7,10,712,37.0,71.20,3.70,2026-05-25 13:35:21,success
8,10,355,18.5,35.50,1.85,2026-05-25 13:35:32,success
9,10,355,18.6,35.50,1.86,2026-05-25 13:35:43,success
10,10,704,36.6,70.40,3.66,2026-05-25 13:35:54,success
11,10,548,28.5,54.80,2.85,2026-05-25 13:36:05,success
12,10,708,36.8,70.80,3.68,2026-05-25 13:36:18,success
13,10,265,13.8,26.50,1.38,2026-05-25 13:36:29,success
14,10,385,20.0,38.50,2.00,2026-05-25 13:36:43,success
15,10,713,36.9,71.30,3.69,2026-05-25 13:36:54,success
16,10,709,36.8,70.90,3.68,2026-05-25 13:37:05,success
17,10,486,25.2,48.60,2.52,2026-05-25 13:37:16,success
18,10,699,36.1,69.90,3.61,2026-05-25 13:37:28,success
19,10,280,14.4,28.00,1.44,2026-05-25 13:37:39,success
20,10,578,29.9,57.80,2.99,2026-05-25 13:37:50,success
21,10,591,30.5,59.10,3.05,2026-05-25 13:38:01,success
22,10,570,29.5,57.00,2.95,2026-05-25 13:38:12,success
23,10,540,28.2,54.00,2.82,2026-05-25 13:38:23,success
24,10,592,30.7,59.20,3.07,2026-05-25 13:38:34,success
25,10,182,9.4,18.20,0.94,2026-05-25 13:38:45,success
26,10,577,29.8,57.70,2.98,2026-05-25 13:38:57,success
27,10,576,29.8,57.60,2.98,2026-05-25 13:39:08,success
28,10,640,33.1,64.00,3.31,2026-05-25 13:39:19,success
29,10,699,36.3,69.90,3.63,2026-05-25 13:39:30,success
30,10,702,36.4,70.20,3.64,2026-05-25 13:39:41,success
31,10,568,29.3,56.80,2.93,2026-05-25 13:40:13,success
32,10,701,36.2,70.10,3.62,2026-05-25 13:40:24,success
33,10,704,36.3,70.40,3.63,2026-05-25 13:40:35,success
34,10,351,18.0,35.10,1.80,2026-05-25 13:40:46,success
35,10,701,36.3,70.10,3.63,2026-05-25 13:40:57,success
36,10,319,16.5,31.90,1.65,2026-05-25 13:41:09,success
37,10,222,11.5,22.20,1.15,2026-05-25 13:41:20,success
38,10,713,36.8,71.30,3.68,2026-05-25 13:41:31,success
39,10,700,36.2,70.00,3.62,2026-05-25 13:41:42,success
40,10,351,18.2,35.10,1.82,2026-05-25 13:41:53,success
41,10,188,9.7,18.80,0.97,2026-05-25 13:42:04,success
42,10,526,27.2,52.60,2.72,2026-05-25 13:42:15,success
43,10,716,36.9,71.60,3.69,2026-05-25 13:42:26,success
44,10,546,28.1,54.60,2.81,2026-05-25 13:42:37,success
45,10,715,37.0,71.50,3.70,2026-05-25 13:42:50,success
46,10,257,13.2,25.70,1.32,2026-05-25 13:43:01,success
47,10,351,18.0,35.10,1.80,2026-05-25 13:43:12,success
48,10,715,36.8,71.50,3.68,2026-05-25 13:43:23,success
49,10,713,36.9,71.30,3.69,2026-05-25 13:43:34,success
50,10,710,36.7,71.00,3.67,2026-05-25 13:43:45,success

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
530.52,27.5,53.05,2.75
