loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp,status
1,10,306,19.1,30.60,1.91,2026-05-25 13:12:18,success
2,10,291,18.1,29.10,1.81,2026-05-25 13:12:29,success
3,10,307,19.2,30.70,1.92,2026-05-25 13:12:40,success
4,10,298,18.6,29.80,1.86,2026-05-25 13:12:51,success
5,10,312,19.4,31.20,1.94,2026-05-25 13:13:02,success
6,10,307,19.1,30.70,1.91,2026-05-25 13:13:13,success
7,10,309,19.2,30.90,1.92,2026-05-25 13:13:24,success
8,10,314,19.5,31.40,1.95,2026-05-25 13:13:35,success
9,10,299,18.6,29.90,1.86,2026-05-25 13:13:46,success
10,10,319,19.9,31.90,1.99,2026-05-25 13:13:57,success
11,10,314,19.5,31.40,1.95,2026-05-25 13:14:08,success
12,10,312,19.4,31.20,1.94,2026-05-25 13:14:19,success
13,10,305,18.9,30.50,1.89,2026-05-25 13:14:30,success
14,10,313,19.4,31.30,1.94,2026-05-25 13:14:41,success
15,10,302,18.7,30.20,1.87,2026-05-25 13:14:53,success
16,10,308,19.7,30.80,1.97,2026-05-25 13:15:04,success
17,10,238,14.7,23.80,1.47,2026-05-25 13:15:15,success
18,10,287,17.7,28.70,1.77,2026-05-25 13:15:26,success
19,10,309,19.1,30.90,1.91,2026-05-25 13:15:37,success
20,10,314,19.4,31.40,1.94,2026-05-25 13:15:48,success
21,10,293,18.1,29.30,1.81,2026-05-25 13:15:59,success
22,10,273,16.9,27.30,1.69,2026-05-25 13:16:10,success
23,10,306,19.0,30.60,1.90,2026-05-25 13:16:21,success
24,10,284,17.6,28.40,1.76,2026-05-25 13:16:32,success
25,10,293,18.2,29.30,1.82,2026-05-25 13:16:43,success
26,10,305,19.0,30.50,1.90,2026-05-25 13:16:54,success
27,10,304,18.9,30.40,1.89,2026-05-25 13:17:05,success
28,10,285,17.7,28.50,1.77,2026-05-25 13:17:16,success
29,10,66,4.1,6.60,0.41,2026-05-25 13:17:29,success
30,10,302,18.7,30.20,1.87,2026-05-25 13:17:45,success
31,10,180,11.2,18.00,1.12,2026-05-25 13:17:56,success
32,10,252,15.6,25.20,1.56,2026-05-25 13:18:07,success
33,10,290,18.0,29.00,1.80,2026-05-25 13:18:18,success
34,10,308,19.1,30.80,1.91,2026-05-25 13:18:30,success
35,10,299,18.6,29.90,1.86,2026-05-25 13:18:41,success
36,10,305,18.9,30.50,1.89,2026-05-25 13:18:52,success
37,10,307,19.1,30.70,1.91,2026-05-25 13:19:03,success
38,10,308,19.1,30.80,1.91,2026-05-25 13:19:14,success
39,10,306,19.0,30.60,1.90,2026-05-25 13:19:25,success
40,10,311,19.3,31.10,1.93,2026-05-25 13:19:36,success
41,10,313,19.4,31.30,1.94,2026-05-25 13:19:47,success
42,10,311,19.3,31.10,1.93,2026-05-25 13:19:58,success
43,10,291,18.0,29.10,1.80,2026-05-25 13:20:09,success
44,10,310,19.2,31.00,1.92,2026-05-25 13:20:20,success
45,10,312,19.3,31.20,1.93,2026-05-25 13:20:31,success
46,10,305,18.9,30.50,1.89,2026-05-25 13:20:42,success
47,10,312,19.3,31.20,1.93,2026-05-25 13:20:53,success
48,10,317,19.6,31.70,1.96,2026-05-25 13:21:04,success
49,10,313,19.4,31.30,1.94,2026-05-25 13:21:16,success
50,10,415,25.7,41.50,2.57,2026-05-25 13:21:27,success

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
296.80,18.4,29.68,1.84
