loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp,status
1,10,726,39.4,72.60,3.94,2026-05-25 14:08:08,success
2,10,762,41.0,76.20,4.10,2026-05-25 14:08:19,success
3,10,150,8.1,15.00,0.81,2026-05-25 14:08:30,success
4,10,497,26.9,49.70,2.69,2026-05-25 14:08:47,success
5,10,382,20.6,38.20,2.06,2026-05-25 14:08:59,success
6,10,386,20.8,38.60,2.08,2026-05-25 14:09:10,success
7,10,253,13.7,25.30,1.37,2026-05-25 14:09:21,success
8,10,176,9.5,17.60,0.95,2026-05-25 14:09:32,success
9,10,588,31.7,58.80,3.17,2026-05-25 14:09:46,success
10,10,757,40.9,75.70,4.09,2026-05-25 14:09:58,success
11,10,258,14.2,25.80,1.42,2026-05-25 14:10:09,success
12,10,534,28.9,53.40,2.89,2026-05-25 14:10:23,success
13,10,384,20.7,38.40,2.07,2026-05-25 14:10:35,success
14,10,376,20.2,37.60,2.02,2026-05-25 14:10:46,success
15,10,381,20.5,38.10,2.05,2026-05-25 14:10:57,success
16,10,355,19.8,35.50,1.98,2026-05-25 14:11:08,success
17,10,530,29.4,53.00,2.94,2026-05-25 14:11:20,success
18,10,725,40.3,72.50,4.03,2026-05-25 14:11:32,success
19,10,472,26.3,47.20,2.63,2026-05-25 14:11:43,success
20,10,229,12.8,22.90,1.28,2026-05-25 14:11:54,success
21,10,257,14.3,25.70,1.43,2026-05-25 14:12:05,success
22,10,365,20.3,36.50,2.03,2026-05-25 14:12:16,success
23,10,365,20.4,36.50,2.04,2026-05-25 14:12:27,success
24,10,369,20.6,36.90,2.06,2026-05-25 14:12:38,success
25,10,275,15.2,27.50,1.52,2026-05-25 14:12:49,success
26,10,744,41.4,74.40,4.14,2026-05-25 14:13:03,success
27,10,370,20.6,37.00,2.06,2026-05-25 14:13:14,success
28,10,371,20.6,37.10,2.06,2026-05-25 14:13:25,success
29,10,249,13.5,24.90,1.35,2026-05-25 14:13:36,success
30,10,224,12.4,22.40,1.24,2026-05-25 14:13:47,success
31,10,743,40.8,74.30,4.08,2026-05-25 14:13:58,success
32,10,737,40.8,73.70,4.08,2026-05-25 14:14:10,success
33,10,442,24.5,44.20,2.45,2026-05-25 14:14:21,success
34,10,519,28.7,51.90,2.87,2026-05-25 14:14:40,success
35,10,286,15.8,28.60,1.58,2026-05-25 14:14:53,success
36,10,593,32.9,59.30,3.29,2026-05-25 14:15:04,success
37,10,658,36.5,65.80,3.65,2026-05-25 14:15:17,success
38,10,241,13.4,24.10,1.34,2026-05-25 14:15:31,success
39,10,471,26.1,47.10,2.61,2026-05-25 14:15:42,success
40,10,744,41.2,74.40,4.12,2026-05-25 14:16:02,success
41,10,550,30.6,55.00,3.06,2026-05-25 14:16:13,success
42,10,494,27.5,49.40,2.75,2026-05-25 14:16:34,success
43,10,747,41.4,74.70,4.14,2026-05-25 14:16:47,success
44,10,379,21.0,37.90,2.10,2026-05-25 14:17:02,success
45,10,752,41.7,75.20,4.17,2026-05-25 14:17:13,success
46,10,245,13.6,24.50,1.36,2026-05-25 14:17:24,success
47,10,361,20.0,36.10,2.00,2026-05-25 14:17:38,success
48,10,105,5.8,10.50,0.58,2026-05-25 14:17:49,success
49,10,569,31.4,56.90,3.14,2026-05-25 14:18:05,success
50,10,725,40.3,72.50,4.03,2026-05-25 14:18:27,success

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
457.42,25.2,45.74,2.52
