loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp,status
1,10,307,19.3,30.70,1.93,2026-05-25 13:22:46,success
2,10,305,19.0,30.50,1.90,2026-05-25 13:22:57,success
3,10,308,19.2,30.80,1.92,2026-05-25 13:23:08,success
4,10,244,15.2,24.40,1.52,2026-05-25 13:23:19,success
5,10,107,6.7,10.70,0.67,2026-05-25 13:23:30,success
6,10,182,11.4,18.20,1.14,2026-05-25 13:23:41,success
7,10,157,9.8,15.70,0.98,2026-05-25 13:23:52,success
8,10,143,9.0,14.30,0.90,2026-05-25 13:24:03,success
9,10,99,6.2,9.90,0.62,2026-05-25 13:24:14,success
10,10,166,10.4,16.60,1.04,2026-05-25 13:24:35,success
11,10,127,8.0,12.70,0.80,2026-05-25 13:24:46,success
12,10,185,11.6,18.50,1.16,2026-05-25 13:24:58,success
13,10,149,9.3,14.90,0.93,2026-05-25 13:25:09,success
14,10,117,7.3,11.70,0.73,2026-05-25 13:25:21,success
15,10,172,10.8,17.20,1.08,2026-05-25 13:25:32,success
16,10,187,11.7,18.70,1.17,2026-05-25 13:25:43,success
17,10,160,10.0,16.00,1.00,2026-05-25 13:25:54,success
18,10,172,10.8,17.20,1.08,2026-05-25 13:26:05,success
19,10,193,12.1,19.30,1.21,2026-05-25 13:26:16,success
20,10,193,12.1,19.30,1.21,2026-05-25 13:26:27,success
21,10,215,13.4,21.50,1.34,2026-05-25 13:26:38,success
22,10,203,12.7,20.30,1.27,2026-05-25 13:26:50,success
23,10,213,13.4,21.30,1.34,2026-05-25 13:27:01,success
24,10,219,13.7,21.90,1.37,2026-05-25 13:27:12,success
25,10,215,13.5,21.50,1.35,2026-05-25 13:27:23,success
26,10,159,10.0,15.90,1.00,2026-05-25 13:27:34,success
27,10,173,10.8,17.30,1.08,2026-05-25 13:27:45,success
28,10,159,10.0,15.90,1.00,2026-05-25 13:27:56,success
29,10,162,10.1,16.20,1.01,2026-05-25 13:28:07,success
30,10,212,13.2,21.20,1.32,2026-05-25 13:28:18,success
31,10,179,11.2,17.90,1.12,2026-05-25 13:28:30,success
32,10,217,13.6,21.70,1.36,2026-05-25 13:28:41,success
33,10,213,13.3,21.30,1.33,2026-05-25 13:28:52,success
34,10,187,11.7,18.70,1.17,2026-05-25 13:29:03,success
35,10,185,11.5,18.50,1.15,2026-05-25 13:29:14,success
36,10,187,11.7,18.70,1.17,2026-05-25 13:29:25,success
37,10,98,6.1,9.80,0.61,2026-05-25 13:29:36,success
38,10,164,10.2,16.40,1.02,2026-05-25 13:29:57,success
39,10,143,8.9,14.30,0.89,2026-05-25 13:30:08,success
40,10,164,10.2,16.40,1.02,2026-05-25 13:30:19,success
41,10,151,9.4,15.10,0.94,2026-05-25 13:30:30,success
42,10,149,9.3,14.90,0.93,2026-05-25 13:30:41,success
43,10,205,12.7,20.50,1.27,2026-05-25 13:30:52,success
44,10,143,8.9,14.30,0.89,2026-05-25 13:31:03,success
45,10,84,5.2,8.40,0.52,2026-05-25 13:31:14,success
46,10,218,13.6,21.80,1.36,2026-05-25 13:31:39,success
47,10,192,12.0,19.20,1.20,2026-05-25 13:31:50,success
48,10,256,15.9,25.60,1.59,2026-05-25 13:32:01,success
49,10,184,11.4,18.40,1.14,2026-05-25 13:32:13,success
50,10,242,15.1,24.20,1.51,2026-05-25 13:32:24,success

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
183.28,11.5,18.33,1.15
