loop_number	run_duration_seconds	total_images	total_size_mb	images_per_second	mb_per_second	timestamp	status
1	10	204	13	20.4	1.3	5/25/2026 11:37	success
2	10	201	12.7	20.1	1.27	5/25/2026 11:37	success
3	10	173	10.9	17.3	1.09	5/25/2026 11:37	success
4	10	198	12.5	19.8	1.25	5/25/2026 11:37	success
5	10	198	12.5	19.8	1.25	5/25/2026 11:38	success
6	10	200	12.6	20	1.26	5/25/2026 11:38	success
7	10	201	12.7	20.1	1.27	5/25/2026 11:38	success
8	10	201	12.7	20.1	1.27	5/25/2026 11:38	success
9	10	201	12.7	20.1	1.27	5/25/2026 11:38	success
10	10	203	12.8	20.3	1.28	5/25/2026 11:38	success
11	10	201	12.7	20.1	1.27	5/25/2026 11:39	success
12	10	199	12.6	19.9	1.26	5/25/2026 11:39	success
13	10	202	12.8	20.2	1.28	5/25/2026 11:39	success
14	10	201	12.7	20.1	1.27	5/25/2026 11:39	success
15	10	201	12.7	20.1	1.27	5/25/2026 11:39	success
16	10	200	12.7	20	1.27	5/25/2026 11:40	success
17	10	201	12.7	20.1	1.27	5/25/2026 11:40	success
18	10	199	12.6	19.9	1.26	5/25/2026 11:40	success
19	10	200	12.6	20	1.26	5/25/2026 11:40	success
20	10	204	12.9	20.4	1.29	5/25/2026 11:40	success
21	10	203	12.8	20.3	1.28	5/25/2026 11:40	success
22	10	200	12.6	20	1.26	5/25/2026 11:41	success
23	10	148	9.4	14.8	0.94	5/25/2026 11:41	success
24	10	38	2.4	3.8	0.24	5/25/2026 11:41	success
25	10	193	12.2	19.3	1.22	5/25/2026 11:41	success
26	10	202	12.8	20.2	1.28	5/25/2026 11:41	success
27	10	203	12.8	20.3	1.28	5/25/2026 11:42	success
28	10	200	12.6	20	1.26	5/25/2026 11:42	success
29	10	200	12.6	20	1.26	5/25/2026 11:42	success
30	10	200	12.6	20	1.26	5/25/2026 11:42	success
31	10	200	12.6	20	1.26	5/25/2026 11:42	success
32	10	202	12.8	20.2	1.28	5/25/2026 11:43	success
33	10	200	12.7	20	1.27	5/25/2026 11:43	success
34	10	202	12.8	20.2	1.28	5/25/2026 11:43	success
35	10	197	12.5	19.7	1.25	5/25/2026 11:43	success
36	10	202	12.8	20.2	1.28	5/25/2026 11:43	success
37	10	200	12.6	20	1.26	5/25/2026 11:43	success
38	10	200	12.6	20	1.26	5/25/2026 11:44	success
39	10	200	12.6	20	1.26	5/25/2026 11:44	success
40	10	188	11.9	18.8	1.19	5/25/2026 11:44	success
41	10	202	12.8	20.2	1.28	5/25/2026 11:44	success
42	10	200	12.6	20	1.26	5/25/2026 11:44	success
43	10	201	12.7	20.1	1.27	5/25/2026 11:45	success
44	10	200	12.6	20	1.26	5/25/2026 11:45	success
45	10	201	12.7	20.1	1.27	5/25/2026 11:45	success
46	10	201	12.7	20.1	1.27	5/25/2026 11:45	success
47	10	202	12.8	20.2	1.28	5/25/2026 11:45	success
48	10	200	12.6	20	1.26	5/25/2026 11:45	success
49	10	202	12.8	20.2	1.28	5/25/2026 11:46	success
50	10	200	12.6	20	1.26	5/25/2026 11:46	success
							
AVERAGE							
average_images_per_loop	average_mb_per_loop	average_images_per_second	average_mb_per_second				
195.5	12.4	19.55	1.24				
