loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp,status
1,10,303,12.9,30.30,1.29,2026-05-25 13:12:16,success
2,10,287,12.2,28.70,1.22,2026-05-25 13:12:27,success
3,10,295,12.6,29.50,1.26,2026-05-25 13:12:38,success
4,10,272,11.6,27.20,1.16,2026-05-25 13:12:49,success
5,10,290,12.3,29.00,1.23,2026-05-25 13:13:00,success
6,10,284,12.0,28.40,1.20,2026-05-25 13:13:11,success
7,10,283,12.0,28.30,1.20,2026-05-25 13:13:22,success
8,10,283,12.0,28.30,1.20,2026-05-25 13:13:33,success
9,10,279,11.8,27.90,1.18,2026-05-25 13:13:44,success
10,10,294,12.5,29.40,1.25,2026-05-25 13:13:55,success
11,10,293,12.4,29.30,1.24,2026-05-25 13:14:06,success
12,10,297,12.6,29.70,1.26,2026-05-25 13:14:17,success
13,10,291,12.4,29.10,1.24,2026-05-25 13:14:28,success
14,10,296,12.6,29.60,1.26,2026-05-25 13:14:39,success
15,10,285,12.1,28.50,1.21,2026-05-25 13:14:50,success
16,10,289,12.3,28.90,1.23,2026-05-25 13:15:01,success
17,10,326,13.8,32.60,1.38,2026-05-25 13:15:12,success
18,10,267,11.3,26.70,1.13,2026-05-25 13:15:23,success
19,10,284,12.0,28.40,1.20,2026-05-25 13:15:34,success
20,10,284,12.0,28.40,1.20,2026-05-25 13:15:46,success
21,10,262,11.1,26.20,1.11,2026-05-25 13:15:57,success
22,10,265,11.2,26.50,1.12,2026-05-25 13:16:08,success
23,10,243,10.2,24.30,1.02,2026-05-25 13:16:19,success
24,10,282,11.9,28.20,1.19,2026-05-25 13:16:30,success
25,10,245,10.3,24.50,1.03,2026-05-25 13:16:41,success
26,10,280,11.8,28.00,1.18,2026-05-25 13:16:52,success
27,10,276,11.6,27.60,1.16,2026-05-25 13:17:03,success
28,10,276,11.6,27.60,1.16,2026-05-25 13:17:14,success
29,10,331,13.9,33.10,1.39,2026-05-25 13:17:25,success
30,10,428,18.0,42.80,1.80,2026-05-25 13:17:36,success
31,10,249,10.5,24.90,1.05,2026-05-25 13:17:47,success
32,10,308,13.0,30.80,1.30,2026-05-25 13:17:58,success
33,10,229,9.6,22.90,0.96,2026-05-25 13:18:09,success
34,10,288,12.1,28.80,1.21,2026-05-25 13:18:20,success
35,10,285,12.1,28.50,1.21,2026-05-25 13:18:31,success
36,10,288,12.2,28.80,1.22,2026-05-25 13:18:42,success
37,10,287,12.2,28.70,1.22,2026-05-25 13:18:53,success
38,10,284,12.0,28.40,1.20,2026-05-25 13:19:04,success
39,10,286,12.1,28.60,1.21,2026-05-25 13:19:15,success
40,10,294,12.5,29.40,1.25,2026-05-25 13:19:26,success
41,10,289,12.2,28.90,1.22,2026-05-25 13:19:37,success
42,10,286,12.2,28.60,1.22,2026-05-25 13:19:48,success
43,10,290,12.4,29.00,1.24,2026-05-25 13:19:59,success
44,10,255,10.8,25.50,1.08,2026-05-25 13:20:10,success
45,10,288,12.2,28.80,1.22,2026-05-25 13:20:21,success
46,10,290,12.3,29.00,1.23,2026-05-25 13:20:32,success
47,10,285,12.1,28.50,1.21,2026-05-25 13:20:43,success
48,10,295,12.5,29.50,1.25,2026-05-25 13:20:54,success
49,10,293,12.4,29.30,1.24,2026-05-25 13:21:05,success
50,10,300,12.7,30.00,1.27,2026-05-25 13:21:16,success

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
286.78,12.1,28.68,1.21
