loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp,status
1,10,442,18.7,44.20,1.87,2026-05-25 13:22:36,success
2,10,293,12.4,29.30,1.24,2026-05-25 13:22:47,success
3,10,284,12.1,28.40,1.21,2026-05-25 13:22:58,success
4,10,294,12.5,29.40,1.25,2026-05-25 13:23:09,success
5,10,186,7.9,18.60,0.79,2026-05-25 13:23:20,success
6,10,198,8.5,19.80,0.85,2026-05-25 13:23:31,success
7,10,155,6.6,15.50,0.66,2026-05-25 13:23:43,success
8,10,129,5.5,12.90,0.55,2026-05-25 13:23:54,success
9,10,116,4.9,11.60,0.49,2026-05-25 13:24:05,success
10,10,153,6.5,15.30,0.65,2026-05-25 13:24:16,success
11,10,219,9.3,21.90,0.93,2026-05-25 13:24:27,success
12,10,114,4.9,11.40,0.49,2026-05-25 13:24:38,success
13,10,148,6.4,14.80,0.64,2026-05-25 13:24:49,success
14,10,154,6.6,15.40,0.66,2026-05-25 13:25:00,success
15,10,143,6.1,14.30,0.61,2026-05-25 13:25:11,success
16,10,193,8.2,19.30,0.82,2026-05-25 13:25:22,success
17,10,138,5.8,13.80,0.58,2026-05-25 13:25:33,success
18,10,146,6.2,14.60,0.62,2026-05-25 13:25:44,success
19,10,121,5.1,12.10,0.51,2026-05-25 13:25:55,success
20,10,191,8.1,19.10,0.81,2026-05-25 13:26:06,success
21,10,173,7.3,17.30,0.73,2026-05-25 13:26:17,success
22,10,151,6.4,15.10,0.64,2026-05-25 13:26:28,success
23,10,176,7.5,17.60,0.75,2026-05-25 13:26:39,success
24,10,164,7.0,16.40,0.70,2026-05-25 13:26:50,success
25,10,172,7.3,17.20,0.73,2026-05-25 13:27:01,success
26,10,169,7.2,16.90,0.72,2026-05-25 13:27:12,success
27,10,176,7.5,17.60,0.75,2026-05-25 13:27:23,success
28,10,121,5.1,12.10,0.51,2026-05-25 13:27:34,success
29,10,140,6.0,14.00,0.60,2026-05-25 13:27:45,success
30,10,167,7.1,16.70,0.71,2026-05-25 13:27:56,success
31,10,143,6.1,14.30,0.61,2026-05-25 13:28:07,success
32,10,165,7.0,16.50,0.70,2026-05-25 13:28:19,success
33,10,188,8.0,18.80,0.80,2026-05-25 13:28:30,success
34,10,181,7.7,18.10,0.77,2026-05-25 13:28:41,success
35,10,176,7.5,17.60,0.75,2026-05-25 13:28:52,success
36,10,157,6.7,15.70,0.67,2026-05-25 13:29:03,success
37,10,161,6.8,16.10,0.68,2026-05-25 13:29:14,success
38,10,144,6.1,14.40,0.61,2026-05-25 13:29:25,success
39,10,141,6.0,14.10,0.60,2026-05-25 13:29:36,success
40,10,242,10.3,24.20,1.03,2026-05-25 13:29:47,success
41,10,134,5.7,13.40,0.57,2026-05-25 13:29:58,success
42,10,107,4.6,10.70,0.46,2026-05-25 13:30:09,success
43,10,138,5.9,13.80,0.59,2026-05-25 13:30:20,success
44,10,124,5.3,12.40,0.53,2026-05-25 13:30:31,success
45,10,132,5.6,13.20,0.56,2026-05-25 13:30:42,success
46,10,163,6.9,16.30,0.69,2026-05-25 13:30:53,success
47,10,196,8.3,19.60,0.83,2026-05-25 13:31:04,success
48,10,232,9.8,23.20,0.98,2026-05-25 13:31:15,success
49,10,246,10.4,24.60,1.04,2026-05-25 13:31:26,success
50,10,183,7.8,18.30,0.78,2026-05-25 13:31:37,success

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
175.58,7.5,17.56,0.75
