loop_number	run_duration_seconds	total_images	total_size_mb	images_per_second	mb_per_second	timestamp	status
1	10	130	8.3	13	0.83	5/25/2026 12:49	success
2	10	130	8.2	13	0.82	5/25/2026 12:50	success
3	10	118	7.5	11.8	0.75	5/25/2026 12:50	success
4	10	111	7	11.1	0.7	5/25/2026 12:50	success
5	10	125	7.9	12.5	0.79	5/25/2026 12:50	success
6	10	130	8.2	13	0.82	5/25/2026 12:50	success
7	10	130	8.2	13	0.82	5/25/2026 12:50	success
8	10	130	8.2	13	0.82	5/25/2026 12:51	success
9	10	123	7.7	12.3	0.77	5/25/2026 12:51	success
10	10	129	8.1	12.9	0.81	5/25/2026 12:51	success
11	10	130	8.2	13	0.82	5/25/2026 12:51	success
12	10	126	7.9	12.6	0.79	5/25/2026 12:51	success
13	10	122	7.7	12.2	0.77	5/25/2026 12:52	success
14	10	130	8.2	13	0.82	5/25/2026 12:52	success
15	10	129	8.1	12.9	0.81	5/25/2026 12:52	success
16	10	130	8.2	13	0.82	5/25/2026 12:52	success
17	10	127	8	12.7	0.8	5/25/2026 12:52	success
18	10	50	3.1	5	0.31	5/25/2026 12:52	success
19	10	124	7.8	12.4	0.78	5/25/2026 12:53	success
20	10	128	8.1	12.8	0.81	5/25/2026 12:53	success
21	10	85	5.3	8.5	0.53	5/25/2026 12:53	success
22	10	124	7.8	12.4	0.78	5/25/2026 12:53	success
23	10	52	3.3	5.2	0.33	5/25/2026 12:53	success
24	10	130	8.1	13	0.81	5/25/2026 12:54	success
25	10	129	8.1	12.9	0.81	5/25/2026 12:54	success
26	10	130	8.1	13	0.81	5/25/2026 12:54	success
27	10	124	7.7	12.4	0.77	5/25/2026 12:54	success
28	10	127	7.9	12.7	0.79	5/25/2026 12:54	success
29	10	130	8.1	13	0.81	5/25/2026 12:55	success
30	10	130	8.1	13	0.81	5/25/2026 12:55	success
31	10	130	8	13	0.8	5/25/2026 12:55	success
32	10	132	8.1	13.2	0.81	5/25/2026 12:55	success
33	10	130	8	13	0.8	5/25/2026 12:55	success
34	10	129	8	12.9	0.8	5/25/2026 12:55	success
35	10	130	8	13	0.8	5/25/2026 12:56	success
36	10	129	8	12.9	0.8	5/25/2026 12:56	success
37	10	130	8.1	13	0.81	5/25/2026 12:56	success
38	10	123	7.6	12.3	0.76	5/25/2026 12:56	success
39	10	129	8	12.9	0.8	5/25/2026 12:56	success
40	10	121	7.5	12.1	0.75	5/25/2026 12:57	success
41	10	127	7.9	12.7	0.79	5/25/2026 12:57	success
42	10	126	7.8	12.6	0.78	5/25/2026 12:57	success
43	10	126	7.8	12.6	0.78	5/25/2026 12:57	success
44	10	131	8.1	13.1	0.81	5/25/2026 12:57	success
45	10	129	8	12.9	0.8	5/25/2026 12:58	success
46	10	130	8	13	0.8	5/25/2026 12:58	success
47	10	129	8	12.9	0.8	5/25/2026 12:58	success
48	10	126	7.8	12.6	0.78	5/25/2026 12:58	success
49	10	129	8	12.9	0.8	5/25/2026 12:58	success
50	10	130	8	13	0.8	5/25/2026 12:58	success
							
AVERAGE							
average_images_per_loop	average_mb_per_loop	average_images_per_second	average_mb_per_second				
123.58	7.7	12.36	0.77				
