loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp,status
1,10,144,8.8,14.40,0.88,2026-05-25 13:23:23,success
2,10,178,11.1,17.80,1.11,2026-05-25 13:23:34,success
3,10,136,8.6,13.60,0.86,2026-05-25 13:23:45,success
4,10,127,8.0,12.70,0.80,2026-05-25 13:23:56,success
5,10,117,7.4,11.70,0.74,2026-05-25 13:24:07,success
6,10,183,11.6,18.30,1.16,2026-05-25 13:24:18,success
7,10,196,12.3,19.60,1.23,2026-05-25 13:24:30,success
8,10,112,7.1,11.20,0.71,2026-05-25 13:24:41,success
9,10,140,8.9,14.00,0.89,2026-05-25 13:24:52,success
10,10,145,9.2,14.50,0.92,2026-05-25 13:25:03,success
11,10,173,10.8,17.30,1.08,2026-05-25 13:25:14,success
12,10,177,11.1,17.70,1.11,2026-05-25 13:25:25,success
13,10,132,8.3,13.20,0.83,2026-05-25 13:25:36,success
14,10,140,8.8,14.00,0.88,2026-05-25 13:25:47,success
15,10,145,9.2,14.50,0.92,2026-05-25 13:25:58,success
16,10,194,12.3,19.40,1.23,2026-05-25 13:26:09,success
17,10,171,10.9,17.10,1.09,2026-05-25 13:26:20,success
18,10,145,9.2,14.50,0.92,2026-05-25 13:26:31,success
19,10,173,10.8,17.30,1.08,2026-05-25 13:26:42,success
20,10,163,10.2,16.30,1.02,2026-05-25 13:26:54,success
21,10,168,10.5,16.80,1.05,2026-05-25 13:27:05,success
22,10,170,10.6,17.00,1.06,2026-05-25 13:27:16,success
23,10,165,10.4,16.50,1.04,2026-05-25 13:27:27,success
24,10,116,7.2,11.60,0.72,2026-05-25 13:27:38,success
25,10,151,9.5,15.10,0.95,2026-05-25 13:27:49,success
26,10,148,9.4,14.80,0.94,2026-05-25 13:28:00,success
27,10,149,9.3,14.90,0.93,2026-05-25 13:28:11,success
28,10,183,11.4,18.30,1.14,2026-05-25 13:28:22,success
29,10,178,11.1,17.80,1.11,2026-05-25 13:28:33,success
30,10,177,11.1,17.70,1.11,2026-05-25 13:28:44,success
31,10,173,10.8,17.30,1.08,2026-05-25 13:28:55,success
32,10,135,8.4,13.50,0.84,2026-05-25 13:29:06,success
33,10,173,10.8,17.30,1.08,2026-05-25 13:29:17,success
34,10,135,8.4,13.50,0.84,2026-05-25 13:29:29,success
35,10,189,11.8,18.90,1.18,2026-05-25 13:29:40,success
36,10,189,11.8,18.90,1.18,2026-05-25 13:29:51,success
37,10,136,8.5,13.60,0.85,2026-05-25 13:30:02,success
38,10,120,7.5,12.00,0.75,2026-05-25 13:30:13,success
39,10,132,8.2,13.20,0.82,2026-05-25 13:30:24,success
40,10,115,7.1,11.50,0.71,2026-05-25 13:30:35,success
41,10,146,9.0,14.60,0.90,2026-05-25 13:30:46,success
42,10,143,8.8,14.30,0.88,2026-05-25 13:30:57,success
43,10,209,12.9,20.90,1.29,2026-05-25 13:31:08,success
44,10,218,13.5,21.80,1.35,2026-05-25 13:31:19,success
45,10,226,14.0,22.60,1.40,2026-05-25 13:31:30,success
46,10,194,12.0,19.40,1.20,2026-05-25 13:31:41,success
47,10,242,15.0,24.20,1.50,2026-05-25 13:31:52,success
48,10,221,13.7,22.10,1.37,2026-05-25 13:32:04,success
49,10,251,15.5,25.10,1.55,2026-05-25 13:32:15,success
50,10,201,12.4,20.10,1.24,2026-05-25 13:32:26,success

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
164.88,10.3,16.49,1.03
