loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp,status
1,10,327,22.0,32.70,2.20,2026-05-20 13:17:58,success
2,10,328,22.1,32.80,2.21,2026-05-20 13:18:09,success
3,10,330,22.2,33.00,2.22,2026-05-20 13:18:21,success
4,10,351,23.6,35.10,2.36,2026-05-20 13:18:32,success
5,10,328,22.1,32.80,2.21,2026-05-20 13:18:44,success
6,10,342,23.1,34.20,2.31,2026-05-20 13:18:55,success
7,10,339,22.8,33.90,2.28,2026-05-20 13:19:07,success
8,10,324,21.8,32.40,2.18,2026-05-20 13:19:18,success
9,10,335,22.6,33.50,2.26,2026-05-20 13:19:29,success
10,10,279,18.8,27.90,1.88,2026-05-20 13:19:41,success
11,10,286,19.3,28.60,1.93,2026-05-20 13:19:52,success
12,10,288,19.4,28.80,1.94,2026-05-20 13:20:03,success
13,10,284,19.1,28.40,1.91,2026-05-20 13:20:15,success
14,10,285,19.2,28.50,1.92,2026-05-20 13:20:26,success
15,10,288,19.4,28.80,1.94,2026-05-20 13:20:37,success
16,10,284,19.1,28.40,1.91,2026-05-20 13:20:49,success
17,10,290,19.6,29.00,1.96,2026-05-20 13:21:00,success
18,10,288,19.4,28.80,1.94,2026-05-20 13:21:11,success
19,10,281,19.0,28.10,1.90,2026-05-20 13:21:23,success
20,10,291,19.6,29.10,1.96,2026-05-20 13:21:34,success
21,10,290,19.6,29.00,1.96,2026-05-20 13:21:45,success
22,10,290,19.6,29.00,1.96,2026-05-20 13:21:57,success
23,10,291,19.6,29.10,1.96,2026-05-20 13:22:08,success
24,10,281,19.0,28.10,1.90,2026-05-20 13:22:19,success
25,10,289,19.5,28.90,1.95,2026-05-20 13:22:31,success
26,10,286,19.3,28.60,1.93,2026-05-20 13:22:42,success
27,10,291,19.7,29.10,1.97,2026-05-20 13:22:53,success
28,10,288,19.4,28.80,1.94,2026-05-20 13:23:05,success
29,10,287,19.4,28.70,1.94,2026-05-20 13:23:16,success
30,10,291,19.6,29.10,1.96,2026-05-20 13:23:27,success
31,10,289,19.5,28.90,1.95,2026-05-20 13:23:39,success
32,10,291,19.7,29.10,1.97,2026-05-20 13:23:50,success
33,10,290,19.6,29.00,1.96,2026-05-20 13:24:01,success
34,10,287,19.4,28.70,1.94,2026-05-20 13:24:13,success
35,10,280,18.9,28.00,1.89,2026-05-20 13:24:24,success
36,10,291,19.7,29.10,1.97,2026-05-20 13:24:36,success
37,10,291,19.7,29.10,1.97,2026-05-20 13:24:47,success
38,10,288,19.5,28.80,1.95,2026-05-20 13:24:58,success
39,10,288,19.5,28.80,1.95,2026-05-20 13:25:10,success
40,10,292,19.7,29.20,1.97,2026-05-20 13:25:21,success
41,10,284,19.2,28.40,1.92,2026-05-20 13:25:32,success
42,10,290,19.6,29.00,1.96,2026-05-20 13:25:44,success
43,10,286,19.3,28.60,1.93,2026-05-20 13:25:55,success
44,10,289,19.5,28.90,1.95,2026-05-20 13:26:06,success
45,10,289,19.5,28.90,1.95,2026-05-20 13:26:18,success
46,10,290,19.6,29.00,1.96,2026-05-20 13:26:29,success
47,10,286,19.3,28.60,1.93,2026-05-20 13:26:40,success
48,10,290,19.6,29.00,1.96,2026-05-20 13:26:52,success
49,10,289,19.5,28.90,1.95,2026-05-20 13:27:03,success
50,10,292,19.8,29.20,1.98,2026-05-20 13:27:14,success

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
296.08,20.0,29.61,2.00
