loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp,status
1,10,291,20.0,29.10,2.00,2026-05-20 14:04:20,success
2,10,144,9.9,14.40,0.99,2026-05-20 14:04:38,success
3,10,196,13.5,19.60,1.35,2026-05-20 14:04:49,success
4,10,208,14.3,20.80,1.43,2026-05-20 14:05:00,success
5,10,239,16.4,23.90,1.64,2026-05-20 14:05:12,success
6,10,217,14.9,21.70,1.49,2026-05-20 14:05:23,success
7,10,170,11.7,17.00,1.17,2026-05-20 14:05:36,success
8,10,172,11.8,17.20,1.18,2026-05-20 14:05:47,success
9,10,202,13.9,20.20,1.39,2026-05-20 14:05:58,success
10,10,228,15.7,22.80,1.57,2026-05-20 14:06:10,success
11,10,135,9.3,13.50,0.93,2026-05-20 14:06:21,success
12,10,178,12.2,17.80,1.22,2026-05-20 14:06:32,success
13,10,103,7.1,10.30,0.71,2026-05-20 14:06:45,success
14,10,182,12.5,18.20,1.25,2026-05-20 14:06:56,success
15,10,129,8.8,12.90,0.88,2026-05-20 14:07:08,success
16,10,128,8.8,12.80,0.88,2026-05-20 14:07:19,success
17,10,130,8.9,13.00,0.89,2026-05-20 14:07:30,success
18,10,227,15.6,22.70,1.56,2026-05-20 14:07:41,success
19,10,245,16.8,24.50,1.68,2026-05-20 14:07:53,success
20,10,227,15.6,22.70,1.56,2026-05-20 14:08:04,success
21,10,132,9.1,13.20,0.91,2026-05-20 14:08:17,success
22,10,184,12.6,18.40,1.26,2026-05-20 14:08:28,success
23,10,147,10.1,14.70,1.01,2026-05-20 14:08:40,success
24,10,133,9.1,13.30,0.91,2026-05-20 14:08:55,success
25,10,146,10.0,14.60,1.00,2026-05-20 14:09:06,success
26,10,160,11.0,16.00,1.10,2026-05-20 14:09:18,success
27,10,136,9.3,13.60,0.93,2026-05-20 14:09:33,success
28,10,204,14.0,20.40,1.40,2026-05-20 14:09:44,success
29,10,154,10.5,15.40,1.05,2026-05-20 14:09:56,success
30,10,119,8.1,11.90,0.81,2026-05-20 14:10:11,success
31,10,223,15.2,22.30,1.52,2026-05-20 14:10:23,success
32,10,148,10.1,14.80,1.01,2026-05-20 14:10:34,success
33,10,133,9.1,13.30,0.91,2026-05-20 14:10:46,success
34,10,156,10.7,15.60,1.07,2026-05-20 14:10:57,success
35,10,163,11.1,16.30,1.11,2026-05-20 14:11:08,success
36,10,203,13.9,20.30,1.39,2026-05-20 14:11:19,success
37,10,179,12.2,17.90,1.22,2026-05-20 14:11:30,success
38,10,200,13.7,20.00,1.37,2026-05-20 14:11:42,success
39,10,146,10.0,14.60,1.00,2026-05-20 14:11:53,success
40,10,243,16.6,24.30,1.66,2026-05-20 14:12:04,success
41,10,193,13.2,19.30,1.32,2026-05-20 14:12:16,success
42,10,111,7.6,11.10,0.76,2026-05-20 14:12:27,success
43,10,144,9.9,14.40,0.99,2026-05-20 14:12:38,success
44,10,172,11.8,17.20,1.18,2026-05-20 14:12:56,success
45,10,198,13.6,19.80,1.36,2026-05-20 14:13:08,success
46,10,166,11.4,16.60,1.14,2026-05-20 14:13:19,success
47,10,234,16.0,23.40,1.60,2026-05-20 14:13:30,success
48,10,161,11.0,16.10,1.10,2026-05-20 14:13:42,success
49,10,257,17.6,25.70,1.76,2026-05-20 14:13:53,success
50,10,287,19.6,28.70,1.96,2026-05-20 14:14:04,success

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
179.66,12.3,17.97,1.23
