loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp,status
1,10,333,22.8,33.30,2.28,2026-05-20 14:29:12,success
2,10,342,23.4,34.20,2.34,2026-05-20 14:29:24,success
3,10,337,23.0,33.70,2.30,2026-05-20 14:29:35,success
4,10,342,23.5,34.20,2.35,2026-05-20 14:29:47,success
5,10,362,24.8,36.20,2.48,2026-05-20 14:29:58,success
6,10,352,24.1,35.20,2.41,2026-05-20 14:30:10,success
7,10,273,18.6,27.30,1.86,2026-05-20 14:30:21,success
8,10,357,24.4,35.70,2.44,2026-05-20 14:30:33,success
9,10,358,24.4,35.80,2.44,2026-05-20 14:30:44,success
10,10,360,24.5,36.00,2.45,2026-05-20 14:30:56,success
11,10,328,22.4,32.80,2.24,2026-05-20 14:31:07,success
12,10,336,22.9,33.60,2.29,2026-05-20 14:31:19,success
13,10,342,23.3,34.20,2.33,2026-05-20 14:31:30,success
14,10,319,21.7,31.90,2.17,2026-05-20 14:31:47,success
15,10,352,24.0,35.20,2.40,2026-05-20 14:31:58,success
16,10,352,24.0,35.20,2.40,2026-05-20 14:32:10,success
17,10,350,23.9,35.00,2.39,2026-05-20 14:32:21,success
18,10,352,24.0,35.20,2.40,2026-05-20 14:32:36,success
19,10,342,23.3,34.20,2.33,2026-05-20 14:32:48,success
20,10,347,23.7,34.70,2.37,2026-05-20 14:33:00,success
21,10,340,23.2,34.00,2.32,2026-05-20 14:33:12,success
22,10,338,23.0,33.80,2.30,2026-05-20 14:33:23,success
23,10,344,23.5,34.40,2.35,2026-05-20 14:33:35,success
24,10,351,23.9,35.10,2.39,2026-05-20 14:33:46,success
25,10,335,22.8,33.50,2.28,2026-05-20 14:33:57,success
26,10,339,23.1,33.90,2.31,2026-05-20 14:34:09,success
27,10,338,23.0,33.80,2.30,2026-05-20 14:34:20,success
28,10,352,24.0,35.20,2.40,2026-05-20 14:34:32,success
29,10,352,24.0,35.20,2.40,2026-05-20 14:34:43,success
30,10,344,23.4,34.40,2.34,2026-05-20 14:34:55,success
31,10,165,11.2,16.50,1.12,2026-05-20 14:35:07,success
32,10,338,23.0,33.80,2.30,2026-05-20 14:35:18,success
33,10,349,23.7,34.90,2.37,2026-05-20 14:35:30,success
34,10,339,23.1,33.90,2.31,2026-05-20 14:35:41,success
35,10,325,22.2,32.50,2.22,2026-05-20 14:35:53,success
36,10,331,22.5,33.10,2.25,2026-05-20 14:36:04,success
37,10,340,23.2,34.00,2.32,2026-05-20 14:36:15,success
38,10,356,24.3,35.60,2.43,2026-05-20 14:36:27,success
39,10,360,24.5,36.00,2.45,2026-05-20 14:36:39,success
40,10,317,21.6,31.70,2.16,2026-05-20 14:36:50,success
41,10,352,23.9,35.20,2.39,2026-05-20 14:37:02,success
42,10,352,24.0,35.20,2.40,2026-05-20 14:37:13,success
43,10,343,23.3,34.30,2.33,2026-05-20 14:37:28,success
44,10,333,22.6,33.30,2.26,2026-05-20 14:37:40,success
45,10,327,22.2,32.70,2.22,2026-05-20 14:37:51,success
46,10,347,23.6,34.70,2.36,2026-05-20 14:38:03,success
47,10,324,22.0,32.40,2.20,2026-05-20 14:38:14,success
48,10,340,23.1,34.00,2.31,2026-05-20 14:38:25,success
49,10,133,9.0,13.30,0.90,2026-05-20 14:38:37,success
50,10,341,23.2,34.10,2.32,2026-05-20 14:38:49,success

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
333.62,22.7,33.36,2.27
