loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp,status
1,10,355,18.5,35.50,1.85,2026-05-21 11:57:41,success
2,10,411,21.1,41.10,2.11,2026-05-21 11:57:52,success
3,10,309,15.9,30.90,1.59,2026-05-21 11:58:05,success
4,10,133,6.7,13.30,0.67,2026-05-21 11:58:19,success
5,10,420,21.4,42.00,2.14,2026-05-21 11:58:31,success
6,10,332,17.1,33.20,1.71,2026-05-21 11:58:43,success
7,10,137,7.0,13.70,0.70,2026-05-21 11:58:54,success
8,10,280,14.5,28.00,1.45,2026-05-21 11:59:08,success
9,10,342,17.4,34.20,1.74,2026-05-21 11:59:20,success
10,10,341,17.5,34.10,1.75,2026-05-21 11:59:31,success
11,10,71,3.7,7.10,0.37,2026-05-21 11:59:44,success
12,10,179,9.1,17.90,0.91,2026-05-21 11:59:56,success
13,10,432,22.1,43.20,2.21,2026-05-21 12:00:07,success
14,10,345,17.7,34.50,1.77,2026-05-21 12:00:19,success
15,10,286,14.5,28.60,1.45,2026-05-21 12:00:30,success
16,10,338,17.2,33.80,1.72,2026-05-21 12:00:47,success
17,10,429,21.9,42.90,2.19,2026-05-21 12:01:01,success
18,10,424,21.5,42.40,2.15,2026-05-21 12:01:13,success
19,10,128,6.5,12.80,0.65,2026-05-21 12:01:29,success
20,10,349,17.8,34.90,1.78,2026-05-21 12:01:41,success
21,10,346,17.7,34.60,1.77,2026-05-21 12:01:52,success
22,10,283,14.4,28.30,1.44,2026-05-21 12:02:07,success
23,10,251,12.8,25.10,1.28,2026-05-21 12:02:18,success
24,10,406,20.6,40.60,2.06,2026-05-21 12:02:30,success
25,10,369,18.9,36.90,1.89,2026-05-21 12:02:42,success
26,10,15,0.8,1.50,0.08,2026-05-21 12:02:53,success
27,10,326,16.7,32.60,1.67,2026-05-21 12:03:05,success
28,10,335,17.2,33.50,1.72,2026-05-21 12:03:16,success
29,10,315,16.0,31.50,1.60,2026-05-21 12:03:33,success
30,10,34,1.8,3.40,0.18,2026-05-21 12:03:53,success
31,10,324,16.3,32.40,1.63,2026-05-21 12:04:04,success
32,10,362,18.3,36.20,1.83,2026-05-21 12:04:16,success
33,10,421,21.2,42.10,2.12,2026-05-21 12:04:27,success
34,10,290,14.5,29.00,1.45,2026-05-21 12:04:39,success
35,10,227,11.4,22.70,1.14,2026-05-21 12:04:51,success
36,10,369,18.6,36.90,1.86,2026-05-21 12:05:04,success
37,10,368,18.6,36.80,1.86,2026-05-21 12:05:16,success
38,10,364,18.1,36.40,1.81,2026-05-21 12:05:32,success
39,10,137,6.8,13.70,0.68,2026-05-21 12:05:46,success
40,10,100,4.9,10.00,0.49,2026-05-21 12:05:59,success
41,10,21,1.1,2.10,0.11,2026-05-21 12:06:11,success
42,10,362,18.3,36.20,1.83,2026-05-21 12:06:22,success
43,10,369,18.5,36.90,1.85,2026-05-21 12:06:34,success
44,10,265,13.3,26.50,1.33,2026-05-21 12:06:48,success
45,10,171,8.7,17.10,0.87,2026-05-21 12:07:00,success
46,10,397,20.0,39.70,2.00,2026-05-21 12:07:11,success
47,10,306,15.4,30.60,1.54,2026-05-21 12:07:28,success
48,10,270,13.6,27.00,1.36,2026-05-21 12:07:43,success
49,10,105,5.3,10.50,0.53,2026-05-21 12:08:01,success
50,10,319,16.2,31.90,1.62,2026-05-21 12:08:13,success

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
285.36,14.5,28.54,1.45
