loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp,status
1,10,231,15.9,23.10,1.59,2026-05-21 15:17:44,success
2,10,195,13.4,19.50,1.34,2026-05-21 15:17:56,success
3,10,225,15.4,22.50,1.54,2026-05-21 15:18:07,success
4,10,199,13.6,19.90,1.36,2026-05-21 15:18:18,success
5,10,202,13.9,20.20,1.39,2026-05-21 15:18:30,success
6,10,210,14.5,21.00,1.45,2026-05-21 15:18:41,success
7,10,125,8.6,12.50,0.86,2026-05-21 15:18:52,success
8,10,204,14.1,20.40,1.41,2026-05-21 15:19:04,success
9,10,204,14.0,20.40,1.40,2026-05-21 15:19:15,success
10,10,154,10.6,15.40,1.06,2026-05-21 15:19:26,success
11,10,231,15.9,23.10,1.59,2026-05-21 15:19:38,success
12,10,205,14.1,20.50,1.41,2026-05-21 15:19:49,success
13,10,121,8.3,12.10,0.83,2026-05-21 15:20:00,success
14,10,210,14.5,21.00,1.45,2026-05-21 15:20:12,success
15,10,193,13.3,19.30,1.33,2026-05-21 15:20:23,success
16,10,189,13.0,18.90,1.30,2026-05-21 15:20:39,success
17,10,211,14.5,21.10,1.45,2026-05-21 15:20:50,success
18,10,207,14.2,20.70,1.42,2026-05-21 15:21:01,success
19,10,198,13.6,19.80,1.36,2026-05-21 15:21:13,success
20,10,226,15.6,22.60,1.56,2026-05-21 15:21:27,success
21,10,203,14.0,20.30,1.40,2026-05-21 15:21:39,success
22,10,166,11.4,16.60,1.14,2026-05-21 15:21:52,success
23,10,288,19.8,28.80,1.98,2026-05-21 15:22:03,success
24,10,210,14.5,21.00,1.45,2026-05-21 15:22:14,success
25,10,159,11.0,15.90,1.10,2026-05-21 15:22:26,success
26,10,217,15.0,21.70,1.50,2026-05-21 15:22:37,success
27,10,209,14.4,20.90,1.44,2026-05-21 15:22:49,success
28,10,168,11.6,16.80,1.16,2026-05-21 15:23:00,success
29,10,255,17.6,25.50,1.76,2026-05-21 15:23:11,success
30,10,218,15.0,21.80,1.50,2026-05-21 15:23:23,success
31,10,170,11.7,17.00,1.17,2026-05-21 15:23:35,success
32,10,229,15.8,22.90,1.58,2026-05-21 15:23:46,success
33,10,208,14.3,20.80,1.43,2026-05-21 15:23:58,success
34,10,159,11.0,15.90,1.10,2026-05-21 15:24:09,success
35,10,216,14.9,21.60,1.49,2026-05-21 15:24:20,success
36,10,220,15.2,22.00,1.52,2026-05-21 15:24:32,success
37,10,172,11.9,17.20,1.19,2026-05-21 15:24:43,success
38,10,248,17.1,24.80,1.71,2026-05-21 15:24:54,success
39,10,214,14.7,21.40,1.47,2026-05-21 15:25:06,success
40,10,80,5.5,8.00,0.55,2026-05-21 15:25:17,success
41,10,237,16.3,23.70,1.63,2026-05-21 15:25:28,success
42,10,213,14.7,21.30,1.47,2026-05-21 15:25:40,success
43,10,187,12.9,18.70,1.29,2026-05-21 15:25:51,success
44,10,212,14.6,21.20,1.46,2026-05-21 15:26:03,success
45,10,222,15.3,22.20,1.53,2026-05-21 15:26:14,success
46,10,113,7.8,11.30,0.78,2026-05-21 15:26:25,success
47,10,195,13.4,19.50,1.34,2026-05-21 15:26:36,success
48,10,200,13.8,20.00,1.38,2026-05-21 15:26:48,success
49,10,219,15.1,21.90,1.51,2026-05-21 15:27:05,success
50,10,215,14.8,21.50,1.48,2026-05-21 15:27:17,success

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
199.24,13.7,19.92,1.37
