loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp,status
1,10,360,18.0,36.00,1.80,2026-05-21 12:16:36,success
2,10,340,17.3,34.00,1.73,2026-05-21 12:16:48,success
3,10,338,17.1,33.80,1.71,2026-05-21 12:17:00,success
4,10,212,10.8,21.20,1.08,2026-05-21 12:17:16,success
5,10,144,7.2,14.40,0.72,2026-05-21 12:17:30,success
6,10,342,17.1,34.20,1.71,2026-05-21 12:17:42,success
7,10,361,18.2,36.10,1.82,2026-05-21 12:17:54,success
8,10,220,11.1,22.00,1.11,2026-05-21 12:18:05,success
9,10,255,12.9,25.50,1.29,2026-05-21 12:18:16,success
10,10,79,3.9,7.90,0.39,2026-05-21 12:18:29,success
11,10,252,12.8,25.20,1.28,2026-05-21 12:18:41,success
12,10,411,20.7,41.10,2.07,2026-05-21 12:18:52,success
13,10,337,16.9,33.70,1.69,2026-05-21 12:19:04,success
14,10,150,7.5,15.00,0.75,2026-05-21 12:19:27,success
15,10,351,17.6,35.10,1.76,2026-05-21 12:19:38,success
16,10,389,19.8,38.90,1.98,2026-05-21 12:19:50,success
17,10,372,18.7,37.20,1.87,2026-05-21 12:20:01,success
18,10,32,1.6,3.20,0.16,2026-05-21 12:20:14,success
19,10,3,0.1,0.30,0.01,2026-05-21 12:20:27,success
20,10,393,19.9,39.30,1.99,2026-05-21 12:20:39,success
21,10,346,17.4,34.60,1.74,2026-05-21 12:20:51,success
22,10,391,19.8,39.10,1.98,2026-05-21 12:21:05,success
23,10,141,7.0,14.10,0.70,2026-05-21 12:21:16,success
24,10,319,16.1,31.90,1.61,2026-05-21 12:21:30,success
25,10,356,18.1,35.60,1.81,2026-05-21 12:21:42,success
26,10,303,15.2,30.30,1.52,2026-05-21 12:22:06,success
27,10,97,4.9,9.70,0.49,2026-05-21 12:22:21,success
28,10,336,16.9,33.60,1.69,2026-05-21 12:22:32,success
29,10,355,17.9,35.50,1.79,2026-05-21 12:22:44,success
30,10,352,17.8,35.20,1.78,2026-05-21 12:22:55,success
31,10,114,5.7,11.40,0.57,2026-05-21 12:23:09,success
32,10,136,6.9,13.60,0.69,2026-05-21 12:23:21,success
33,10,374,18.9,37.40,1.89,2026-05-21 12:23:32,success
34,10,318,16.0,31.80,1.60,2026-05-21 12:23:50,success
35,10,186,9.4,18.60,0.94,2026-05-21 12:24:04,success
36,10,166,8.4,16.60,0.84,2026-05-21 12:24:16,success
37,10,285,14.4,28.50,1.44,2026-05-21 12:24:27,success
38,10,342,17.3,34.20,1.73,2026-05-21 12:24:39,success
39,10,338,16.8,33.80,1.68,2026-05-21 12:24:50,success
40,10,23,1.2,2.30,0.12,2026-05-21 12:25:04,success
41,10,5,0.3,0.50,0.03,2026-05-21 12:25:19,success
42,10,369,18.6,36.90,1.86,2026-05-21 12:25:30,success
43,10,416,21.0,41.60,2.10,2026-05-21 12:25:41,success
44,10,365,18.6,36.50,1.86,2026-05-21 12:25:53,success
45,10,113,5.8,11.30,0.58,2026-05-21 12:26:08,success
46,10,121,6.1,12.10,0.61,2026-05-21 12:26:23,success
47,10,227,11.4,22.70,1.14,2026-05-21 12:26:35,success
48,10,97,5.0,9.70,0.50,2026-05-21 12:26:46,success
49,10,334,16.8,33.40,1.68,2026-05-21 12:26:57,success
50,10,377,19.1,37.70,1.91,2026-05-21 12:27:09,success

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
260.86,13.2,26.09,1.32
