loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp,status
1,10,448,30.3,44.80,3.03,2026-05-21 15:33:03,success
2,10,288,19.4,28.80,1.94,2026-05-21 15:33:15,success
3,10,283,19.1,28.30,1.91,2026-05-21 15:33:26,success
4,10,83,5.7,8.30,0.57,2026-05-21 15:33:37,success
5,10,153,10.5,15.30,1.05,2026-05-21 15:33:49,success
6,10,158,10.9,15.80,1.09,2026-05-21 15:34:00,success
7,10,166,11.4,16.60,1.14,2026-05-21 15:34:11,success
8,10,94,6.5,9.40,0.65,2026-05-21 15:34:22,success
9,10,156,10.8,15.60,1.08,2026-05-21 15:34:33,success
10,10,153,10.6,15.30,1.06,2026-05-21 15:34:45,success
11,10,114,7.9,11.40,0.79,2026-05-21 15:34:56,success
12,10,141,9.7,14.10,0.97,2026-05-21 15:35:07,success
13,10,144,9.9,14.40,0.99,2026-05-21 15:35:19,success
14,10,179,12.3,17.90,1.23,2026-05-21 15:35:30,success
15,10,155,10.7,15.50,1.07,2026-05-21 15:35:41,success
16,10,127,8.8,12.70,0.88,2026-05-21 15:35:52,success
17,10,173,11.9,17.30,1.19,2026-05-21 15:36:04,success
18,10,148,10.2,14.80,1.02,2026-05-21 15:36:15,success
19,10,128,8.8,12.80,0.88,2026-05-21 15:36:26,success
20,10,154,10.6,15.40,1.06,2026-05-21 15:36:38,success
21,10,144,9.9,14.40,0.99,2026-05-21 15:36:49,success
22,10,151,10.4,15.10,1.04,2026-05-21 15:37:00,success
23,10,150,10.4,15.00,1.04,2026-05-21 15:37:12,success
24,10,151,10.4,15.10,1.04,2026-05-21 15:37:23,success
25,10,144,9.9,14.40,0.99,2026-05-21 15:37:34,success
26,10,148,10.2,14.80,1.02,2026-05-21 15:37:46,success
27,10,151,10.4,15.10,1.04,2026-05-21 15:37:57,success
28,10,148,10.2,14.80,1.02,2026-05-21 15:38:08,success
29,10,140,9.7,14.00,0.97,2026-05-21 15:38:20,success
30,10,103,7.1,10.30,0.71,2026-05-21 15:38:31,success
31,10,162,11.2,16.20,1.12,2026-05-21 15:38:42,success
32,10,136,9.4,13.60,0.94,2026-05-21 15:38:54,success
33,10,179,12.4,17.90,1.24,2026-05-21 15:39:06,success
34,10,144,10.0,14.40,1.00,2026-05-21 15:39:17,success
35,10,158,10.9,15.80,1.09,2026-05-21 15:39:28,success
36,10,88,6.1,8.80,0.61,2026-05-21 15:39:40,success
37,10,174,12.1,17.40,1.21,2026-05-21 15:39:51,success
38,10,162,11.2,16.20,1.12,2026-05-21 15:40:02,success
39,10,174,12.1,17.40,1.21,2026-05-21 15:40:14,success
40,10,165,11.4,16.50,1.14,2026-05-21 15:40:25,success
41,10,157,10.9,15.70,1.09,2026-05-21 15:40:36,success
42,10,153,10.6,15.30,1.06,2026-05-21 15:40:47,success
43,10,144,10.0,14.40,1.00,2026-05-21 15:40:59,success
44,10,134,9.3,13.40,0.93,2026-05-21 15:41:10,success
45,10,153,10.6,15.30,1.06,2026-05-21 15:41:21,success
46,10,166,11.5,16.60,1.15,2026-05-21 15:41:33,success
47,10,141,9.8,14.10,0.98,2026-05-21 15:41:45,success
48,10,164,11.4,16.40,1.14,2026-05-21 15:41:57,success
49,10,165,11.5,16.50,1.15,2026-05-21 15:42:08,success
50,10,74,5.1,7.40,0.51,2026-05-21 15:42:19,success

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
157.36,10.8,15.74,1.08
