loop_number	run_duration_seconds	total_images	total_size_mb	images_per_second	mb_per_second	timestamp	status
1	10	327	22	32.7	2.2	5/20/2026 13:17	success
2	10	328	22.1	32.8	2.21	5/20/2026 13:18	success
3	10	330	22.2	33	2.22	5/20/2026 13:18	success
4	10	351	23.6	35.1	2.36	5/20/2026 13:18	success
5	10	328	22.1	32.8	2.21	5/20/2026 13:18	success
6	10	342	23.1	34.2	2.31	5/20/2026 13:18	success
7	10	339	22.8	33.9	2.28	5/20/2026 13:19	success
8	10	324	21.8	32.4	2.18	5/20/2026 13:19	success
9	10	335	22.6	33.5	2.26	5/20/2026 13:19	success
10	10	279	18.8	27.9	1.88	5/20/2026 13:19	success
11	10	286	19.3	28.6	1.93	5/20/2026 13:19	success
12	10	288	19.4	28.8	1.94	5/20/2026 13:20	success
13	10	284	19.1	28.4	1.91	5/20/2026 13:20	success
14	10	285	19.2	28.5	1.92	5/20/2026 13:20	success
15	10	288	19.4	28.8	1.94	5/20/2026 13:20	success
16	10	284	19.1	28.4	1.91	5/20/2026 13:20	success
17	10	290	19.6	29	1.96	5/20/2026 13:21	success
18	10	288	19.4	28.8	1.94	5/20/2026 13:21	success
19	10	281	19	28.1	1.9	5/20/2026 13:21	success
20	10	291	19.6	29.1	1.96	5/20/2026 13:21	success
21	10	290	19.6	29	1.96	5/20/2026 13:21	success
22	10	290	19.6	29	1.96	5/20/2026 13:21	success
23	10	291	19.6	29.1	1.96	5/20/2026 13:22	success
24	10	281	19	28.1	1.9	5/20/2026 13:22	success
25	10	289	19.5	28.9	1.95	5/20/2026 13:22	success
26	10	286	19.3	28.6	1.93	5/20/2026 13:22	success
27	10	291	19.7	29.1	1.97	5/20/2026 13:22	success
28	10	288	19.4	28.8	1.94	5/20/2026 13:23	success
29	10	287	19.4	28.7	1.94	5/20/2026 13:23	success
30	10	291	19.6	29.1	1.96	5/20/2026 13:23	success
31	10	289	19.5	28.9	1.95	5/20/2026 13:23	success
32	10	291	19.7	29.1	1.97	5/20/2026 13:23	success
33	10	290	19.6	29	1.96	5/20/2026 13:24	success
34	10	287	19.4	28.7	1.94	5/20/2026 13:24	success
35	10	280	18.9	28	1.89	5/20/2026 13:24	success
36	10	291	19.7	29.1	1.97	5/20/2026 13:24	success
37	10	291	19.7	29.1	1.97	5/20/2026 13:24	success
38	10	288	19.5	28.8	1.95	5/20/2026 13:24	success
39	10	288	19.5	28.8	1.95	5/20/2026 13:25	success
40	10	292	19.7	29.2	1.97	5/20/2026 13:25	success
41	10	284	19.2	28.4	1.92	5/20/2026 13:25	success
42	10	290	19.6	29	1.96	5/20/2026 13:25	success
43	10	286	19.3	28.6	1.93	5/20/2026 13:25	success
44	10	289	19.5	28.9	1.95	5/20/2026 13:26	success
45	10	289	19.5	28.9	1.95	5/20/2026 13:26	success
46	10	290	19.6	29	1.96	5/20/2026 13:26	success
47	10	286	19.3	28.6	1.93	5/20/2026 13:26	success
48	10	290	19.6	29	1.96	5/20/2026 13:26	success
49	10	289	19.5	28.9	1.95	5/20/2026 13:27	success
50	10	292	19.8	29.2	1.98	5/20/2026 13:27	success
							
AVERAGE							
average_images_per_loop	average_mb_per_loop	average_images_per_second	average_mb_per_second				
296.08	20	29.61	2				
