loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp
1,10,1446,81.2,144.60,8.12,2026-05-05 14:00:40
2,10,1524,82.3,152.40,8.23,2026-05-05 14:00:50
3,10,1522,82.1,152.20,8.21,2026-05-05 14:01:00
4,10,1524,82.1,152.40,8.21,2026-05-05 14:01:10
5,10,1531,82.4,153.10,8.24,2026-05-05 14:01:20
6,10,1527,82.1,152.70,8.21,2026-05-05 14:01:30
7,10,1519,81.6,151.90,8.16,2026-05-05 14:01:40
8,10,1532,82.3,153.20,8.23,2026-05-05 14:01:51
9,10,1528,82.2,152.80,8.22,2026-05-05 14:02:01
10,10,1458,78.4,145.80,7.84,2026-05-05 14:02:11
11,10,1417,76.1,141.70,7.61,2026-05-05 14:02:21
12,10,1504,80.8,150.40,8.08,2026-05-05 14:02:31
13,10,1539,82.5,153.90,8.25,2026-05-05 14:02:41
14,10,1536,82.5,153.60,8.25,2026-05-05 14:02:51
15,10,1522,81.8,152.20,8.18,2026-05-05 14:03:01
16,10,1522,82.0,152.20,8.20,2026-05-05 14:03:12
17,10,1489,80.3,148.90,8.03,2026-05-05 14:03:22
18,10,1444,78.0,144.40,7.80,2026-05-05 14:03:32
19,10,1540,83.3,154.00,8.33,2026-05-05 14:03:42
20,10,1538,83.3,153.80,8.33,2026-05-05 14:03:52
21,10,1530,82.8,153.00,8.28,2026-05-05 14:04:02
22,10,1512,81.8,151.20,8.18,2026-05-05 14:04:12
23,10,1464,79.3,146.40,7.93,2026-05-05 14:04:23
24,10,1538,83.2,153.80,8.32,2026-05-05 14:04:33
25,10,1514,81.8,151.40,8.18,2026-05-05 14:04:43
26,10,1520,82.0,152.00,8.20,2026-05-05 14:04:53
27,10,1521,82.1,152.10,8.21,2026-05-05 14:05:03
28,10,1357,73.1,135.70,7.31,2026-05-05 14:05:13
29,10,1524,82.2,152.40,8.22,2026-05-05 14:05:23
30,10,1517,81.6,151.70,8.16,2026-05-05 14:05:34
31,10,1536,82.7,153.60,8.27,2026-05-05 14:05:44
32,10,1534,82.7,153.40,8.27,2026-05-05 14:05:54
33,10,1532,82.5,153.20,8.25,2026-05-05 14:06:04
34,10,1530,82.5,153.00,8.25,2026-05-05 14:06:14
35,10,1536,82.8,153.60,8.28,2026-05-05 14:06:24
36,10,1529,82.6,152.90,8.26,2026-05-05 14:06:34
37,10,1536,83.2,153.60,8.32,2026-05-05 14:06:44
38,10,1296,84.0,129.60,8.40,2026-05-05 14:06:55
39,10,1249,83.8,124.90,8.38,2026-05-05 14:07:05
40,10,1370,83.8,137.00,8.38,2026-05-05 14:07:15
41,10,1451,71.3,145.10,7.13,2026-05-05 14:07:25
42,10,1527,80.7,152.70,8.07,2026-05-05 14:07:35
43,10,1328,82.9,132.80,8.29,2026-05-05 14:07:45
44,10,1480,81.0,148.00,8.10,2026-05-05 14:07:55
45,10,1503,79.9,150.30,7.99,2026-05-05 14:08:05
46,10,1475,74.9,147.50,7.49,2026-05-05 14:08:16
47,10,1524,80.3,152.40,8.03,2026-05-05 14:08:26
48,10,1302,69.7,130.20,6.97,2026-05-05 14:08:36
49,10,1557,73.5,155.70,7.35,2026-05-05 14:08:46
50,10,1553,75.5,155.30,7.55,2026-05-05 14:08:56

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
1490.14,80.8,149.01,8.08
