loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp
1,10,322,17.5,32.20,1.75,2026-05-05 14:53:23
2,10,394,22.0,39.40,2.20,2026-05-05 14:53:33
3,10,382,21.3,38.20,2.13,2026-05-05 14:53:43
4,10,647,36.1,64.70,3.61,2026-05-05 14:53:53
5,10,357,19.9,35.70,1.99,2026-05-05 14:54:03
6,10,193,10.8,19.30,1.08,2026-05-05 14:54:14
7,10,407,22.7,40.70,2.27,2026-05-05 14:54:24
8,10,754,42.1,75.40,4.21,2026-05-05 14:54:34
9,10,274,15.3,27.40,1.53,2026-05-05 14:54:44
10,10,736,41.1,73.60,4.11,2026-05-05 14:54:54
11,10,726,40.5,72.60,4.05,2026-05-05 14:55:04
12,10,654,36.5,65.40,3.65,2026-05-05 14:55:14
13,10,561,31.3,56.10,3.13,2026-05-05 14:55:24
14,10,361,20.2,36.10,2.02,2026-05-05 14:55:35
15,10,347,19.4,34.70,1.94,2026-05-05 14:55:45
16,10,369,20.6,36.90,2.06,2026-05-05 14:55:55
17,10,449,25.1,44.90,2.51,2026-05-05 14:56:05
18,10,303,16.9,30.30,1.69,2026-05-05 14:56:15
19,10,688,38.5,68.80,3.85,2026-05-05 14:56:25
20,10,769,43.0,76.90,4.30,2026-05-05 14:56:35
21,10,424,23.7,42.40,2.37,2026-05-05 14:56:45
22,10,619,34.6,61.90,3.46,2026-05-05 14:56:56
23,10,667,37.3,66.70,3.73,2026-05-05 14:57:06
24,10,487,27.2,48.70,2.72,2026-05-05 14:57:16
25,10,356,19.9,35.60,1.99,2026-05-05 14:57:26
26,10,842,47.1,84.20,4.71,2026-05-05 14:57:36
27,10,556,31.2,55.60,3.12,2026-05-05 14:57:46
28,10,473,26.5,47.30,2.65,2026-05-05 14:57:56
29,10,520,29.2,52.00,2.92,2026-05-05 14:58:07
30,10,534,30.0,53.40,3.00,2026-05-05 14:58:17
31,10,518,29.1,51.80,2.91,2026-05-05 14:58:27
32,10,518,29.1,51.80,2.91,2026-05-05 14:58:37
33,10,201,11.3,20.10,1.13,2026-05-05 14:58:47
34,10,472,26.5,47.20,2.65,2026-05-05 14:58:57
35,10,559,31.3,55.90,3.13,2026-05-05 14:59:07
36,10,488,27.3,48.80,2.73,2026-05-05 14:59:18
37,10,746,41.7,74.60,4.17,2026-05-05 14:59:28
38,10,301,16.8,30.10,1.68,2026-05-05 14:59:38
39,10,489,27.3,48.90,2.73,2026-05-05 14:59:48
40,10,334,18.7,33.40,1.87,2026-05-05 14:59:58
41,10,339,18.9,33.90,1.89,2026-05-05 15:00:08
42,10,778,43.4,77.80,4.34,2026-05-05 15:00:18
43,10,109,6.1,10.90,0.61,2026-05-05 15:00:29
44,10,750,41.9,75.00,4.19,2026-05-05 15:00:39
45,10,244,13.6,24.40,1.36,2026-05-05 15:00:49
46,10,252,14.1,25.20,1.41,2026-05-05 15:00:59
47,10,804,44.9,80.40,4.49,2026-05-05 15:01:09
48,10,588,32.8,58.80,3.28,2026-05-05 15:01:19
49,10,805,45.0,80.50,4.50,2026-05-05 15:01:29
50,10,566,31.6,56.60,3.16,2026-05-05 15:01:40

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
500.64,28.0,50.06,2.80
