loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp
1,10,1532,80.8,153.20,8.08,2026-05-05 15:06:17
2,10,1529,80.7,152.90,8.07,2026-05-05 15:06:27
3,10,1539,81.2,153.90,8.12,2026-05-05 15:06:37
4,10,1529,80.7,152.90,8.07,2026-05-05 15:06:47
5,10,1287,68.0,128.70,6.80,2026-05-05 15:06:57
6,10,1536,81.2,153.60,8.12,2026-05-05 15:07:07
7,10,1536,81.1,153.60,8.11,2026-05-05 15:07:18
8,10,1548,81.7,154.80,8.17,2026-05-05 15:07:28
9,10,1538,81.2,153.80,8.12,2026-05-05 15:07:38
10,10,1551,81.9,155.10,8.19,2026-05-05 15:07:48
11,10,1546,81.7,154.60,8.17,2026-05-05 15:07:58
12,10,1372,72.4,137.20,7.24,2026-05-05 15:08:08
13,10,1538,81.3,153.80,8.13,2026-05-05 15:08:18
14,10,1540,81.5,154.00,8.15,2026-05-05 15:08:29
15,10,1548,81.8,154.80,8.18,2026-05-05 15:08:39
16,10,1546,81.8,154.60,8.18,2026-05-05 15:08:49
17,10,1537,81.3,153.70,8.13,2026-05-05 15:08:59
18,10,1541,81.5,154.10,8.15,2026-05-05 15:09:09
19,10,1535,81.2,153.50,8.12,2026-05-05 15:09:19
20,10,1543,81.7,154.30,8.17,2026-05-05 15:09:29
21,10,1544,81.6,154.40,8.16,2026-05-05 15:09:40
22,10,1538,81.4,153.80,8.14,2026-05-05 15:09:50
23,10,1540,81.3,154.00,8.13,2026-05-05 15:10:00
24,10,1542,81.5,154.20,8.15,2026-05-05 15:10:10
25,10,1513,80.0,151.30,8.00,2026-05-05 15:10:20
26,10,1375,72.5,137.50,7.25,2026-05-05 15:10:30
27,10,1537,81.1,153.70,8.11,2026-05-05 15:10:40
28,10,1518,80.2,151.80,8.02,2026-05-05 15:10:51
29,10,1520,80.3,152.00,8.03,2026-05-05 15:11:01
30,10,1517,80.0,151.70,8.00,2026-05-05 15:11:11
31,10,1547,81.4,154.70,8.14,2026-05-05 15:11:21
32,10,1546,81.5,154.60,8.15,2026-05-05 15:11:31
33,10,1521,80.1,152.10,8.01,2026-05-05 15:11:41
34,10,1449,76.3,144.90,7.63,2026-05-05 15:11:52
35,10,1526,80.3,152.60,8.03,2026-05-05 15:12:02
36,10,1516,79.8,151.60,7.98,2026-05-05 15:12:12
37,10,1516,79.9,151.60,7.99,2026-05-05 15:12:22
38,10,1349,71.1,134.90,7.11,2026-05-05 15:12:32
39,10,1410,74.2,141.00,7.42,2026-05-05 15:12:42
40,10,1409,74.2,140.90,7.42,2026-05-05 15:12:52
41,10,1515,79.8,151.50,7.98,2026-05-05 15:13:03
42,10,1494,78.7,149.40,7.87,2026-05-05 15:13:13
43,10,1482,78.1,148.20,7.81,2026-05-05 15:13:23
44,10,1512,79.6,151.20,7.96,2026-05-05 15:13:33
45,10,1340,70.5,134.00,7.05,2026-05-05 15:13:43
46,10,1528,80.5,152.80,8.05,2026-05-05 15:13:53
47,10,1508,79.4,150.80,7.94,2026-05-05 15:14:03
48,10,1535,80.8,153.50,8.08,2026-05-05 15:14:14
49,10,1508,79.4,150.80,7.94,2026-05-05 15:14:24
50,10,1513,79.5,151.30,7.95,2026-05-05 15:14:34

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
1504.78,79.4,150.48,7.94
