loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp
1,10,1513,84.0,151.30,8.40,2026-05-05 14:21:02
2,10,1499,83.5,149.90,8.35,2026-05-05 14:21:12
3,10,1508,83.7,150.80,8.37,2026-05-05 14:21:23
4,10,1420,78.8,142.00,7.88,2026-05-05 14:21:33
5,10,1394,77.1,139.40,7.71,2026-05-05 14:21:43
6,10,1391,76.8,139.10,7.68,2026-05-05 14:21:53
7,10,1475,81.3,147.50,8.13,2026-05-05 14:22:03
8,10,1510,83.3,151.00,8.33,2026-05-05 14:22:13
9,10,1521,83.9,152.10,8.39,2026-05-05 14:22:23
10,10,1368,75.6,136.80,7.56,2026-05-05 14:22:34
11,10,1320,72.9,132.00,7.29,2026-05-05 14:22:44
12,10,1515,83.8,151.50,8.38,2026-05-05 14:22:54
13,10,1516,83.9,151.60,8.39,2026-05-05 14:23:04
14,10,1504,83.2,150.40,8.32,2026-05-05 14:23:14
15,10,1517,84.1,151.70,8.41,2026-05-05 14:23:24
16,10,1492,82.7,149.20,8.27,2026-05-05 14:23:34
17,10,1515,84.0,151.50,8.40,2026-05-05 14:23:45
18,10,1510,83.9,151.00,8.39,2026-05-05 14:23:55
19,10,1510,83.8,151.00,8.38,2026-05-05 14:24:05
20,10,1512,84.0,151.20,8.40,2026-05-05 14:24:15
21,10,1349,74.9,134.90,7.49,2026-05-05 14:24:25
22,10,1430,79.3,143.00,7.93,2026-05-05 14:24:35
23,10,1501,83.2,150.10,8.32,2026-05-05 14:24:45
24,10,1510,84.0,151.00,8.40,2026-05-05 14:24:56
25,10,1509,84.1,150.90,8.41,2026-05-05 14:25:06
26,10,1509,84.0,150.90,8.40,2026-05-05 14:25:16
27,10,1505,83.8,150.50,8.38,2026-05-05 14:25:26
28,10,1506,83.9,150.60,8.39,2026-05-05 14:25:36
29,10,1504,84.0,150.40,8.40,2026-05-05 14:25:46
30,10,1496,83.2,149.60,8.32,2026-05-05 14:25:56
31,10,1512,84.0,151.20,8.40,2026-05-05 14:26:06
32,10,1375,76.4,137.50,7.64,2026-05-05 14:26:17
33,10,1508,84.0,150.80,8.40,2026-05-05 14:26:27
34,10,1510,84.1,151.00,8.41,2026-05-05 14:26:37
35,10,1511,84.0,151.10,8.40,2026-05-05 14:26:47
36,10,1508,84.0,150.80,8.40,2026-05-05 14:26:57
37,10,1507,83.9,150.70,8.39,2026-05-05 14:27:07
38,10,1501,83.5,150.10,8.35,2026-05-05 14:27:17
39,10,1500,83.5,150.00,8.35,2026-05-05 14:27:27
40,10,1513,84.0,151.30,8.40,2026-05-05 14:27:38
41,10,1507,83.7,150.70,8.37,2026-05-05 14:27:48
42,10,1311,73.0,131.10,7.30,2026-05-05 14:27:58
43,10,1451,80.5,145.10,8.05,2026-05-05 14:28:08
44,10,1414,78.5,141.40,7.85,2026-05-05 14:28:18
45,10,1511,83.8,151.10,8.38,2026-05-05 14:28:28
46,10,1509,83.7,150.90,8.37,2026-05-05 14:28:38
47,10,1512,83.9,151.20,8.39,2026-05-05 14:28:49
48,10,1512,83.9,151.20,8.39,2026-05-05 14:28:59
49,10,1508,83.7,150.80,8.37,2026-05-05 14:29:09
50,10,1475,81.9,147.50,8.19,2026-05-05 14:29:19

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
1479.68,82.1,147.97,8.21
