loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp
1,10,1451,80.4,145.10,8.04,2026-05-05 15:17:07
2,10,1381,77.0,138.10,7.70,2026-05-05 15:17:17
3,10,1474,82.4,147.40,8.24,2026-05-05 15:17:27
4,10,1456,81.4,145.60,8.14,2026-05-05 15:17:37
5,10,1483,82.9,148.30,8.29,2026-05-05 15:17:47
6,10,1475,82.5,147.50,8.25,2026-05-05 15:17:58
7,10,1364,76.2,136.40,7.62,2026-05-05 15:18:08
8,10,1479,82.9,147.90,8.29,2026-05-05 15:18:18
9,10,1481,83.0,148.10,8.30,2026-05-05 15:18:28
10,10,1482,83.8,148.20,8.38,2026-05-05 15:18:38
11,10,1468,82.7,146.80,8.27,2026-05-05 15:18:48
12,10,1371,76.8,137.10,7.68,2026-05-05 15:18:58
13,10,1473,82.7,147.30,8.27,2026-05-05 15:19:08
14,10,1489,83.7,148.90,8.37,2026-05-05 15:19:19
15,10,1461,81.8,146.10,8.18,2026-05-05 15:19:29
16,10,1479,82.9,147.90,8.29,2026-05-05 15:19:39
17,10,1394,78.3,139.40,7.83,2026-05-05 15:19:49
18,10,1483,83.4,148.30,8.34,2026-05-05 15:19:59
19,10,1481,83.3,148.10,8.33,2026-05-05 15:20:09
20,10,1483,83.1,148.30,8.31,2026-05-05 15:20:19
21,10,1488,83.3,148.80,8.33,2026-05-05 15:20:30
22,10,1399,78.5,139.90,7.85,2026-05-05 15:20:40
23,10,1450,81.4,145.00,8.14,2026-05-05 15:20:50
24,10,1472,82.8,147.20,8.28,2026-05-05 15:21:00
25,10,1419,77.3,141.90,7.73,2026-05-05 15:21:10
26,10,1494,83.3,149.40,8.33,2026-05-05 15:21:20
27,10,1493,84.0,149.30,8.40,2026-05-05 15:21:30
28,10,1430,80.2,143.00,8.02,2026-05-05 15:21:41
29,10,1462,82.2,146.20,8.22,2026-05-05 15:21:51
30,10,1317,73.8,131.70,7.38,2026-05-05 15:22:01
31,10,1349,75.9,134.90,7.59,2026-05-05 15:22:11
32,10,1469,82.8,146.90,8.28,2026-05-05 15:22:21
33,10,1489,83.7,148.90,8.37,2026-05-05 15:22:31
34,10,1499,84.1,149.90,8.41,2026-05-05 15:22:42
35,10,1395,78.3,139.50,7.83,2026-05-05 15:22:52
36,10,1490,83.7,149.00,8.37,2026-05-05 15:23:02
37,10,1482,83.5,148.20,8.35,2026-05-05 15:23:12
38,10,1414,79.4,141.40,7.94,2026-05-05 15:23:22
39,10,1332,74.4,133.20,7.44,2026-05-05 15:23:32
40,10,1478,83.1,147.80,8.31,2026-05-05 15:23:42
41,10,1492,83.6,149.20,8.36,2026-05-05 15:23:53
42,10,1489,83.5,148.90,8.35,2026-05-05 15:24:03
43,10,1404,79.1,140.40,7.91,2026-05-05 15:24:13
44,10,1433,80.3,143.30,8.03,2026-05-05 15:24:23
45,10,1242,70.0,124.20,7.00,2026-05-05 15:24:33
46,10,1457,81.6,145.70,8.16,2026-05-05 15:24:43
47,10,1486,83.3,148.60,8.33,2026-05-05 15:24:53
48,10,1447,81.3,144.70,8.13,2026-05-05 15:25:03
49,10,1483,82.9,148.30,8.29,2026-05-05 15:25:14
50,10,1476,83.1,147.60,8.31,2026-05-05 15:25:24

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
1446.76,81.1,144.68,8.11
