loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp
1,10,1370,84.0,137.00,8.40,2026-05-05 16:02:14
2,10,1365,83.9,136.50,8.39,2026-05-05 16:02:24
3,10,1360,83.6,136.00,8.36,2026-05-05 16:02:34
4,10,1367,84.0,136.70,8.40,2026-05-05 16:02:44
5,10,1358,83.5,135.80,8.35,2026-05-05 16:02:54
6,10,1359,83.5,135.90,8.35,2026-05-05 16:03:04
7,10,1357,83.5,135.70,8.35,2026-05-05 16:03:15
8,10,1308,80.5,130.80,8.05,2026-05-05 16:03:25
9,10,1362,83.9,136.20,8.39,2026-05-05 16:03:35
10,10,1276,78.7,127.60,7.87,2026-05-05 16:03:45
11,10,1361,83.9,136.10,8.39,2026-05-05 16:03:55
12,10,1363,84.0,136.30,8.40,2026-05-05 16:04:06
13,10,1372,83.9,137.20,8.39,2026-05-05 16:04:16
14,10,1368,83.8,136.80,8.38,2026-05-05 16:04:26
15,10,1368,83.9,136.80,8.39,2026-05-05 16:04:36
16,10,1403,83.9,140.30,8.39,2026-05-05 16:04:46
17,10,1475,84.0,147.50,8.40,2026-05-05 16:04:56
18,10,1507,83.6,150.70,8.36,2026-05-05 16:05:06
19,10,1505,83.4,150.50,8.34,2026-05-05 16:05:17
20,10,1498,83.6,149.80,8.36,2026-05-05 16:05:27
21,10,1452,82.1,145.20,8.21,2026-05-05 16:05:37
22,10,1368,83.9,136.80,8.39,2026-05-05 16:05:47
23,10,1234,72.2,123.40,7.22,2026-05-05 16:05:57
24,10,1407,84.0,140.70,8.40,2026-05-05 16:06:07
25,10,1363,83.7,136.30,8.37,2026-05-05 16:06:17
26,10,1365,84.0,136.50,8.40,2026-05-05 16:06:28
27,10,1366,83.6,136.60,8.36,2026-05-05 16:06:38
28,10,1365,83.7,136.50,8.37,2026-05-05 16:06:48
29,10,1369,83.9,136.90,8.39,2026-05-05 16:06:58
30,10,1364,83.6,136.40,8.36,2026-05-05 16:07:08
31,10,1367,83.9,136.70,8.39,2026-05-05 16:07:18
32,10,1362,83.7,136.20,8.37,2026-05-05 16:07:28
33,10,1394,82.5,139.40,8.25,2026-05-05 16:07:38
34,10,1363,83.9,136.30,8.39,2026-05-05 16:07:49
35,10,1357,83.8,135.70,8.38,2026-05-05 16:07:59
36,10,1362,83.7,136.20,8.37,2026-05-05 16:08:09
37,10,1416,83.4,141.60,8.34,2026-05-05 16:08:19
38,10,1367,83.9,136.70,8.39,2026-05-05 16:08:29
39,10,1378,83.8,137.80,8.38,2026-05-05 16:08:39
40,10,1374,83.9,137.40,8.39,2026-05-05 16:08:49
41,10,1358,83.9,135.80,8.39,2026-05-05 16:09:00
42,10,1375,83.4,137.50,8.34,2026-05-05 16:09:10
43,10,1357,83.9,135.70,8.39,2026-05-05 16:09:20
44,10,1442,83.9,144.20,8.39,2026-05-05 16:09:30
45,10,1414,84.0,141.40,8.40,2026-05-05 16:09:40
46,10,1260,77.2,126.00,7.72,2026-05-05 16:09:50
47,10,1363,83.8,136.30,8.38,2026-05-05 16:10:00
48,10,1358,83.7,135.80,8.37,2026-05-05 16:10:10
49,10,1383,80.1,138.30,8.01,2026-05-05 16:10:21
50,10,1381,80.1,138.10,8.01,2026-05-05 16:10:31

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
1375.72,83.0,137.57,8.30
