loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp
1,10,952,55.6,95.20,5.56,2026-05-05 14:35:36
2,10,1319,75.1,131.90,7.51,2026-05-05 14:35:46
3,10,1165,66.7,116.50,6.67,2026-05-05 14:35:56
4,10,935,54.1,93.50,5.41,2026-05-05 14:36:06
5,10,734,42.3,73.40,4.23,2026-05-05 14:36:16
6,10,841,47.9,84.10,4.79,2026-05-05 14:36:26
7,10,870,49.5,87.00,4.95,2026-05-05 14:36:36
8,10,797,45.0,79.70,4.50,2026-05-05 14:36:46
9,10,932,52.7,93.20,5.27,2026-05-05 14:36:56
10,10,753,42.7,75.30,4.27,2026-05-05 14:37:06
11,10,940,54.0,94.00,5.40,2026-05-05 14:37:17
12,10,959,55.5,95.90,5.55,2026-05-05 14:37:27
13,10,770,44.3,77.00,4.43,2026-05-05 14:37:37
14,10,936,52.8,93.60,5.28,2026-05-05 14:37:47
15,10,908,52.5,90.80,5.25,2026-05-05 14:37:57
16,10,916,51.3,91.60,5.13,2026-05-05 14:38:07
17,10,925,51.8,92.50,5.18,2026-05-05 14:38:17
18,10,903,50.2,90.30,5.02,2026-05-05 14:38:27
19,10,809,45.2,80.90,4.52,2026-05-05 14:38:37
20,10,997,55.5,99.70,5.55,2026-05-05 14:38:47
21,10,922,51.7,92.20,5.17,2026-05-05 14:38:57
22,10,964,53.7,96.40,5.37,2026-05-05 14:39:07
23,10,758,42.2,75.80,4.22,2026-05-05 14:39:17
24,10,787,44.1,78.70,4.41,2026-05-05 14:39:27
25,10,868,48.4,86.80,4.84,2026-05-05 14:39:38
26,10,989,55.2,98.90,5.52,2026-05-05 14:39:48
27,10,954,53.0,95.40,5.30,2026-05-05 14:39:58
28,10,897,50.2,89.70,5.02,2026-05-05 14:40:08
29,10,764,42.4,76.40,4.24,2026-05-05 14:40:18
30,10,815,45.3,81.50,4.53,2026-05-05 14:40:28
31,10,944,52.3,94.40,5.23,2026-05-05 14:40:38
32,10,966,53.9,96.60,5.39,2026-05-05 14:40:48
33,10,735,41.3,73.50,4.13,2026-05-05 14:40:58
34,10,993,56.1,99.30,5.61,2026-05-05 14:41:08
35,10,670,38.0,67.00,3.80,2026-05-05 14:41:18
36,10,849,48.2,84.90,4.82,2026-05-05 14:41:28
37,10,891,49.9,89.10,4.99,2026-05-05 14:41:38
38,10,734,41.2,73.40,4.12,2026-05-05 14:41:48
39,10,882,49.3,88.20,4.93,2026-05-05 14:41:58
40,10,752,41.9,75.20,4.19,2026-05-05 14:42:09
41,10,828,46.2,82.80,4.62,2026-05-05 14:42:19
42,10,889,49.6,88.90,4.96,2026-05-05 14:42:29
43,10,932,51.9,93.20,5.19,2026-05-05 14:42:39
44,10,878,48.8,87.80,4.88,2026-05-05 14:42:49
45,10,934,52.1,93.40,5.21,2026-05-05 14:42:59
46,10,807,45.0,80.70,4.50,2026-05-05 14:43:09
47,10,926,51.7,92.60,5.17,2026-05-05 14:43:19
48,10,892,49.7,89.20,4.97,2026-05-05 14:43:29
49,10,858,47.7,85.80,4.77,2026-05-05 14:43:39
50,10,1042,58.0,104.20,5.80,2026-05-05 14:43:49

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
889.62,50.1,88.96,5.01
