loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp
1,10,604,33.2,60.40,3.32,2026-05-05 14:53:23
2,10,388,21.6,38.80,2.16,2026-05-05 14:53:33
3,10,380,21.2,38.00,2.12,2026-05-05 14:53:43
4,10,645,36.0,64.50,3.60,2026-05-05 14:53:53
5,10,745,41.6,74.50,4.16,2026-05-05 14:54:03
6,10,670,37.4,67.00,3.74,2026-05-05 14:54:13
7,10,583,32.5,58.30,3.25,2026-05-05 14:54:23
8,10,454,25.3,45.40,2.53,2026-05-05 14:54:34
9,10,481,26.9,48.10,2.69,2026-05-05 14:54:44
10,10,367,20.5,36.70,2.05,2026-05-05 14:54:54
11,10,297,16.6,29.70,1.66,2026-05-05 14:55:04
12,10,260,14.5,26.00,1.45,2026-05-05 14:55:14
13,10,417,23.3,41.70,2.33,2026-05-05 14:55:24
14,10,348,19.5,34.80,1.95,2026-05-05 14:55:34
15,10,471,26.3,47.10,2.63,2026-05-05 14:55:44
16,10,531,29.7,53.10,2.97,2026-05-05 14:55:55
17,10,826,46.1,82.60,4.61,2026-05-05 14:56:05
18,10,597,33.4,59.70,3.34,2026-05-05 14:56:15
19,10,431,24.1,43.10,2.41,2026-05-05 14:56:25
20,10,386,21.6,38.60,2.16,2026-05-05 14:56:35
21,10,544,30.4,54.40,3.04,2026-05-05 14:56:45
22,10,210,11.7,21.00,1.17,2026-05-05 14:56:55
23,10,588,32.8,58.80,3.28,2026-05-05 14:57:05
24,10,365,20.4,36.50,2.04,2026-05-05 14:57:15
25,10,381,21.3,38.10,2.13,2026-05-05 14:57:26
26,10,425,23.8,42.50,2.38,2026-05-05 14:57:36
27,10,518,29.0,51.80,2.90,2026-05-05 14:57:46
28,10,270,15.1,27.00,1.51,2026-05-05 14:57:56
29,10,802,45.1,80.20,4.51,2026-05-05 14:58:06
30,10,511,28.7,51.10,2.87,2026-05-05 14:58:16
31,10,515,29.0,51.50,2.90,2026-05-05 14:58:26
32,10,476,26.7,47.60,2.67,2026-05-05 14:58:37
33,10,876,49.2,87.60,4.92,2026-05-05 14:58:47
34,10,349,19.6,34.90,1.96,2026-05-05 14:58:57
35,10,447,25.1,44.70,2.51,2026-05-05 14:59:07
36,10,331,18.5,33.10,1.85,2026-05-05 14:59:17
37,10,228,12.7,22.80,1.27,2026-05-05 14:59:27
38,10,470,26.3,47.00,2.63,2026-05-05 14:59:37
39,10,343,19.2,34.30,1.92,2026-05-05 14:59:47
40,10,393,22.0,39.30,2.20,2026-05-05 14:59:58
41,10,382,21.3,38.20,2.13,2026-05-05 15:00:08
42,10,411,22.9,41.10,2.29,2026-05-05 15:00:18
43,10,671,37.5,67.10,3.75,2026-05-05 15:00:28
44,10,325,18.1,32.50,1.81,2026-05-05 15:00:38
45,10,481,26.8,48.10,2.68,2026-05-05 15:00:48
46,10,538,30.1,53.80,3.01,2026-05-05 15:00:58
47,10,360,20.1,36.00,2.01,2026-05-05 15:01:08
48,10,518,28.9,51.80,2.89,2026-05-05 15:01:18
49,10,367,20.5,36.70,2.05,2026-05-05 15:01:28
50,10,554,31.0,55.40,3.10,2026-05-05 15:01:39

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
470.60,26.3,47.06,2.63
