loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp
1,10,1696,83.9,169.60,8.39,2026-05-05 14:21:03
2,10,1697,84.0,169.70,8.40,2026-05-05 14:21:13
3,10,1697,84.0,169.70,8.40,2026-05-05 14:21:23
4,10,1698,84.0,169.80,8.40,2026-05-05 14:21:33
5,10,1717,84.0,171.70,8.40,2026-05-05 14:21:43
6,10,1716,83.9,171.60,8.39,2026-05-05 14:21:53
7,10,1716,84.0,171.60,8.40,2026-05-05 14:22:03
8,10,1719,84.0,171.90,8.40,2026-05-05 14:22:13
9,10,1719,84.0,171.90,8.40,2026-05-05 14:22:23
10,10,1720,84.0,172.00,8.40,2026-05-05 14:22:33
11,10,1720,84.0,172.00,8.40,2026-05-05 14:22:43
12,10,1720,83.9,172.00,8.39,2026-05-05 14:22:53
13,10,1712,84.0,171.20,8.40,2026-05-05 14:23:03
14,10,1708,83.9,170.80,8.39,2026-05-05 14:23:13
15,10,1709,84.0,170.90,8.40,2026-05-05 14:23:23
16,10,1710,84.0,171.00,8.40,2026-05-05 14:23:33
17,10,1710,84.0,171.00,8.40,2026-05-05 14:23:43
18,10,1711,84.0,171.10,8.40,2026-05-05 14:23:53
19,10,1709,84.0,170.90,8.40,2026-05-05 14:24:03
20,10,1705,83.8,170.50,8.38,2026-05-05 14:24:14
21,10,1710,84.0,171.00,8.40,2026-05-05 14:24:24
22,10,1709,84.0,170.90,8.40,2026-05-05 14:24:34
23,10,1709,84.0,170.90,8.40,2026-05-05 14:24:44
24,10,1709,84.0,170.90,8.40,2026-05-05 14:24:54
25,10,1710,84.0,171.00,8.40,2026-05-05 14:25:04
26,10,1708,84.0,170.80,8.40,2026-05-05 14:25:14
27,10,1706,83.9,170.60,8.39,2026-05-05 14:25:24
28,10,1707,84.0,170.70,8.40,2026-05-05 14:25:34
29,10,1705,84.0,170.50,8.40,2026-05-05 14:25:44
30,10,1703,84.0,170.30,8.40,2026-05-05 14:25:54
31,10,1708,84.0,170.80,8.40,2026-05-05 14:26:04
32,10,1705,84.0,170.50,8.40,2026-05-05 14:26:14
33,10,1703,83.9,170.30,8.39,2026-05-05 14:26:24
34,10,1705,84.0,170.50,8.40,2026-05-05 14:26:34
35,10,1705,84.0,170.50,8.40,2026-05-05 14:26:44
36,10,1719,84.0,171.90,8.40,2026-05-05 14:26:54
37,10,1718,84.0,171.80,8.40,2026-05-05 14:27:04
38,10,1717,83.9,171.70,8.39,2026-05-05 14:27:14
39,10,1718,84.0,171.80,8.40,2026-05-05 14:27:24
40,10,1717,84.0,171.70,8.40,2026-05-05 14:27:34
41,10,1717,84.0,171.70,8.40,2026-05-05 14:27:44
42,10,1715,84.0,171.50,8.40,2026-05-05 14:27:55
43,10,1717,84.0,171.70,8.40,2026-05-05 14:28:05
44,10,1713,83.9,171.30,8.39,2026-05-05 14:28:15
45,10,1716,83.9,171.60,8.39,2026-05-05 14:28:25
46,10,1717,84.0,171.70,8.40,2026-05-05 14:28:35
47,10,1717,84.0,171.70,8.40,2026-05-05 14:28:45
48,10,1717,84.0,171.70,8.40,2026-05-05 14:28:55
49,10,1717,83.9,171.70,8.39,2026-05-05 14:29:05
50,10,1718,84.0,171.80,8.40,2026-05-05 14:29:15

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
1711.28,84.0,171.13,8.40
