loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp
1,10,1624,83.8,162.40,8.38,2026-05-05 16:02:14
2,10,1640,83.9,164.00,8.39,2026-05-05 16:02:24
3,10,1647,83.9,164.70,8.39,2026-05-05 16:02:34
4,10,1645,83.8,164.50,8.38,2026-05-05 16:02:44
5,10,1647,83.9,164.70,8.39,2026-05-05 16:02:54
6,10,1645,83.9,164.50,8.39,2026-05-05 16:03:04
7,10,1644,83.9,164.40,8.39,2026-05-05 16:03:14
8,10,1642,83.9,164.20,8.39,2026-05-05 16:03:24
9,10,1641,83.9,164.10,8.39,2026-05-05 16:03:34
10,10,1642,83.9,164.20,8.39,2026-05-05 16:03:44
11,10,1644,83.9,164.40,8.39,2026-05-05 16:03:54
12,10,1640,83.8,164.00,8.38,2026-05-05 16:04:04
13,10,1648,83.9,164.80,8.39,2026-05-05 16:04:15
14,10,1644,83.9,164.40,8.39,2026-05-05 16:04:25
15,10,1645,83.9,164.50,8.39,2026-05-05 16:04:35
16,10,1664,83.9,166.40,8.39,2026-05-05 16:04:45
17,10,1685,83.9,168.50,8.39,2026-05-05 16:04:55
18,10,1706,83.9,170.60,8.39,2026-05-05 16:05:05
19,10,1707,83.9,170.70,8.39,2026-05-05 16:05:15
20,10,1700,84.0,170.00,8.40,2026-05-05 16:05:25
21,10,1690,84.0,169.00,8.40,2026-05-05 16:05:35
22,10,1638,83.9,163.80,8.39,2026-05-05 16:05:45
23,10,1676,83.9,167.60,8.39,2026-05-05 16:05:55
24,10,1674,83.9,167.40,8.39,2026-05-05 16:06:05
25,10,1651,83.9,165.10,8.39,2026-05-05 16:06:15
26,10,1639,83.9,163.90,8.39,2026-05-05 16:06:25
27,10,1655,83.9,165.50,8.39,2026-05-05 16:06:35
28,10,1646,83.9,164.60,8.39,2026-05-05 16:06:45
29,10,1642,83.9,164.20,8.39,2026-05-05 16:06:55
30,10,1640,83.8,164.00,8.38,2026-05-05 16:07:05
31,10,1639,83.8,163.90,8.38,2026-05-05 16:07:15
32,10,1641,83.9,164.10,8.39,2026-05-05 16:07:26
33,10,1673,83.9,167.30,8.39,2026-05-05 16:07:36
34,10,1642,83.9,164.20,8.39,2026-05-05 16:07:46
35,10,1647,83.9,164.70,8.39,2026-05-05 16:07:56
36,10,1648,83.9,164.80,8.39,2026-05-05 16:08:06
37,10,1671,83.8,167.10,8.38,2026-05-05 16:08:16
38,10,1660,83.9,166.00,8.39,2026-05-05 16:08:26
39,10,1655,83.8,165.50,8.38,2026-05-05 16:08:36
40,10,1669,83.9,166.90,8.39,2026-05-05 16:08:46
41,10,1648,83.9,164.80,8.39,2026-05-05 16:08:56
42,10,1682,83.9,168.20,8.39,2026-05-05 16:09:06
43,10,1637,83.9,163.70,8.39,2026-05-05 16:09:16
44,10,1670,83.9,167.00,8.39,2026-05-05 16:09:26
45,10,1661,83.9,166.10,8.39,2026-05-05 16:09:36
46,10,1655,83.9,165.50,8.39,2026-05-05 16:09:46
47,10,1639,83.9,163.90,8.39,2026-05-05 16:09:56
48,10,1638,83.9,163.80,8.39,2026-05-05 16:10:06
49,10,1664,83.9,166.40,8.39,2026-05-05 16:10:16
50,10,1671,83.9,167.10,8.39,2026-05-05 16:10:27

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
1655.22,83.9,165.52,8.39
