loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp
1,10,613,33.7,61.30,3.37,2026-05-05 14:53:23
2,10,729,40.7,72.90,4.07,2026-05-05 14:53:33
3,10,752,42.0,75.20,4.20,2026-05-05 14:53:43
4,10,228,12.7,22.80,1.27,2026-05-05 14:53:53
5,10,420,23.4,42.00,2.34,2026-05-05 14:54:03
6,10,657,36.7,65.70,3.67,2026-05-05 14:54:14
7,10,531,29.6,53.10,2.96,2026-05-05 14:54:24
8,10,318,17.8,31.80,1.78,2026-05-05 14:54:34
9,10,773,43.1,77.30,4.31,2026-05-05 14:54:44
10,10,419,23.4,41.90,2.34,2026-05-05 14:54:54
11,10,509,28.4,50.90,2.84,2026-05-05 14:55:04
12,10,616,34.4,61.60,3.44,2026-05-05 14:55:14
13,10,543,30.3,54.30,3.03,2026-05-05 14:55:25
14,10,811,45.3,81.10,4.53,2026-05-05 14:55:35
15,10,702,39.2,70.20,3.92,2026-05-05 14:55:45
16,10,621,34.7,62.10,3.47,2026-05-05 14:55:55
17,10,245,13.7,24.50,1.37,2026-05-05 14:56:05
18,10,627,35.0,62.70,3.50,2026-05-05 14:56:15
19,10,405,22.6,40.50,2.26,2026-05-05 14:56:25
20,10,371,20.7,37.10,2.07,2026-05-05 14:56:35
21,10,568,31.7,56.80,3.17,2026-05-05 14:56:46
22,10,702,39.2,70.20,3.92,2026-05-05 14:56:56
23,10,262,14.6,26.20,1.46,2026-05-05 14:57:06
24,10,675,37.7,67.50,3.77,2026-05-05 14:57:16
25,10,783,43.8,78.30,4.38,2026-05-05 14:57:26
26,10,249,13.9,24.90,1.39,2026-05-05 14:57:36
27,10,459,25.7,45.90,2.57,2026-05-05 14:57:46
28,10,782,43.9,78.20,4.39,2026-05-05 14:57:57
29,10,181,10.2,18.10,1.02,2026-05-05 14:58:07
30,10,475,26.7,47.50,2.67,2026-05-05 14:58:17
31,10,492,27.7,49.20,2.77,2026-05-05 14:58:27
32,10,520,29.2,52.00,2.92,2026-05-05 14:58:37
33,10,446,25.0,44.60,2.50,2026-05-05 14:58:47
34,10,703,39.4,70.30,3.94,2026-05-05 14:58:58
35,10,502,28.1,50.20,2.81,2026-05-05 14:59:08
36,10,721,40.4,72.10,4.04,2026-05-05 14:59:18
37,10,548,30.6,54.80,3.06,2026-05-05 14:59:28
38,10,738,41.2,73.80,4.12,2026-05-05 14:59:38
39,10,711,39.7,71.10,3.97,2026-05-05 14:59:48
40,10,789,44.1,78.90,4.41,2026-05-05 14:59:59
41,10,803,44.8,80.30,4.48,2026-05-05 15:00:09
42,10,354,19.7,35.40,1.97,2026-05-05 15:00:19
43,10,733,40.9,73.30,4.09,2026-05-05 15:00:29
44,10,459,25.6,45.90,2.56,2026-05-05 15:00:39
45,10,792,44.2,79.20,4.42,2026-05-05 15:00:49
46,10,739,41.3,73.90,4.13,2026-05-05 15:00:59
47,10,352,19.7,35.20,1.97,2026-05-05 15:01:09
48,10,406,22.7,40.60,2.27,2026-05-05 15:01:20
49,10,346,19.4,34.60,1.94,2026-05-05 15:01:30
50,10,465,26.0,46.50,2.60,2026-05-05 15:01:40

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
552.90,30.9,55.29,3.09
