loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp
1,10,1220,84.1,122.00,8.41,2026-05-05 16:02:14
2,10,1208,83.9,120.80,8.39,2026-05-05 16:02:24
3,10,1208,83.9,120.80,8.39,2026-05-05 16:02:34
4,10,1148,79.7,114.80,7.97,2026-05-05 16:02:44
5,10,1199,83.2,119.90,8.32,2026-05-05 16:02:55
6,10,1183,82.2,118.30,8.22,2026-05-05 16:03:05
7,10,1204,83.7,120.40,8.37,2026-05-05 16:03:15
8,10,1201,83.5,120.10,8.35,2026-05-05 16:03:25
9,10,1205,83.9,120.50,8.39,2026-05-05 16:03:35
10,10,1195,83.2,119.50,8.32,2026-05-05 16:03:45
11,10,1199,83.5,119.90,8.35,2026-05-05 16:03:55
12,10,1197,83.3,119.70,8.33,2026-05-05 16:04:05
13,10,1201,83.3,120.10,8.33,2026-05-05 16:04:15
14,10,1201,83.8,120.10,8.38,2026-05-05 16:04:25
15,10,1198,83.6,119.80,8.36,2026-05-05 16:04:36
16,10,1213,83.4,121.30,8.34,2026-05-05 16:04:46
17,10,1245,83.7,124.50,8.37,2026-05-05 16:04:56
18,10,1257,83.7,125.70,8.37,2026-05-05 16:05:06
19,10,1238,82.6,123.80,8.26,2026-05-05 16:05:16
20,10,1240,83.0,124.00,8.30,2026-05-05 16:05:26
21,10,1255,84.0,125.50,8.40,2026-05-05 16:05:36
22,10,1202,83.7,120.20,8.37,2026-05-05 16:05:46
23,10,1230,83.8,123.00,8.38,2026-05-05 16:05:56
24,10,1217,83.6,121.70,8.36,2026-05-05 16:06:07
25,10,1205,83.7,120.50,8.37,2026-05-05 16:06:17
26,10,1202,83.9,120.20,8.39,2026-05-05 16:06:27
27,10,1206,83.6,120.60,8.36,2026-05-05 16:06:37
28,10,1201,83.6,120.10,8.36,2026-05-05 16:06:47
29,10,1193,83.1,119.30,8.31,2026-05-05 16:06:57
30,10,1201,83.7,120.10,8.37,2026-05-05 16:07:07
31,10,1198,83.6,119.80,8.36,2026-05-05 16:07:17
32,10,1197,83.6,119.70,8.36,2026-05-05 16:07:27
33,10,1229,83.9,122.90,8.39,2026-05-05 16:07:37
34,10,1206,83.9,120.60,8.39,2026-05-05 16:07:48
35,10,1192,83.5,119.20,8.35,2026-05-05 16:07:58
36,10,1205,84.0,120.50,8.40,2026-05-05 16:08:08
37,10,1216,83.0,121.60,8.30,2026-05-05 16:08:18
38,10,1208,83.7,120.80,8.37,2026-05-05 16:08:28
39,10,1215,83.7,121.50,8.37,2026-05-05 16:08:38
40,10,1222,84.0,122.20,8.40,2026-05-05 16:08:48
41,10,1188,83.0,118.80,8.30,2026-05-05 16:08:58
42,10,1219,83.4,121.90,8.34,2026-05-05 16:09:08
43,10,1176,82.3,117.60,8.23,2026-05-05 16:09:19
44,10,1234,83.8,123.40,8.38,2026-05-05 16:09:29
45,10,1214,83.3,121.40,8.33,2026-05-05 16:09:39
46,10,1212,83.9,121.20,8.39,2026-05-05 16:09:49
47,10,1205,84.1,120.50,8.41,2026-05-05 16:09:59
48,10,1199,83.8,119.90,8.38,2026-05-05 16:10:09
49,10,1234,83.7,123.40,8.37,2026-05-05 16:10:19
50,10,1209,82.8,120.90,8.28,2026-05-05 16:10:29

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
1209.00,83.5,120.90,8.35
