loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp
1,10,601,38.0,60.10,3.80,2026-04-30 13:49:49
2,10,621,39.1,62.10,3.91,2026-04-30 13:49:59
3,10,627,38.4,62.70,3.84,2026-04-30 13:50:09
4,10,634,38.7,63.40,3.87,2026-04-30 13:50:19
5,10,621,37.9,62.10,3.79,2026-04-30 13:50:29
6,10,639,39.0,63.90,3.90,2026-04-30 13:50:39
7,10,639,39.0,63.90,3.90,2026-04-30 13:50:49
8,10,638,38.9,63.80,3.89,2026-04-30 13:51:00
9,10,622,37.9,62.20,3.79,2026-04-30 13:51:10
10,10,638,38.9,63.80,3.89,2026-04-30 13:51:20
11,10,625,38.0,62.50,3.80,2026-04-30 13:51:30
12,10,622,37.9,62.20,3.79,2026-04-30 13:51:40
13,10,625,38.1,62.50,3.81,2026-04-30 13:51:50
14,10,621,37.8,62.10,3.78,2026-04-30 13:52:00
15,10,623,37.9,62.30,3.79,2026-04-30 13:52:10
16,10,639,38.9,63.90,3.89,2026-04-30 13:52:20
17,10,639,38.9,63.90,3.89,2026-04-30 13:52:30
18,10,639,38.9,63.90,3.89,2026-04-30 13:52:41
19,10,640,39.0,64.00,3.90,2026-04-30 13:52:51
20,10,640,39.0,64.00,3.90,2026-04-30 13:53:01
21,10,621,37.8,62.10,3.78,2026-04-30 13:53:11
22,10,639,38.9,63.90,3.89,2026-04-30 13:53:21
23,10,629,38.3,62.90,3.83,2026-04-30 13:53:31
24,10,636,38.7,63.60,3.87,2026-04-30 13:53:41
25,10,624,38.0,62.40,3.80,2026-04-30 13:53:51
26,10,639,38.9,63.90,3.89,2026-04-30 13:54:02
27,10,640,39.0,64.00,3.90,2026-04-30 13:54:12
28,10,640,39.0,64.00,3.90,2026-04-30 13:54:22
29,10,631,38.4,63.10,3.84,2026-04-30 13:54:32
30,10,641,39.0,64.10,3.90,2026-04-30 13:54:42
31,10,641,39.0,64.10,3.90,2026-04-30 13:54:52
32,10,646,39.4,64.60,3.94,2026-04-30 13:55:02
33,10,640,39.0,64.00,3.90,2026-04-30 13:55:12
34,10,619,37.7,61.90,3.77,2026-04-30 13:55:22
35,10,639,38.9,63.90,3.89,2026-04-30 13:55:32
36,10,640,39.0,64.00,3.90,2026-04-30 13:55:42
37,10,643,39.1,64.30,3.91,2026-04-30 13:55:53
38,10,621,37.8,62.10,3.78,2026-04-30 13:56:03
39,10,641,39.0,64.10,3.90,2026-04-30 13:56:13
40,10,622,37.9,62.20,3.79,2026-04-30 13:56:23
41,10,640,39.0,64.00,3.90,2026-04-30 13:56:33
42,10,640,39.0,64.00,3.90,2026-04-30 13:56:43
43,10,639,38.9,63.90,3.89,2026-04-30 13:56:53
44,10,641,39.0,64.10,3.90,2026-04-30 13:57:03
45,10,637,38.8,63.70,3.88,2026-04-30 13:57:13
46,10,641,39.1,64.10,3.91,2026-04-30 13:57:23
47,10,639,38.9,63.90,3.89,2026-04-30 13:57:33
48,10,649,39.5,64.90,3.95,2026-04-30 13:57:44
49,10,640,38.9,64.00,3.89,2026-04-30 13:57:54
50,10,620,37.7,62.00,3.77,2026-04-30 13:58:04

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
633.42,38.6,63.34,3.86
