loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp
1,10,706,40.3,70.60,4.03,2026-04-30 14:05:51
2,10,695,39.4,69.50,3.94,2026-04-30 14:06:01
3,10,703,39.6,70.30,3.96,2026-04-30 14:06:11
4,10,680,38.9,68.00,3.89,2026-04-30 14:06:21
5,10,694,39.8,69.40,3.98,2026-04-30 14:06:31
6,10,711,40.7,71.10,4.07,2026-04-30 14:06:41
7,10,710,40.6,71.00,4.06,2026-04-30 14:06:51
8,10,694,39.5,69.40,3.95,2026-04-30 14:07:01
9,10,713,40.8,71.30,4.08,2026-04-30 14:07:11
10,10,715,40.9,71.50,4.09,2026-04-30 14:07:21
11,10,683,39.3,68.30,3.93,2026-04-30 14:07:31
12,10,701,40.2,70.10,4.02,2026-04-30 14:07:41
13,10,694,39.3,69.40,3.93,2026-04-30 14:07:52
14,10,705,40.4,70.50,4.04,2026-04-30 14:08:02
15,10,704,40.6,70.40,4.06,2026-04-30 14:08:12
16,10,694,40.0,69.40,4.00,2026-04-30 14:08:22
17,10,699,39.7,69.90,3.97,2026-04-30 14:08:32
18,10,696,39.6,69.60,3.96,2026-04-30 14:08:42
19,10,698,40.1,69.80,4.01,2026-04-30 14:08:52
20,10,714,41.1,71.40,4.11,2026-04-30 14:09:02
21,10,704,40.2,70.40,4.02,2026-04-30 14:09:12
22,10,705,40.4,70.50,4.04,2026-04-30 14:09:22
23,10,709,40.3,70.90,4.03,2026-04-30 14:09:32
24,10,698,40.0,69.80,4.00,2026-04-30 14:09:42
25,10,696,39.8,69.60,3.98,2026-04-30 14:09:53
26,10,718,41.2,71.80,4.12,2026-04-30 14:10:03
27,10,718,41.2,71.80,4.12,2026-04-30 14:10:13
28,10,676,38.8,67.60,3.88,2026-04-30 14:10:23
29,10,707,40.2,70.70,4.02,2026-04-30 14:10:33
30,10,712,40.8,71.20,4.08,2026-04-30 14:10:43
31,10,699,39.6,69.90,3.96,2026-04-30 14:10:53
32,10,719,41.1,71.90,4.11,2026-04-30 14:11:03
33,10,697,39.4,69.70,3.94,2026-04-30 14:11:13
34,10,710,40.2,71.00,4.02,2026-04-30 14:11:23
35,10,704,40.5,70.40,4.05,2026-04-30 14:11:33
36,10,691,39.5,69.10,3.95,2026-04-30 14:11:43
37,10,691,39.4,69.10,3.94,2026-04-30 14:11:54
38,10,702,40.5,70.20,4.05,2026-04-30 14:12:04
39,10,710,40.3,71.00,4.03,2026-04-30 14:12:14
40,10,700,40.1,70.00,4.01,2026-04-30 14:12:24
41,10,701,40.1,70.10,4.01,2026-04-30 14:12:34
42,10,706,40.4,70.60,4.04,2026-04-30 14:12:44
43,10,708,40.6,70.80,4.06,2026-04-30 14:12:54
44,10,700,40.3,70.00,4.03,2026-04-30 14:13:04
45,10,720,41.4,72.00,4.14,2026-04-30 14:13:14
46,10,692,39.6,69.20,3.96,2026-04-30 14:13:24
47,10,697,39.8,69.70,3.98,2026-04-30 14:13:34
48,10,681,39.0,68.10,3.90,2026-04-30 14:13:44
49,10,718,41.2,71.80,4.12,2026-04-30 14:13:55
50,10,690,39.4,69.00,3.94,2026-04-30 14:14:05

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
701.76,40.1,70.18,4.01
