loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp
1,10,683,40.8,68.30,4.08,2026-04-30 14:22:15
2,10,693,41.2,69.30,4.12,2026-04-30 14:22:25
3,10,666,39.8,66.60,3.98,2026-04-30 14:22:36
4,10,681,40.6,68.10,4.06,2026-04-30 14:22:46
5,10,686,40.2,68.60,4.02,2026-04-30 14:22:56
6,10,665,39.6,66.50,3.96,2026-04-30 14:23:06
7,10,670,40.0,67.00,4.00,2026-04-30 14:23:16
8,10,661,39.0,66.10,3.90,2026-04-30 14:23:26
9,10,691,41.0,69.10,4.10,2026-04-30 14:23:36
10,10,683,40.1,68.30,4.01,2026-04-30 14:23:46
11,10,659,38.6,65.90,3.86,2026-04-30 14:23:56
12,10,684,40.2,68.40,4.02,2026-04-30 14:24:06
13,10,684,40.5,68.40,4.05,2026-04-30 14:24:17
14,10,680,39.9,68.00,3.99,2026-04-30 14:24:27
15,10,653,39.1,65.30,3.91,2026-04-30 14:24:37
16,10,658,39.0,65.80,3.90,2026-04-30 14:24:47
17,10,673,39.6,67.30,3.96,2026-04-30 14:24:57
18,10,682,40.4,68.20,4.04,2026-04-30 14:25:07
19,10,665,39.0,66.50,3.90,2026-04-30 14:25:17
20,10,701,41.3,70.10,4.13,2026-04-30 14:25:27
21,10,653,38.6,65.30,3.86,2026-04-30 14:25:37
22,10,678,40.2,67.80,4.02,2026-04-30 14:25:47
23,10,659,39.4,65.90,3.94,2026-04-30 14:25:57
24,10,681,40.2,68.10,4.02,2026-04-30 14:26:07
25,10,696,40.1,69.60,4.01,2026-04-30 14:26:17
26,10,699,41.1,69.90,4.11,2026-04-30 14:26:28
27,10,686,40.4,68.60,4.04,2026-04-30 14:26:38
28,10,684,40.4,68.40,4.04,2026-04-30 14:26:48
29,10,678,40.0,67.80,4.00,2026-04-30 14:26:58
30,10,671,39.6,67.10,3.96,2026-04-30 14:27:08
31,10,668,39.2,66.80,3.92,2026-04-30 14:27:18
32,10,674,40.2,67.40,4.02,2026-04-30 14:27:28
33,10,687,40.9,68.70,4.09,2026-04-30 14:27:39
34,10,680,40.4,68.00,4.04,2026-04-30 14:27:49
35,10,688,40.7,68.80,4.07,2026-04-30 14:28:00
36,10,672,39.6,67.20,3.96,2026-04-30 14:28:10
37,10,690,41.2,69.00,4.12,2026-04-30 14:28:20
38,10,689,40.8,68.90,4.08,2026-04-30 14:28:30
39,10,666,39.3,66.60,3.93,2026-04-30 14:28:40
40,10,654,39.2,65.40,3.92,2026-04-30 14:28:50
41,10,712,42.1,71.20,4.21,2026-04-30 14:29:00
42,10,667,39.4,66.70,3.94,2026-04-30 14:29:10
43,10,687,40.8,68.70,4.08,2026-04-30 14:29:21
44,10,673,40.0,67.30,4.00,2026-04-30 14:29:31
45,10,686,40.8,68.60,4.08,2026-04-30 14:29:41
46,10,688,40.5,68.80,4.05,2026-04-30 14:29:51
47,10,679,39.9,67.90,3.99,2026-04-30 14:30:01
48,10,676,39.9,67.60,3.99,2026-04-30 14:30:11
49,10,689,40.6,68.90,4.06,2026-04-30 14:30:21
50,10,696,40.9,69.60,4.09,2026-04-30 14:30:31

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
678.48,40.1,67.85,4.01
