loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp
1,10,82,5.6,8.20,0.56,2026-05-04 16:49:09
2,10,131,8.7,13.10,0.87,2026-05-04 16:49:20
3,10,137,9.1,13.70,0.91,2026-05-04 16:49:30
4,10,203,13.5,20.30,1.35,2026-05-04 16:49:41
5,10,72,4.8,7.20,0.48,2026-05-04 16:49:51
6,10,146,9.7,14.60,0.97,2026-05-04 16:50:02
7,10,89,5.9,8.90,0.59,2026-05-04 16:50:12
8,10,96,6.4,9.60,0.64,2026-05-04 16:50:22
9,10,317,21.1,31.70,2.11,2026-05-04 16:50:32
10,10,41,2.7,4.10,0.27,2026-05-04 16:50:43
11,10,133,8.9,13.30,0.89,2026-05-04 16:50:53
12,10,65,4.4,6.50,0.44,2026-05-04 16:51:04
13,10,124,8.4,12.40,0.84,2026-05-04 16:51:15
14,10,116,7.8,11.60,0.78,2026-05-04 16:51:25
15,10,177,12.0,17.70,1.20,2026-05-04 16:51:35
16,10,100,6.8,10.00,0.68,2026-05-04 16:51:46
17,10,136,9.2,13.60,0.92,2026-05-04 16:51:56
18,10,242,16.4,24.20,1.64,2026-05-04 16:52:06
19,10,123,8.3,12.30,0.83,2026-05-04 16:52:17
20,10,128,8.6,12.80,0.86,2026-05-04 16:52:27
21,10,174,11.8,17.40,1.18,2026-05-04 16:52:37
22,10,160,10.8,16.00,1.08,2026-05-04 16:52:48
23,10,179,12.1,17.90,1.21,2026-05-04 16:52:58
24,10,239,16.1,23.90,1.61,2026-05-04 16:53:08
25,10,296,20.0,29.60,2.00,2026-05-04 16:53:19
26,10,197,13.3,19.70,1.33,2026-05-04 16:53:29
27,10,132,8.9,13.20,0.89,2026-05-04 16:53:39
28,10,95,6.4,9.50,0.64,2026-05-04 16:53:50
29,10,259,17.5,25.90,1.75,2026-05-04 16:54:00
30,10,83,5.6,8.30,0.56,2026-05-04 16:54:10
31,10,220,14.9,22.00,1.49,2026-05-04 16:54:21
32,10,110,7.4,11.00,0.74,2026-05-04 16:54:31
33,10,112,7.6,11.20,0.76,2026-05-04 16:54:42
34,10,107,7.2,10.70,0.72,2026-05-04 16:54:52
35,10,123,8.3,12.30,0.83,2026-05-04 16:55:02
36,10,212,14.3,21.20,1.43,2026-05-04 16:55:13
37,10,117,7.9,11.70,0.79,2026-05-04 16:55:23
38,10,176,11.9,17.60,1.19,2026-05-04 16:55:33
39,10,73,4.9,7.30,0.49,2026-05-04 16:55:44
40,10,75,5.0,7.50,0.50,2026-05-04 16:55:54
41,10,193,12.9,19.30,1.29,2026-05-04 16:56:04
42,10,189,12.6,18.90,1.26,2026-05-04 16:56:15
43,10,334,22.4,33.40,2.24,2026-05-04 16:56:25
44,10,344,23.1,34.40,2.31,2026-05-04 16:56:36
45,10,219,14.7,21.90,1.47,2026-05-04 16:56:46
46,10,336,22.1,33.60,2.21,2026-05-04 16:56:57
47,10,183,12.2,18.30,1.22,2026-05-04 16:57:07
48,10,113,7.5,11.30,0.75,2026-05-04 16:57:18
49,10,260,17.1,26.00,1.71,2026-05-04 16:57:28
50,10,301,20.0,30.10,2.00,2026-05-04 16:57:38

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
165.38,11.1,16.54,1.11
