loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp
1,10,484,28.0,48.40,2.80,2026-05-04 17:39:47
2,10,297,17.2,29.70,1.72,2026-05-04 17:39:57
3,10,282,16.3,28.20,1.63,2026-05-04 17:40:08
4,10,161,9.3,16.10,0.93,2026-05-04 17:40:19
5,10,268,15.5,26.80,1.55,2026-05-04 17:40:29
6,10,109,6.3,10.90,0.63,2026-05-04 17:40:40
7,10,495,28.6,49.50,2.86,2026-05-04 17:40:51
8,10,282,16.3,28.20,1.63,2026-05-04 17:41:01
9,10,206,11.9,20.60,1.19,2026-05-04 17:41:11
10,10,430,24.8,43.00,2.48,2026-05-04 17:41:22
11,10,408,23.6,40.80,2.36,2026-05-04 17:41:32
12,10,345,20.0,34.50,2.00,2026-05-04 17:41:43
13,10,379,22.0,37.90,2.20,2026-05-04 17:41:53
14,10,388,22.5,38.80,2.25,2026-05-04 17:42:04
15,10,355,20.6,35.50,2.06,2026-05-04 17:42:14
16,10,471,27.3,47.10,2.73,2026-05-04 17:42:25
17,10,460,26.6,46.00,2.66,2026-05-04 17:42:35
18,10,479,27.7,47.90,2.77,2026-05-04 17:42:45
19,10,372,21.5,37.20,2.15,2026-05-04 17:42:56
20,10,566,32.8,56.60,3.28,2026-05-04 17:43:06
21,10,371,21.5,37.10,2.15,2026-05-04 17:43:17
22,10,370,21.4,37.00,2.14,2026-05-04 17:43:27
23,10,465,27.0,46.50,2.70,2026-05-04 17:43:38
24,10,464,26.9,46.40,2.69,2026-05-04 17:43:48
25,10,404,23.4,40.40,2.34,2026-05-04 17:43:59
26,10,400,23.2,40.00,2.32,2026-05-04 17:44:09
27,10,402,23.3,40.20,2.33,2026-05-04 17:44:19
28,10,372,21.5,37.20,2.15,2026-05-04 17:44:30
29,10,468,27.1,46.80,2.71,2026-05-04 17:44:40
30,10,526,30.5,52.60,3.05,2026-05-04 17:44:50
31,10,374,21.7,37.40,2.17,2026-05-04 17:45:01
32,10,532,30.8,53.20,3.08,2026-05-04 17:45:11
33,10,470,27.2,47.00,2.72,2026-05-04 17:45:21
34,10,464,26.9,46.40,2.69,2026-05-04 17:45:31
35,10,466,27.0,46.60,2.70,2026-05-04 17:45:42
36,10,433,25.1,43.30,2.51,2026-05-04 17:45:52
37,10,440,25.5,44.00,2.55,2026-05-04 17:46:03
38,10,426,24.7,42.60,2.47,2026-05-04 17:46:13
39,10,364,21.1,36.40,2.11,2026-05-04 17:46:24
40,10,419,24.3,41.90,2.43,2026-05-04 17:46:34
41,10,471,27.3,47.10,2.73,2026-05-04 17:46:45
42,10,428,24.8,42.80,2.48,2026-05-04 17:46:55
43,10,467,27.0,46.70,2.70,2026-05-04 17:47:05
44,10,489,28.3,48.90,2.83,2026-05-04 17:47:16
45,10,384,22.2,38.40,2.22,2026-05-04 17:47:26
46,10,334,19.3,33.40,1.93,2026-05-04 17:47:37
47,10,459,26.6,45.90,2.66,2026-05-04 17:47:47
48,10,442,25.6,44.20,2.56,2026-05-04 17:47:58
49,10,413,23.9,41.30,2.39,2026-05-04 17:48:08
50,10,398,23.0,39.80,2.30,2026-05-04 17:48:19

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
403.04,23.3,40.30,2.33
