loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp
1,10,128,7.8,12.80,0.78,2026-05-05 13:06:43
2,10,24,1.5,2.40,0.15,2026-05-05 13:06:54
3,10,52,3.2,5.20,0.32,2026-05-05 13:07:05
4,10,56,3.4,5.60,0.34,2026-05-05 13:07:15
5,10,49,3.0,4.90,0.30,2026-05-05 13:07:26
6,10,30,1.8,3.00,0.18,2026-05-05 13:07:37
7,10,24,1.5,2.40,0.15,2026-05-05 13:07:49
8,10,11,0.7,1.10,0.07,2026-05-05 13:08:02
9,10,25,1.5,2.50,0.15,2026-05-05 13:08:18
10,10,25,1.5,2.50,0.15,2026-05-05 13:08:31
11,10,37,2.2,3.70,0.22,2026-05-05 13:08:43
12,10,52,3.1,5.20,0.31,2026-05-05 13:08:55
13,10,56,3.4,5.60,0.34,2026-05-05 13:09:08
14,10,62,3.7,6.20,0.37,2026-05-05 13:09:21
15,10,41,2.4,4.10,0.24,2026-05-05 13:09:32
16,10,46,2.7,4.60,0.27,2026-05-05 13:09:43
17,10,21,1.2,2.10,0.12,2026-05-05 13:09:53
18,10,54,3.2,5.40,0.32,2026-05-05 13:10:04
19,10,42,2.5,4.20,0.25,2026-05-05 13:10:14
20,10,45,2.7,4.50,0.27,2026-05-05 13:10:25
21,10,45,2.7,4.50,0.27,2026-05-05 13:10:35
22,10,39,2.3,3.90,0.23,2026-05-05 13:10:45
23,10,51,3.0,5.10,0.30,2026-05-05 13:10:56
24,10,78,4.6,7.80,0.46,2026-05-05 13:11:07
25,10,30,1.8,3.00,0.18,2026-05-05 13:11:17
26,10,22,1.3,2.20,0.13,2026-05-05 13:11:27
27,10,17,1.0,1.70,0.10,2026-05-05 13:11:39
28,10,24,1.4,2.40,0.14,2026-05-05 13:11:51
29,10,31,1.8,3.10,0.18,2026-05-05 13:12:02
30,10,23,1.4,2.30,0.14,2026-05-05 13:12:12
31,10,15,0.9,1.50,0.09,2026-05-05 13:12:23
32,10,24,1.4,2.40,0.14,2026-05-05 13:12:36
33,10,23,1.4,2.30,0.14,2026-05-05 13:12:48
34,10,37,2.2,3.70,0.22,2026-05-05 13:13:01
35,10,37,2.2,3.70,0.22,2026-05-05 13:13:12
36,10,29,1.7,2.90,0.17,2026-05-05 13:13:24
37,10,38,2.3,3.80,0.23,2026-05-05 13:13:34
38,10,64,3.8,6.40,0.38,2026-05-05 13:13:45
39,10,26,1.5,2.60,0.15,2026-05-05 13:13:55
40,10,21,1.3,2.10,0.13,2026-05-05 13:14:06
41,10,40,2.4,4.00,0.24,2026-05-05 13:14:17
42,10,17,1.0,1.70,0.10,2026-05-05 13:14:29
43,10,33,2.0,3.30,0.20,2026-05-05 13:14:42
44,10,57,3.4,5.70,0.34,2026-05-05 13:14:54
45,10,220,13.2,22.00,1.32,2026-05-05 13:15:05
46,10,138,8.3,13.80,0.83,2026-05-05 13:15:17
47,10,475,28.7,47.50,2.87,2026-05-05 13:15:28
48,10,622,37.6,62.20,3.76,2026-05-05 13:15:38
49,10,616,37.2,61.60,3.72,2026-05-05 13:15:48
50,10,624,37.7,62.40,3.77,2026-05-05 13:15:58

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
87.92,5.3,8.79,0.53
