loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp
1,10,271,19.1,27.10,1.91,2026-05-04 16:24:26
2,10,329,22.5,32.90,2.25,2026-05-04 16:24:36
3,10,295,20.2,29.50,2.02,2026-05-04 16:24:46
4,10,285,19.4,28.50,1.94,2026-05-04 16:24:57
5,10,228,15.5,22.80,1.55,2026-05-04 16:25:07
6,10,285,19.4,28.50,1.94,2026-05-04 16:25:17
7,10,197,13.4,19.70,1.34,2026-05-04 16:25:28
8,10,277,18.9,27.70,1.89,2026-05-04 16:25:38
9,10,137,9.3,13.70,0.93,2026-05-04 16:25:48
10,10,219,14.9,21.90,1.49,2026-05-04 16:25:59
11,10,171,11.6,17.10,1.16,2026-05-04 16:26:09
12,10,335,22.6,33.50,2.26,2026-05-04 16:26:19
13,10,152,10.2,15.20,1.02,2026-05-04 16:26:29
14,10,189,12.8,18.90,1.28,2026-05-04 16:26:40
15,10,236,16.0,23.60,1.60,2026-05-04 16:26:50
16,10,216,14.6,21.60,1.46,2026-05-04 16:27:00
17,10,321,21.6,32.10,2.16,2026-05-04 16:27:10
18,10,301,20.3,30.10,2.03,2026-05-04 16:27:21
19,10,328,22.1,32.80,2.21,2026-05-04 16:27:31
20,10,263,17.7,26.30,1.77,2026-05-04 16:27:42
21,10,425,28.5,42.50,2.85,2026-05-04 16:27:52
22,10,358,24.0,35.80,2.40,2026-05-04 16:28:02
23,10,85,5.7,8.50,0.57,2026-05-04 16:28:13
24,10,294,19.6,29.40,1.96,2026-05-04 16:28:23
25,10,300,19.9,30.00,1.99,2026-05-04 16:28:33
26,10,294,19.5,29.40,1.95,2026-05-04 16:28:43
27,10,203,13.4,20.30,1.34,2026-05-04 16:28:54
28,10,338,22.3,33.80,2.23,2026-05-04 16:29:04
29,10,272,17.9,27.20,1.79,2026-05-04 16:29:14
30,10,283,18.5,28.30,1.85,2026-05-04 16:29:25
31,10,231,15.1,23.10,1.51,2026-05-04 16:29:35
32,10,243,15.9,24.30,1.59,2026-05-04 16:29:45
33,10,243,15.9,24.30,1.59,2026-05-04 16:29:56
34,10,275,18.0,27.50,1.80,2026-05-04 16:30:06
35,10,388,25.3,38.80,2.53,2026-05-04 16:30:16
36,10,301,19.6,30.10,1.96,2026-05-04 16:30:26
37,10,384,25.0,38.40,2.50,2026-05-04 16:30:37
38,10,153,9.9,15.30,0.99,2026-05-04 16:30:47
39,10,256,16.6,25.60,1.66,2026-05-04 16:30:58
40,10,317,20.5,31.70,2.05,2026-05-04 16:31:08
41,10,306,19.8,30.60,1.98,2026-05-04 16:31:18
42,10,285,18.4,28.50,1.84,2026-05-04 16:31:28
43,10,242,15.5,24.20,1.55,2026-05-04 16:31:39
44,10,313,20.1,31.30,2.01,2026-05-04 16:31:49
45,10,190,12.2,19.00,1.22,2026-05-04 16:31:59
46,10,381,24.7,38.10,2.47,2026-05-04 16:32:10
47,10,255,16.5,25.50,1.65,2026-05-04 16:32:20
48,10,177,11.5,17.70,1.15,2026-05-04 16:32:30
49,10,405,26.3,40.50,2.63,2026-05-04 16:32:41
50,10,212,13.7,21.20,1.37,2026-05-04 16:32:51

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
268.88,17.8,26.89,1.78
