loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp
1,10,150,10.3,15.00,1.03,2026-05-04 16:49:09
2,10,89,5.9,8.90,0.59,2026-05-04 16:49:20
3,10,108,7.2,10.80,0.72,2026-05-04 16:49:30
4,10,77,5.1,7.70,0.51,2026-05-04 16:49:41
5,10,84,5.6,8.40,0.56,2026-05-04 16:49:51
6,10,74,4.9,7.40,0.49,2026-05-04 16:50:02
7,10,100,6.6,10.00,0.66,2026-05-04 16:50:12
8,10,95,6.3,9.50,0.63,2026-05-04 16:50:22
9,10,41,2.7,4.10,0.27,2026-05-04 16:50:33
10,10,119,8.0,11.90,0.80,2026-05-04 16:50:43
11,10,115,7.7,11.50,0.77,2026-05-04 16:50:53
12,10,122,8.2,12.20,0.82,2026-05-04 16:51:04
13,10,70,4.7,7.00,0.47,2026-05-04 16:51:15
14,10,128,8.6,12.80,0.86,2026-05-04 16:51:25
15,10,105,7.1,10.50,0.71,2026-05-04 16:51:35
16,10,56,3.8,5.60,0.38,2026-05-04 16:51:46
17,10,129,8.7,12.90,0.87,2026-05-04 16:51:56
18,10,63,4.3,6.30,0.43,2026-05-04 16:52:06
19,10,76,5.1,7.60,0.51,2026-05-04 16:52:17
20,10,66,4.4,6.60,0.44,2026-05-04 16:52:27
21,10,75,5.1,7.50,0.51,2026-05-04 16:52:37
22,10,64,4.3,6.40,0.43,2026-05-04 16:52:48
23,10,106,7.2,10.60,0.72,2026-05-04 16:52:58
24,10,44,3.0,4.40,0.30,2026-05-04 16:53:08
25,10,36,2.4,3.60,0.24,2026-05-04 16:53:19
26,10,72,4.9,7.20,0.49,2026-05-04 16:53:29
27,10,65,4.4,6.50,0.44,2026-05-04 16:53:39
28,10,63,4.2,6.30,0.42,2026-05-04 16:53:50
29,10,70,4.7,7.00,0.47,2026-05-04 16:54:00
30,10,120,8.1,12.00,0.81,2026-05-04 16:54:11
31,10,48,3.2,4.80,0.32,2026-05-04 16:54:21
32,10,99,6.7,9.90,0.67,2026-05-04 16:54:31
33,10,57,3.9,5.70,0.39,2026-05-04 16:54:42
34,10,68,4.6,6.80,0.46,2026-05-04 16:54:52
35,10,84,5.7,8.40,0.57,2026-05-04 16:55:02
36,10,43,2.9,4.30,0.29,2026-05-04 16:55:13
37,10,75,5.1,7.50,0.51,2026-05-04 16:55:23
38,10,97,6.6,9.70,0.66,2026-05-04 16:55:34
39,10,130,8.8,13.00,0.88,2026-05-04 16:55:44
40,10,88,5.9,8.80,0.59,2026-05-04 16:55:54
41,10,64,4.3,6.40,0.43,2026-05-04 16:56:04
42,10,48,3.2,4.80,0.32,2026-05-04 16:56:15
43,10,72,4.8,7.20,0.48,2026-05-04 16:56:25
44,10,42,2.8,4.20,0.28,2026-05-04 16:56:36
45,10,42,2.8,4.20,0.28,2026-05-04 16:56:47
46,10,57,3.8,5.70,0.38,2026-05-04 16:56:57
47,10,51,3.4,5.10,0.34,2026-05-04 16:57:07
48,10,95,6.3,9.50,0.63,2026-05-04 16:57:18
49,10,51,3.4,5.10,0.34,2026-05-04 16:57:28
50,10,41,2.7,4.10,0.27,2026-05-04 16:57:38

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
78.68,5.3,7.87,0.53
