loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp
1,10,59,3.0,5.90,0.30,2026-05-04 17:39:48
2,10,236,12.2,23.60,1.22,2026-05-04 17:39:58
3,10,282,14.6,28.20,1.46,2026-05-04 17:40:08
4,10,159,8.2,15.90,0.82,2026-05-04 17:40:19
5,10,152,7.8,15.20,0.78,2026-05-04 17:40:30
6,10,278,14.4,27.80,1.44,2026-05-04 17:40:40
7,10,63,3.3,6.30,0.33,2026-05-04 17:40:51
8,10,233,12.0,23.30,1.20,2026-05-04 17:41:01
9,10,251,12.9,25.10,1.29,2026-05-04 17:41:11
10,10,108,5.6,10.80,0.56,2026-05-04 17:41:22
11,10,76,3.9,7.60,0.39,2026-05-04 17:41:32
12,10,121,6.2,12.10,0.62,2026-05-04 17:41:43
13,10,118,6.1,11.80,0.61,2026-05-04 17:41:53
14,10,80,4.1,8.00,0.41,2026-05-04 17:42:04
15,10,90,4.6,9.00,0.46,2026-05-04 17:42:14
16,10,66,3.4,6.60,0.34,2026-05-04 17:42:26
17,10,115,5.9,11.50,0.59,2026-05-04 17:42:36
18,10,66,3.4,6.60,0.34,2026-05-04 17:42:47
19,10,84,4.3,8.40,0.43,2026-05-04 17:42:58
20,10,47,2.4,4.70,0.24,2026-05-04 17:43:09
21,10,84,4.3,8.40,0.43,2026-05-04 17:43:20
22,10,98,5.1,9.80,0.51,2026-05-04 17:43:31
23,10,61,3.1,6.10,0.31,2026-05-04 17:43:42
24,10,74,3.8,7.40,0.38,2026-05-04 17:43:53
25,10,107,5.5,10.70,0.55,2026-05-04 17:44:03
26,10,85,4.4,8.50,0.44,2026-05-04 17:44:14
27,10,87,4.5,8.70,0.45,2026-05-04 17:44:26
28,10,71,3.7,7.10,0.37,2026-05-04 17:44:38
29,10,43,2.2,4.30,0.22,2026-05-04 17:44:48
30,10,90,4.6,9.00,0.46,2026-05-04 17:44:59
31,10,48,2.5,4.80,0.25,2026-05-04 17:45:11
32,10,61,3.1,6.10,0.31,2026-05-04 17:45:21
33,10,101,5.2,10.10,0.52,2026-05-04 17:45:32
34,10,63,3.2,6.30,0.32,2026-05-04 17:45:43
35,10,75,3.9,7.50,0.39,2026-05-04 17:45:53
36,10,71,3.7,7.10,0.37,2026-05-04 17:46:04
37,10,80,4.1,8.00,0.41,2026-05-04 17:46:15
38,10,121,6.2,12.10,0.62,2026-05-04 17:46:26
39,10,67,3.4,6.70,0.34,2026-05-04 17:46:36
40,10,115,5.9,11.50,0.59,2026-05-04 17:46:47
41,10,60,3.1,6.00,0.31,2026-05-04 17:46:58
42,10,67,3.4,6.70,0.34,2026-05-04 17:47:10
43,10,73,3.8,7.30,0.38,2026-05-04 17:47:20
44,10,146,7.5,14.60,0.75,2026-05-04 17:47:31
45,10,77,4.0,7.70,0.40,2026-05-04 17:47:42
46,10,68,3.5,6.80,0.35,2026-05-04 17:47:54
47,10,77,4.0,7.70,0.40,2026-05-04 17:48:04
48,10,91,4.7,9.10,0.47,2026-05-04 17:48:17
49,10,489,25.2,48.90,2.52,2026-05-04 17:48:28
50,10,477,24.6,47.70,2.46,2026-05-04 17:48:38

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
118.22,6.1,11.82,0.61
