loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp
1,10,98,5.3,9.80,0.53,2026-05-05 13:06:43
2,10,123,6.8,12.30,0.68,2026-05-05 13:06:54
3,10,160,8.9,16.00,0.89,2026-05-05 13:07:04
4,10,118,6.6,11.80,0.66,2026-05-05 13:07:15
5,10,164,9.1,16.40,0.91,2026-05-05 13:07:26
6,10,263,14.7,26.30,1.47,2026-05-05 13:07:36
7,10,198,11.0,19.80,1.10,2026-05-05 13:07:46
8,10,198,11.0,19.80,1.10,2026-05-05 13:07:57
9,10,118,6.6,11.80,0.66,2026-05-05 13:08:07
10,10,179,10.0,17.90,1.00,2026-05-05 13:08:18
11,10,148,8.3,14.80,0.83,2026-05-05 13:08:29
12,10,156,8.7,15.60,0.87,2026-05-05 13:08:39
13,10,179,10.0,17.90,1.00,2026-05-05 13:08:50
14,10,110,6.1,11.00,0.61,2026-05-05 13:09:00
15,10,130,7.3,13.00,0.73,2026-05-05 13:09:11
16,10,144,8.0,14.40,0.80,2026-05-05 13:09:21
17,10,154,8.6,15.40,0.86,2026-05-05 13:09:32
18,10,151,8.4,15.10,0.84,2026-05-05 13:09:42
19,10,165,9.2,16.50,0.92,2026-05-05 13:09:53
20,10,74,4.1,7.40,0.41,2026-05-05 13:10:04
21,10,171,9.5,17.10,0.95,2026-05-05 13:10:14
22,10,103,5.7,10.30,0.57,2026-05-05 13:10:24
23,10,110,6.1,11.00,0.61,2026-05-05 13:10:35
24,10,130,7.3,13.00,0.73,2026-05-05 13:10:45
25,10,117,6.5,11.70,0.65,2026-05-05 13:10:56
26,10,89,5.0,8.90,0.50,2026-05-05 13:11:06
27,10,101,5.6,10.10,0.56,2026-05-05 13:11:17
28,10,171,9.5,17.10,0.95,2026-05-05 13:11:27
29,10,114,6.4,11.40,0.64,2026-05-05 13:11:38
30,10,124,6.9,12.40,0.69,2026-05-05 13:11:49
31,10,154,8.6,15.40,0.86,2026-05-05 13:11:59
32,10,95,5.3,9.50,0.53,2026-05-05 13:12:10
33,10,107,6.0,10.70,0.60,2026-05-05 13:12:20
34,10,127,7.1,12.70,0.71,2026-05-05 13:12:31
35,10,136,7.6,13.60,0.76,2026-05-05 13:12:41
36,10,205,11.4,20.50,1.14,2026-05-05 13:12:52
37,10,226,12.6,22.60,1.26,2026-05-05 13:13:02
38,10,162,9.0,16.20,0.90,2026-05-05 13:13:12
39,10,126,7.0,12.60,0.70,2026-05-05 13:13:23
40,10,76,4.2,7.60,0.42,2026-05-05 13:13:34
41,10,108,6.0,10.80,0.60,2026-05-05 13:13:45
42,10,161,9.0,16.10,0.90,2026-05-05 13:13:55
43,10,105,5.9,10.50,0.59,2026-05-05 13:14:05
44,10,113,6.3,11.30,0.63,2026-05-05 13:14:16
45,10,130,7.3,13.00,0.73,2026-05-05 13:14:26
46,10,136,7.6,13.60,0.76,2026-05-05 13:14:37
47,10,128,7.1,12.80,0.71,2026-05-05 13:14:47
48,10,87,4.9,8.70,0.49,2026-05-05 13:14:58
49,10,89,5.0,8.90,0.50,2026-05-05 13:15:09
50,10,86,4.8,8.60,0.48,2026-05-05 13:15:20

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
136.34,7.6,13.63,0.76
