loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp
1,10,111,7.8,11.10,0.78,2026-05-04 16:24:26
2,10,77,5.3,7.70,0.53,2026-05-04 16:24:36
3,10,103,7.1,10.30,0.71,2026-05-04 16:24:46
4,10,153,10.4,15.30,1.04,2026-05-04 16:24:57
5,10,133,9.1,13.30,0.91,2026-05-04 16:25:07
6,10,221,15.1,22.10,1.51,2026-05-04 16:25:17
7,10,176,12.0,17.60,1.20,2026-05-04 16:25:28
8,10,142,9.7,14.20,0.97,2026-05-04 16:25:38
9,10,249,16.9,24.90,1.69,2026-05-04 16:25:48
10,10,134,9.1,13.40,0.91,2026-05-04 16:25:59
11,10,285,19.4,28.50,1.94,2026-05-04 16:26:09
12,10,104,7.0,10.40,0.70,2026-05-04 16:26:19
13,10,207,13.9,20.70,1.39,2026-05-04 16:26:30
14,10,273,18.5,27.30,1.85,2026-05-04 16:26:40
15,10,234,15.9,23.40,1.59,2026-05-04 16:26:50
16,10,266,17.9,26.60,1.79,2026-05-04 16:27:00
17,10,94,6.3,9.40,0.63,2026-05-04 16:27:11
18,10,125,8.4,12.50,0.84,2026-05-04 16:27:21
19,10,76,5.1,7.60,0.51,2026-05-04 16:27:31
20,10,109,7.3,10.90,0.73,2026-05-04 16:27:42
21,10,96,6.4,9.60,0.64,2026-05-04 16:27:52
22,10,70,4.7,7.00,0.47,2026-05-04 16:28:02
23,10,296,19.8,29.60,1.98,2026-05-04 16:28:13
24,10,159,10.6,15.90,1.06,2026-05-04 16:28:23
25,10,104,6.9,10.40,0.69,2026-05-04 16:28:33
26,10,190,12.6,19.00,1.26,2026-05-04 16:28:44
27,10,207,13.7,20.70,1.37,2026-05-04 16:28:54
28,10,74,4.9,7.40,0.49,2026-05-04 16:29:04
29,10,126,8.3,12.60,0.83,2026-05-04 16:29:14
30,10,95,6.2,9.50,0.62,2026-05-04 16:29:25
31,10,119,7.8,11.90,0.78,2026-05-04 16:29:35
32,10,194,12.7,19.40,1.27,2026-05-04 16:29:45
33,10,200,13.1,20.00,1.31,2026-05-04 16:29:55
34,10,167,10.9,16.70,1.09,2026-05-04 16:30:06
35,10,56,3.7,5.60,0.37,2026-05-04 16:30:16
36,10,94,6.1,9.40,0.61,2026-05-04 16:30:27
37,10,52,3.4,5.20,0.34,2026-05-04 16:30:37
38,10,269,17.4,26.90,1.74,2026-05-04 16:30:47
39,10,107,6.9,10.70,0.69,2026-05-04 16:30:58
40,10,84,5.4,8.40,0.54,2026-05-04 16:31:08
41,10,96,6.2,9.60,0.62,2026-05-04 16:31:18
42,10,123,7.9,12.30,0.79,2026-05-04 16:31:28
43,10,129,8.3,12.90,0.83,2026-05-04 16:31:39
44,10,112,7.2,11.20,0.72,2026-05-04 16:31:49
45,10,219,14.1,21.90,1.41,2026-05-04 16:31:59
46,10,164,10.6,16.40,1.06,2026-05-04 16:32:10
47,10,151,9.8,15.10,0.98,2026-05-04 16:32:20
48,10,292,18.9,29.20,1.89,2026-05-04 16:32:30
49,10,52,3.4,5.20,0.34,2026-05-04 16:32:41
50,10,192,12.4,19.20,1.24,2026-05-04 16:32:51

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
151.22,10.1,15.12,1.01
