loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp
1,10,184,12.6,18.40,1.26,2026-05-04 16:49:09
2,10,111,7.4,11.10,0.74,2026-05-04 16:49:19
3,10,94,6.3,9.40,0.63,2026-05-04 16:49:30
4,10,96,6.4,9.60,0.64,2026-05-04 16:49:41
5,10,212,14.1,21.20,1.41,2026-05-04 16:49:51
6,10,146,9.7,14.60,0.97,2026-05-04 16:50:02
7,10,265,17.6,26.50,1.76,2026-05-04 16:50:12
8,10,275,18.3,27.50,1.83,2026-05-04 16:50:22
9,10,113,7.5,11.30,0.75,2026-05-04 16:50:33
10,10,173,11.6,17.30,1.16,2026-05-04 16:50:43
11,10,128,8.6,12.80,0.86,2026-05-04 16:50:54
12,10,154,10.4,15.40,1.04,2026-05-04 16:51:04
13,10,187,12.6,18.70,1.26,2026-05-04 16:51:15
14,10,114,7.7,11.40,0.77,2026-05-04 16:51:25
15,10,77,5.2,7.70,0.52,2026-05-04 16:51:35
16,10,253,17.1,25.30,1.71,2026-05-04 16:51:46
17,10,138,9.3,13.80,0.93,2026-05-04 16:51:56
18,10,114,7.7,11.40,0.77,2026-05-04 16:52:06
19,10,168,11.4,16.80,1.14,2026-05-04 16:52:17
20,10,216,14.6,21.60,1.46,2026-05-04 16:52:27
21,10,109,7.4,10.90,0.74,2026-05-04 16:52:37
22,10,188,12.7,18.80,1.27,2026-05-04 16:52:48
23,10,82,5.5,8.20,0.55,2026-05-04 16:52:58
24,10,161,10.9,16.10,1.09,2026-05-04 16:53:08
25,10,130,8.8,13.00,0.88,2026-05-04 16:53:19
26,10,91,6.1,9.10,0.61,2026-05-04 16:53:29
27,10,207,14.0,20.70,1.40,2026-05-04 16:53:39
28,10,236,15.9,23.60,1.59,2026-05-04 16:53:50
29,10,71,4.8,7.10,0.48,2026-05-04 16:54:00
30,10,149,10.1,14.90,1.01,2026-05-04 16:54:10
31,10,164,11.1,16.40,1.11,2026-05-04 16:54:21
32,10,107,7.2,10.70,0.72,2026-05-04 16:54:31
33,10,232,15.6,23.20,1.56,2026-05-04 16:54:42
34,10,230,15.5,23.00,1.55,2026-05-04 16:54:52
35,10,161,10.9,16.10,1.09,2026-05-04 16:55:02
36,10,202,13.7,20.20,1.37,2026-05-04 16:55:13
37,10,171,11.5,17.10,1.15,2026-05-04 16:55:23
38,10,100,6.8,10.00,0.68,2026-05-04 16:55:33
39,10,156,10.5,15.60,1.05,2026-05-04 16:55:44
40,10,148,9.9,14.80,0.99,2026-05-04 16:55:54
41,10,132,8.8,13.20,0.88,2026-05-04 16:56:04
42,10,243,16.2,24.30,1.62,2026-05-04 16:56:15
43,10,126,8.5,12.60,0.85,2026-05-04 16:56:25
44,10,81,5.4,8.10,0.54,2026-05-04 16:56:36
45,10,209,14.0,20.90,1.40,2026-05-04 16:56:46
46,10,85,5.6,8.50,0.56,2026-05-04 16:56:57
47,10,214,14.2,21.40,1.42,2026-05-04 16:57:07
48,10,127,8.4,12.70,0.84,2026-05-04 16:57:18
49,10,135,8.9,13.50,0.89,2026-05-04 16:57:28
50,10,121,8.0,12.10,0.80,2026-05-04 16:57:39

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
155.72,10.5,15.57,1.05
