loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp
1,10,242,15.4,24.20,1.54,2026-05-05 13:06:43
2,10,283,18.5,28.30,1.85,2026-05-05 13:06:54
3,10,144,9.5,14.40,0.95,2026-05-05 13:07:05
4,10,256,16.8,25.60,1.68,2026-05-05 13:07:15
5,10,165,10.8,16.50,1.08,2026-05-05 13:07:26
6,10,149,9.8,14.90,0.98,2026-05-05 13:07:36
7,10,183,12.0,18.30,1.20,2026-05-05 13:07:47
8,10,201,13.2,20.10,1.32,2026-05-05 13:07:57
9,10,252,16.6,25.20,1.66,2026-05-05 13:08:08
10,10,166,10.9,16.60,1.09,2026-05-05 13:08:18
11,10,176,11.6,17.60,1.16,2026-05-05 13:08:29
12,10,193,12.7,19.30,1.27,2026-05-05 13:08:39
13,10,170,11.2,17.00,1.12,2026-05-05 13:08:50
14,10,248,16.3,24.80,1.63,2026-05-05 13:09:00
15,10,185,12.2,18.50,1.22,2026-05-05 13:09:11
16,10,195,12.8,19.50,1.28,2026-05-05 13:09:21
17,10,198,13.0,19.80,1.30,2026-05-05 13:09:32
18,10,176,11.5,17.60,1.15,2026-05-05 13:09:43
19,10,139,9.1,13.90,0.91,2026-05-05 13:09:53
20,10,312,20.4,31.20,2.04,2026-05-05 13:10:04
21,10,208,13.6,20.80,1.36,2026-05-05 13:10:14
22,10,263,17.2,26.30,1.72,2026-05-05 13:10:24
23,10,200,13.0,20.00,1.30,2026-05-05 13:10:35
24,10,202,13.2,20.20,1.32,2026-05-05 13:10:45
25,10,202,13.1,20.20,1.31,2026-05-05 13:10:56
26,10,253,16.5,25.30,1.65,2026-05-05 13:11:06
27,10,248,16.1,24.80,1.61,2026-05-05 13:11:17
28,10,197,12.8,19.70,1.28,2026-05-05 13:11:27
29,10,278,18.1,27.80,1.81,2026-05-05 13:11:38
30,10,286,18.6,28.60,1.86,2026-05-05 13:11:49
31,10,210,13.7,21.00,1.37,2026-05-05 13:11:59
32,10,232,15.1,23.20,1.51,2026-05-05 13:12:10
33,10,283,18.4,28.30,1.84,2026-05-05 13:12:20
34,10,285,18.5,28.50,1.85,2026-05-05 13:12:31
35,10,229,14.9,22.90,1.49,2026-05-05 13:12:41
36,10,185,12.0,18.50,1.20,2026-05-05 13:12:52
37,10,115,7.5,11.50,0.75,2026-05-05 13:13:03
38,10,174,11.3,17.40,1.13,2026-05-05 13:13:13
39,10,215,14.0,21.50,1.40,2026-05-05 13:13:24
40,10,291,18.9,29.10,1.89,2026-05-05 13:13:34
41,10,255,16.6,25.50,1.66,2026-05-05 13:13:45
42,10,176,11.5,17.60,1.15,2026-05-05 13:13:55
43,10,245,15.9,24.50,1.59,2026-05-05 13:14:05
44,10,225,14.6,22.50,1.46,2026-05-05 13:14:16
45,10,203,13.2,20.30,1.32,2026-05-05 13:14:26
46,10,218,14.1,21.80,1.41,2026-05-05 13:14:37
47,10,250,16.2,25.00,1.62,2026-05-05 13:14:47
48,10,228,14.8,22.80,1.48,2026-05-05 13:14:58
49,10,135,8.8,13.50,0.88,2026-05-05 13:15:09
50,10,182,11.8,18.20,1.18,2026-05-05 13:15:20

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
214.12,14.0,21.41,1.40
