loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp
1,10,1750,104.9,175.00,10.49,2026-05-15 15:17:24
2,10,1769,106.4,176.90,10.64,2026-05-15 15:17:35
3,10,1770,106.4,177.00,10.64,2026-05-15 15:17:46
4,10,1767,106.3,176.70,10.63,2026-05-15 15:17:57
5,10,1767,105.9,176.70,10.59,2026-05-15 15:18:08
6,10,1773,105.4,177.30,10.54,2026-05-15 15:18:19
7,10,1760,104.0,176.00,10.40,2026-05-15 15:18:30
8,10,1774,104.1,177.40,10.41,2026-05-15 15:18:41
9,10,1773,104.3,177.30,10.43,2026-05-15 15:18:52
10,10,1754,103.4,175.40,10.34,2026-05-15 15:19:03
11,10,1775,104.1,177.50,10.41,2026-05-15 15:19:15
12,10,1682,98.6,168.20,9.86,2026-05-15 15:19:26
13,10,1766,104.0,176.60,10.40,2026-05-15 15:19:37
14,10,1768,104.3,176.80,10.43,2026-05-15 15:19:48
15,10,1765,104.6,176.50,10.46,2026-05-15 15:19:59
16,10,1760,104.3,176.00,10.43,2026-05-15 15:20:10
17,10,1768,104.9,176.80,10.49,2026-05-15 15:20:21
18,10,1770,105.1,177.00,10.51,2026-05-15 15:20:32
19,10,1769,105.1,176.90,10.51,2026-05-15 15:20:43
20,10,1768,105.4,176.80,10.54,2026-05-15 15:20:54
21,10,1768,105.5,176.80,10.55,2026-05-15 15:21:05
22,10,1774,106.0,177.40,10.60,2026-05-15 15:21:16
23,10,1765,105.4,176.50,10.54,2026-05-15 15:21:27
24,10,1760,105.2,176.00,10.52,2026-05-15 15:21:38
25,10,1756,104.9,175.60,10.49,2026-05-15 15:21:50
26,10,1719,102.8,171.90,10.28,2026-05-15 15:22:01
27,10,1773,106.0,177.30,10.60,2026-05-15 15:22:12
28,10,1760,105.1,176.00,10.51,2026-05-15 15:22:23
29,10,1765,105.9,176.50,10.59,2026-05-15 15:22:34
30,10,1772,106.3,177.20,10.63,2026-05-15 15:22:45
31,10,1770,106.2,177.00,10.62,2026-05-15 15:22:56
32,10,1722,103.3,172.20,10.33,2026-05-15 15:23:07
33,10,1769,106.2,176.90,10.62,2026-05-15 15:23:18
34,10,1765,106.0,176.50,10.60,2026-05-15 15:23:29
35,10,1768,106.2,176.80,10.62,2026-05-15 15:23:40
36,10,1769,106.4,176.90,10.64,2026-05-15 15:23:51
37,10,1773,106.6,177.30,10.66,2026-05-15 15:24:02
38,10,1676,100.8,167.60,10.08,2026-05-15 15:24:13
39,10,1765,106.0,176.50,10.60,2026-05-15 15:24:25
40,10,1771,106.3,177.10,10.63,2026-05-15 15:24:36
41,10,1770,106.3,177.00,10.63,2026-05-15 15:24:47
42,10,1760,105.7,176.00,10.57,2026-05-15 15:24:58
43,10,1765,106.1,176.50,10.61,2026-05-15 15:25:09
44,10,1776,106.7,177.60,10.67,2026-05-15 15:25:20
45,10,1728,103.8,172.80,10.38,2026-05-15 15:25:31
46,10,1766,106.1,176.60,10.61,2026-05-15 15:25:42
47,10,1645,99.0,164.50,9.90,2026-05-15 15:25:53
48,10,1767,106.4,176.70,10.64,2026-05-15 15:26:04
49,10,1768,106.5,176.80,10.65,2026-05-15 15:26:15
50,10,1760,106.0,176.00,10.60,2026-05-15 15:26:26

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
1758.26,105.0,175.83,10.50
