loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp
1,10,593,38.1,59.30,3.81,2026-05-15 16:58:14
2,10,589,38.0,58.90,3.80,2026-05-15 16:58:25
3,10,872,56.2,87.20,5.62,2026-05-15 16:58:36
4,10,821,52.9,82.10,5.29,2026-05-15 16:58:47
5,10,789,50.9,78.90,5.09,2026-05-15 16:58:58
6,10,843,54.4,84.30,5.44,2026-05-15 16:59:09
7,10,702,45.3,70.20,4.53,2026-05-15 16:59:21
8,10,1012,65.3,101.20,6.53,2026-05-15 16:59:32
9,10,377,24.3,37.70,2.43,2026-05-15 16:59:43
10,10,474,30.5,47.40,3.05,2026-05-15 16:59:54
11,10,363,22.7,36.30,2.27,2026-05-15 17:00:05
12,10,522,32.0,52.20,3.20,2026-05-15 17:00:16
13,10,429,26.3,42.90,2.63,2026-05-15 17:00:27
14,10,790,48.5,79.00,4.85,2026-05-15 17:00:38
15,10,405,24.8,40.50,2.48,2026-05-15 17:00:49
16,10,705,43.2,70.50,4.32,2026-05-15 17:01:00
17,10,422,25.9,42.20,2.59,2026-05-15 17:01:12
18,10,421,25.8,42.10,2.58,2026-05-15 17:01:23
19,10,893,54.8,89.30,5.48,2026-05-15 17:01:34
20,10,655,40.2,65.50,4.02,2026-05-15 17:01:45
21,10,516,31.6,51.60,3.16,2026-05-15 17:01:56
22,10,452,27.7,45.20,2.77,2026-05-15 17:02:07
23,10,812,49.8,81.20,4.98,2026-05-15 17:02:18
24,10,436,26.7,43.60,2.67,2026-05-15 17:02:29
25,10,417,25.5,41.70,2.55,2026-05-15 17:02:41
26,10,987,60.3,98.70,6.03,2026-05-15 17:02:52
27,10,787,48.1,78.70,4.81,2026-05-15 17:03:03
28,10,841,51.4,84.10,5.14,2026-05-15 17:03:14
29,10,532,32.5,53.20,3.25,2026-05-15 17:03:25
30,10,636,38.9,63.60,3.89,2026-05-15 17:03:36
31,10,452,27.6,45.20,2.76,2026-05-15 17:03:47
32,10,420,25.7,42.00,2.57,2026-05-15 17:03:58
33,10,652,39.9,65.20,3.99,2026-05-15 17:04:10
34,10,770,47.2,77.00,4.72,2026-05-15 17:04:21
35,10,664,40.7,66.40,4.07,2026-05-15 17:04:32
36,10,714,43.8,71.40,4.38,2026-05-15 17:04:43
37,10,444,27.2,44.40,2.72,2026-05-15 17:04:54
38,10,443,27.2,44.30,2.72,2026-05-15 17:05:05
39,10,331,20.3,33.10,2.03,2026-05-15 17:05:16
40,10,717,44.0,71.70,4.40,2026-05-15 17:05:27
41,10,327,20.0,32.70,2.00,2026-05-15 17:05:39
42,10,795,48.7,79.50,4.87,2026-05-15 17:05:50
43,10,769,47.1,76.90,4.71,2026-05-15 17:06:01
44,10,774,47.4,77.40,4.74,2026-05-15 17:06:12
45,10,747,45.7,74.70,4.57,2026-05-15 17:06:23
46,10,809,49.5,80.90,4.95,2026-05-15 17:06:34
47,10,814,49.9,81.40,4.99,2026-05-15 17:06:45
48,10,393,24.1,39.30,2.41,2026-05-15 17:06:56
49,10,992,60.8,99.20,6.08,2026-05-15 17:07:08
50,10,395,24.2,39.50,2.42,2026-05-15 17:07:19

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
630.30,39.1,63.03,3.91
