loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp
1,10,469,28.9,46.90,2.89,2026-05-15 17:11:42
2,10,976,60.3,97.60,6.03,2026-05-15 17:11:53
3,10,560,34.5,56.00,3.45,2026-05-15 17:12:05
4,10,713,44.0,71.30,4.40,2026-05-15 17:12:16
5,10,393,24.3,39.30,2.43,2026-05-15 17:12:27
6,10,244,15.1,24.40,1.51,2026-05-15 17:12:38
7,10,529,32.7,52.90,3.27,2026-05-15 17:12:49
8,10,746,46.1,74.60,4.61,2026-05-15 17:13:01
9,10,648,40.1,64.80,4.01,2026-05-15 17:13:12
10,10,806,49.8,80.60,4.98,2026-05-15 17:13:23
11,10,639,39.5,63.90,3.95,2026-05-15 17:13:34
12,10,692,42.8,69.20,4.28,2026-05-15 17:13:45
13,10,648,40.1,64.80,4.01,2026-05-15 17:13:57
14,10,684,42.3,68.40,4.23,2026-05-15 17:14:08
15,10,769,47.6,76.90,4.76,2026-05-15 17:14:19
16,10,613,37.9,61.30,3.79,2026-05-15 17:14:30
17,10,657,40.6,65.70,4.06,2026-05-15 17:14:41
18,10,650,40.2,65.00,4.02,2026-05-15 17:14:52
19,10,625,38.7,62.50,3.87,2026-05-15 17:15:03
20,10,695,43.0,69.50,4.30,2026-05-15 17:15:15
21,10,739,45.6,73.90,4.56,2026-05-15 17:15:26
22,10,632,39.0,63.20,3.90,2026-05-15 17:15:37
23,10,639,39.4,63.90,3.94,2026-05-15 17:15:48
24,10,387,23.9,38.70,2.39,2026-05-15 17:15:59
25,10,538,33.2,53.80,3.32,2026-05-15 17:16:10
26,10,588,36.3,58.80,3.63,2026-05-15 17:16:22
27,10,515,31.8,51.50,3.18,2026-05-15 17:16:33
28,10,466,28.8,46.60,2.88,2026-05-15 17:16:44
29,10,513,31.6,51.30,3.16,2026-05-15 17:16:55
30,10,728,45.0,72.80,4.50,2026-05-15 17:17:06
31,10,747,46.1,74.70,4.61,2026-05-15 17:17:18
32,10,634,39.2,63.40,3.92,2026-05-15 17:17:29
33,10,541,33.4,54.10,3.34,2026-05-15 17:17:40
34,10,379,23.4,37.90,2.34,2026-05-15 17:17:51
35,10,476,29.4,47.60,2.94,2026-05-15 17:18:02
36,10,721,44.5,72.10,4.45,2026-05-15 17:18:14
37,10,461,28.5,46.10,2.85,2026-05-15 17:18:25
38,10,460,28.4,46.00,2.84,2026-05-15 17:18:36
39,10,635,39.2,63.50,3.92,2026-05-15 17:18:47
40,10,709,43.8,70.90,4.38,2026-05-15 17:18:58
41,10,752,46.4,75.20,4.64,2026-05-15 17:19:09
42,10,578,35.7,57.80,3.57,2026-05-15 17:19:21
43,10,833,51.4,83.30,5.14,2026-05-15 17:19:32
44,10,784,48.4,78.40,4.84,2026-05-15 17:19:43
45,10,659,40.7,65.90,4.07,2026-05-15 17:19:54
46,10,741,45.8,74.10,4.58,2026-05-15 17:20:05
47,10,559,34.5,55.90,3.45,2026-05-15 17:20:17
48,10,727,44.9,72.70,4.49,2026-05-15 17:20:28
49,10,517,31.9,51.70,3.19,2026-05-15 17:20:39
50,10,938,58.0,93.80,5.80,2026-05-15 17:20:50

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
627.04,38.7,62.70,3.87
