loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp
1,10,1824,94.5,182.40,9.45,2026-05-15 15:32:36
2,10,1848,92.6,184.80,9.26,2026-05-15 15:32:46
3,10,1829,91.8,182.90,9.18,2026-05-15 15:32:57
4,10,1746,87.7,174.60,8.77,2026-05-15 15:33:08
5,10,1667,84.0,166.70,8.40,2026-05-15 15:33:19
6,10,1838,92.3,183.80,9.23,2026-05-15 15:33:29
7,10,1835,91.9,183.50,9.19,2026-05-15 15:33:40
8,10,1841,92.1,184.10,9.21,2026-05-15 15:33:51
9,10,1840,92.0,184.00,9.20,2026-05-15 15:34:02
10,10,1834,91.4,183.40,9.14,2026-05-15 15:34:13
11,10,1844,92.2,184.40,9.22,2026-05-15 15:34:23
12,10,1841,92.4,184.10,9.24,2026-05-15 15:34:34
13,10,1840,92.0,184.00,9.20,2026-05-15 15:34:45
14,10,1843,92.2,184.30,9.22,2026-05-15 15:34:56
15,10,1842,92.3,184.20,9.23,2026-05-15 15:35:06
16,10,1668,83.9,166.80,8.39,2026-05-15 15:35:17
17,10,1842,92.0,184.20,9.20,2026-05-15 15:35:28
18,10,1840,92.4,184.00,9.24,2026-05-15 15:35:39
19,10,1840,91.3,184.00,9.13,2026-05-15 15:35:49
20,10,1837,91.9,183.70,9.19,2026-05-15 15:36:00
21,10,1835,92.0,183.50,9.20,2026-05-15 15:36:11
22,10,1838,91.8,183.80,9.18,2026-05-15 15:36:22
23,10,1836,91.0,183.60,9.10,2026-05-15 15:36:32
24,10,1835,91.8,183.50,9.18,2026-05-15 15:36:43
25,10,1835,91.7,183.50,9.17,2026-05-15 15:36:53
26,10,1843,92.2,184.30,9.22,2026-05-15 15:37:04
27,10,1839,92.2,183.90,9.22,2026-05-15 15:37:15
28,10,1844,92.7,184.40,9.27,2026-05-15 15:37:26
29,10,1847,92.8,184.70,9.28,2026-05-15 15:37:36
30,10,1840,92.2,184.00,9.22,2026-05-15 15:37:47
31,10,1840,92.5,184.00,9.25,2026-05-15 15:37:58
32,10,1832,92.0,183.20,9.20,2026-05-15 15:38:09
33,10,1840,92.2,184.00,9.22,2026-05-15 15:38:19
34,10,1825,91.9,182.50,9.19,2026-05-15 15:38:30
35,10,1839,92.3,183.90,9.23,2026-05-15 15:38:41
36,10,1835,92.1,183.50,9.21,2026-05-15 15:38:52
37,10,1848,92.5,184.80,9.25,2026-05-15 15:39:02
38,10,1836,91.7,183.60,9.17,2026-05-15 15:39:13
39,10,1847,92.0,184.70,9.20,2026-05-15 15:39:24
40,10,2008,99.9,200.80,9.99,2026-05-15 15:39:35
41,10,1848,92.7,184.80,9.27,2026-05-15 15:39:45
42,10,1843,92.2,184.30,9.22,2026-05-15 15:39:56
43,10,1847,91.9,184.70,9.19,2026-05-15 15:40:07
44,10,1697,85.3,169.70,8.53,2026-05-15 15:40:18
45,10,1827,91.4,182.70,9.14,2026-05-15 15:40:29
46,10,1661,83.5,166.10,8.35,2026-05-15 15:40:39
47,10,1840,92.3,184.00,9.23,2026-05-15 15:40:50
48,10,2092,104.5,209.20,10.45,2026-05-15 15:41:01
49,10,1837,92.1,183.70,9.21,2026-05-15 15:41:12
50,10,1845,92.4,184.50,9.24,2026-05-15 15:41:22

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
1832.36,91.8,183.24,9.18
