loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp
1,10,1771,103.9,177.10,10.39,2026-05-15 15:58:01
2,10,1770,103.8,177.00,10.38,2026-05-15 15:58:12
3,10,1776,103.4,177.60,10.34,2026-05-15 15:58:23
4,10,1770,104.2,177.00,10.42,2026-05-15 15:58:34
5,10,1772,105.2,177.20,10.52,2026-05-15 15:58:45
6,10,1771,102.6,177.10,10.26,2026-05-15 15:58:56
7,10,1843,109.3,184.30,10.93,2026-05-15 15:59:08
8,10,1761,106.3,176.10,10.63,2026-05-15 15:59:19
9,10,1773,107.4,177.30,10.74,2026-05-15 15:59:30
10,10,1776,106.9,177.60,10.69,2026-05-15 15:59:41
11,10,1769,106.0,176.90,10.60,2026-05-15 15:59:52
12,10,1779,106.7,177.90,10.67,2026-05-15 16:00:03
13,10,1767,105.4,176.70,10.54,2026-05-15 16:00:14
14,10,1768,105.4,176.80,10.54,2026-05-15 16:00:25
15,10,1766,105.7,176.60,10.57,2026-05-15 16:00:36
16,10,1767,105.8,176.70,10.58,2026-05-15 16:00:47
17,10,1766,105.6,176.60,10.56,2026-05-15 16:00:58
18,10,1770,105.3,177.00,10.53,2026-05-15 16:01:10
19,10,1768,105.5,176.80,10.55,2026-05-15 16:01:21
20,10,1766,105.1,176.60,10.51,2026-05-15 16:01:32
21,10,1777,105.8,177.70,10.58,2026-05-15 16:01:43
22,10,1765,104.7,176.50,10.47,2026-05-15 16:01:54
23,10,1769,106.4,176.90,10.64,2026-05-15 16:02:05
24,10,1737,104.8,173.70,10.48,2026-05-15 16:02:16
25,10,1757,106.7,175.70,10.67,2026-05-15 16:02:27
26,10,1759,107.0,175.90,10.70,2026-05-15 16:02:38
27,10,1764,107.6,176.40,10.76,2026-05-15 16:02:49
28,10,1760,107.4,176.00,10.74,2026-05-15 16:03:00
29,10,1649,100.7,164.90,10.07,2026-05-15 16:03:12
30,10,1767,107.9,176.70,10.79,2026-05-15 16:03:23
31,10,1762,107.6,176.20,10.76,2026-05-15 16:03:34
32,10,1767,107.9,176.70,10.79,2026-05-15 16:03:45
33,10,1765,107.8,176.50,10.78,2026-05-15 16:03:56
34,10,1715,104.9,171.50,10.49,2026-05-15 16:04:07
35,10,1756,107.5,175.60,10.75,2026-05-15 16:04:18
36,10,1779,108.9,177.90,10.89,2026-05-15 16:04:29
37,10,1787,109.3,178.70,10.93,2026-05-15 16:04:40
38,10,1783,108.8,178.30,10.88,2026-05-15 16:04:51
39,10,1777,108.3,177.70,10.83,2026-05-15 16:05:02
40,10,1800,109.5,180.00,10.95,2026-05-15 16:05:13
41,10,1789,109.1,178.90,10.91,2026-05-15 16:05:24
42,10,1785,108.9,178.50,10.89,2026-05-15 16:05:36
43,10,1760,107.6,176.00,10.76,2026-05-15 16:05:47
44,10,1785,109.4,178.50,10.94,2026-05-15 16:05:58
45,10,1780,109.1,178.00,10.91,2026-05-15 16:06:09
46,10,1785,109.4,178.50,10.94,2026-05-15 16:06:20
47,10,1781,109.2,178.10,10.92,2026-05-15 16:06:31
48,10,1763,108.1,176.30,10.81,2026-05-15 16:06:42
49,10,1778,109.2,177.80,10.92,2026-05-15 16:06:53
50,10,1776,109.1,177.60,10.91,2026-05-15 16:07:04

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
1768.92,106.8,176.89,10.68
