loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp
1,10,1793,98.8,179.30,9.88,2026-05-15 15:45:04
2,10,1961,107.2,196.10,10.72,2026-05-15 15:45:14
3,10,1703,92.9,170.30,9.29,2026-05-15 15:45:25
4,10,1783,97.6,178.30,9.76,2026-05-15 15:45:35
5,10,1928,106.3,192.80,10.63,2026-05-15 15:45:46
6,10,1889,104.8,188.90,10.48,2026-05-15 15:45:56
7,10,1796,99.7,179.60,9.97,2026-05-15 15:46:07
8,10,1960,108.4,196.00,10.84,2026-05-15 15:46:18
9,10,1792,98.6,179.20,9.86,2026-05-15 15:46:28
10,10,1796,100.3,179.60,10.03,2026-05-15 15:46:38
11,10,1950,109.0,195.00,10.90,2026-05-15 15:46:48
12,10,1804,98.3,180.40,9.83,2026-05-15 15:46:59
13,10,1600,89.4,160.00,8.94,2026-05-15 15:47:10
14,10,1947,110.2,194.70,11.02,2026-05-15 15:47:21
15,10,1795,99.9,179.50,9.99,2026-05-15 15:47:32
16,10,1800,100.3,180.00,10.03,2026-05-15 15:47:42
17,10,1968,108.2,196.80,10.82,2026-05-15 15:47:52
18,10,1798,100.0,179.80,10.00,2026-05-15 15:48:02
19,10,1754,98.1,175.40,9.81,2026-05-15 15:48:13
20,10,1966,109.6,196.60,10.96,2026-05-15 15:48:23
21,10,1795,99.7,179.50,9.97,2026-05-15 15:48:34
22,10,1790,99.3,179.00,9.93,2026-05-15 15:48:44
23,10,1971,108.1,197.10,10.81,2026-05-15 15:48:55
24,10,1798,98.7,179.80,9.87,2026-05-15 15:49:05
25,10,1790,100.1,179.00,10.01,2026-05-15 15:49:16
26,10,1955,109.2,195.50,10.92,2026-05-15 15:49:26
27,10,1795,99.5,179.50,9.95,2026-05-15 15:49:37
28,10,1803,98.4,180.30,9.84,2026-05-15 15:49:47
29,10,1966,109.3,196.60,10.93,2026-05-15 15:49:57
30,10,1803,99.6,180.30,9.96,2026-05-15 15:50:08
31,10,1799,99.3,179.90,9.93,2026-05-15 15:50:18
32,10,1944,107.9,194.40,10.79,2026-05-15 15:50:28
33,10,1905,104.7,190.50,10.47,2026-05-15 15:50:38
34,10,1752,96.6,175.20,9.66,2026-05-15 15:50:49
35,10,1955,107.9,195.50,10.79,2026-05-15 15:51:00
36,10,1802,96.3,180.20,9.63,2026-05-15 15:51:10
37,10,1804,99.0,180.40,9.90,2026-05-15 15:51:20
38,10,1975,107.3,197.50,10.73,2026-05-15 15:51:31
39,10,1804,98.1,180.40,9.81,2026-05-15 15:51:41
40,10,1790,98.6,179.00,9.86,2026-05-15 15:51:52
41,10,1773,98.1,177.30,9.81,2026-05-15 15:52:02
42,10,1801,98.8,180.10,9.88,2026-05-15 15:52:13
43,10,1803,98.2,180.30,9.82,2026-05-15 15:52:23
44,10,1813,96.7,181.30,9.67,2026-05-15 15:52:34
45,10,1903,103.9,190.30,10.39,2026-05-15 15:52:44
46,10,1811,96.2,181.10,9.62,2026-05-15 15:52:54
47,10,1805,98.1,180.50,9.81,2026-05-15 15:53:04
48,10,1887,103.9,188.70,10.39,2026-05-15 15:53:15
49,10,1991,107.2,199.10,10.72,2026-05-15 15:53:26
50,10,1799,98.6,179.90,9.86,2026-05-15 15:53:37

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
1843.30,101.5,184.33,10.15
