loop_number,run_duration_seconds,total_images,total_size_mb,images_per_second,mb_per_second,timestamp
1,10,828,51.3,82.80,5.13,2026-05-15 16:16:28
2,10,1762,109.0,176.20,10.90,2026-05-15 16:17:39
3,10,1759,109.0,175.90,10.90,2026-05-15 16:17:50
4,10,1756,108.8,175.60,10.88,2026-05-15 16:18:01
5,10,1762,109.2,176.20,10.92,2026-05-15 16:18:13
6,10,1636,101.4,163.60,10.14,2026-05-15 16:18:24
7,10,1763,109.2,176.30,10.92,2026-05-15 16:18:35
8,10,1748,108.3,174.80,10.83,2026-05-15 16:18:46
9,10,1761,109.1,176.10,10.91,2026-05-15 16:18:57
10,10,1767,109.3,176.70,10.93,2026-05-15 16:19:08
11,10,1767,109.3,176.70,10.93,2026-05-15 16:19:19
12,10,1766,109.1,176.60,10.91,2026-05-15 16:19:30
13,10,1767,109.2,176.70,10.92,2026-05-15 16:19:41
14,10,1765,109.0,176.50,10.90,2026-05-15 16:19:52
15,10,1750,108.1,175.00,10.81,2026-05-15 16:20:03
16,10,1748,108.0,174.80,10.80,2026-05-15 16:20:15
17,10,1762,108.9,176.20,10.89,2026-05-15 16:20:26
18,10,1764,109.1,176.40,10.91,2026-05-15 16:20:37
19,10,1765,109.1,176.50,10.91,2026-05-15 16:20:48
20,10,1769,109.3,176.90,10.93,2026-05-15 16:20:59
21,10,1757,108.6,175.70,10.86,2026-05-15 16:21:10
22,10,1766,109.1,176.60,10.91,2026-05-15 16:21:21
23,10,1764,109.0,176.40,10.90,2026-05-15 16:21:32
24,10,1763,109.1,176.30,10.91,2026-05-15 16:21:43
25,10,1763,109.1,176.30,10.91,2026-05-15 16:21:54
26,10,1762,109.1,176.20,10.91,2026-05-15 16:22:05
27,10,1764,109.3,176.40,10.93,2026-05-15 16:22:17
28,10,1639,101.5,163.90,10.15,2026-05-15 16:22:28
29,10,1763,109.2,176.30,10.92,2026-05-15 16:22:39
30,10,1764,109.2,176.40,10.92,2026-05-15 16:22:50
31,10,1765,109.2,176.50,10.92,2026-05-15 16:23:01
32,10,1762,109.0,176.20,10.90,2026-05-15 16:23:12
33,10,1760,108.9,176.00,10.89,2026-05-15 16:23:23
34,10,1761,109.0,176.10,10.90,2026-05-15 16:23:34
35,10,1765,109.2,176.50,10.92,2026-05-15 16:23:45
36,10,1757,108.7,175.70,10.87,2026-05-15 16:23:56
37,10,1745,108.0,174.50,10.80,2026-05-15 16:24:08
38,10,1760,109.0,176.00,10.90,2026-05-15 16:24:19
39,10,1761,109.0,176.10,10.90,2026-05-15 16:24:30
40,10,1763,109.1,176.30,10.91,2026-05-15 16:24:41
41,10,1757,108.8,175.70,10.88,2026-05-15 16:24:52
42,10,1758,108.8,175.80,10.88,2026-05-15 16:25:03
43,10,1763,109.2,176.30,10.92,2026-05-15 16:25:14
44,10,1755,108.7,175.50,10.87,2026-05-15 16:25:25
45,10,1765,109.2,176.50,10.92,2026-05-15 16:25:36
46,10,1764,109.2,176.40,10.92,2026-05-15 16:25:47
47,10,1762,109.0,176.20,10.90,2026-05-15 16:25:59
48,10,1766,109.2,176.60,10.92,2026-05-15 16:26:10
49,10,1765,109.1,176.50,10.91,2026-05-15 16:26:21
50,10,1766,109.1,176.60,10.91,2026-05-15 16:26:32

AVERAGE
average_images_per_loop,average_mb_per_loop,average_images_per_second,average_mb_per_second
1737.80,107.5,173.78,10.75
